Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,9.94,10.38,9.81,10.25,4.96,187600
03/01/1990,10.5,10.69,10.5,10.5,5.08,218600
04/01/1990,10.5,10.69,10.44,10.56,5.11,190800
05/01/1990,10.44,10.56,10.19,10.19,4.93,133600
08/01/1990,10.31,10.56,10.25,10.56,5.11,328400
09/01/1990,10.62,10.69,10.5,10.62,5.14,128000
10/01/1990,10.69,10.69,10.5,10.56,5.11,230200
11/01/1990,10.5,10.5,10.06,10.12,4.9,196200
12/01/1990,10.06,10.5,9.94,10.25,4.96,287800
15/01/1990,10.31,10.38,10.25,10.31,4.99,51600
16/01/1990,10.12,10.19,10.06,10.06,4.87,113800
17/01/1990,10.19,10.19,9.88,10.0,4.84,114800
18/01/1990,9.75,9.81,9.5,9.62,4.66,203200
19/01/1990,9.62,9.88,9.62,9.75,4.72,151800
22/01/1990,9.75,9.88,9.5,9.5,4.6,198200
23/01/1990,9.5,9.62,9.38,9.5,4.6,133600
24/01/1990,9.25,9.31,9.19,9.25,4.48,144600
25/01/1990,9.25,9.44,9.12,9.12,4.42,198200
26/01/1990,9.12,9.25,8.94,8.94,4.33,242400
29/01/1990,9.06,9.19,8.81,8.88,4.3,125600
30/01/1990,8.94,8.94,8.69,8.69,4.21,197800
31/01/1990,8.81,9.25,8.69,9.25,4.48,137000
01/02/1990,9.25,9.31,9.06,9.25,4.48,117400
02/02/1990,9.06,10.0,9.06,9.94,4.81,276600
05/02/1990,9.81,10.0,9.81,9.94,4.81,206200
06/02/1990,10.0,10.0,9.81,9.88,4.78,75600
07/02/1990,9.88,9.94,9.75,9.94,4.81,135800
08/02/1990,9.81,9.94,9.69,9.69,4.69,72600
09/02/1990,9.81,9.81,9.62,9.62,4.66,50800
12/02/1990,9.62,9.69,9.31,9.5,4.6,89200
13/02/1990,9.56,9.56,9.44,9.56,4.63,83200
14/02/1990,9.5,9.69,9.5,9.69,4.69,33400
15/02/1990,9.69,9.75,9.56,9.69,4.69,31800
16/02/1990,9.75,10.12,9.69,9.94,4.81,215400
20/02/1990,9.88,9.88,9.69,9.69,4.69,74200
21/02/1990,9.62,9.94,9.62,9.88,4.78,75800
22/02/1990,9.81,9.88,9.62,9.62,4.69,73200
23/02/1990,9.56,9.62,9.38,9.38,4.57,76800
26/02/1990,9.38,9.44,9.25,9.38,4.57,91600
27/02/1990,9.31,9.44,9.0,9.19,4.48,93000
28/02/1990,9.19,9.31,9.06,9.19,4.48,103600
01/03/1990,9.06,9.31,9.06,9.31,4.54,79800
02/03/1990,9.38,9.44,9.19,9.19,4.48,180000
05/03/1990,9.19,9.19,8.94,8.94,4.35,96600
06/03/1990,9.0,9.06,8.75,8.94,4.35,253400
07/03/1990,9.0,9.06,8.94,8.94,4.35,65200
08/03/1990,8.94,9.06,8.94,9.0,4.38,239800
09/03/1990,9.0,9.06,8.88,9.06,4.41,150200
12/03/1990,9.0,9.12,8.81,9.12,4.44,281800
13/03/1990,9.0,9.12,9.0,9.0,4.38,60400
14/03/1990,9.12,9.12,9.0,9.12,4.44,100200
15/03/1990,9.12,9.19,9.0,9.19,4.48,113000
16/03/1990,9.31,9.38,9.19,9.31,4.54,320000
19/03/1990,9.19,9.25,9.06,9.12,4.44,193400
20/03/1990,9.12,9.12,8.88,8.94,4.35,529800
21/03/1990,8.94,9.0,8.88,8.94,4.35,175000
22/03/1990,8.94,8.94,8.62,8.69,4.23,271400
23/03/1990,8.62,8.88,8.56,8.75,4.26,192400
26/03/1990,8.88,8.94,8.75,8.75,4.26,77200
27/03/1990,8.88,8.94,8.75,8.88,4.32,67600
28/03/1990,8.88,9.25,8.88,9.19,4.48,256800
29/03/1990,9.19,9.19,8.94,9.06,4.41,74600
30/03/1990,8.94,9.06,8.88,9.06,4.41,75200
02/04/1990,8.88,8.94,8.75,8.88,4.32,151200
03/04/1990,8.94,8.94,8.88,8.94,4.35,77000
04/04/1990,8.94,8.94,8.81,8.81,4.29,121600
05/04/1990,8.88,9.0,8.81,9.0,4.38,187800
06/04/1990,9.06,9.5,9.0,9.5,4.63,477400
09/04/1990,9.5,10.12,9.38,9.81,4.78,432000
10/04/1990,9.81,9.88,9.56,9.69,4.72,183800
11/04/1990,9.62,9.75,9.56,9.56,4.66,57000
