Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.09,0.09,0.09,0.09,0.07,0
03/01/1990,0.0,0.09,0.09,0.09,0.07,40000
04/01/1990,0.0,0.09,0.09,0.09,0.07,123200
05/01/1990,0.0,0.1,0.09,0.09,0.08,632000
08/01/1990,0.0,0.1,0.09,0.09,0.08,1300800
09/01/1990,0.0,0.1,0.09,0.09,0.08,1441600
10/01/1990,0.0,0.1,0.09,0.09,0.08,424000
11/01/1990,0.0,0.1,0.09,0.09,0.08,102400
12/01/1990,0.0,0.1,0.09,0.09,0.08,139200
15/01/1990,0.0,0.1,0.09,0.09,0.08,83200
16/01/1990,0.0,0.1,0.09,0.09,0.08,132800
17/01/1990,0.0,0.1,0.09,0.09,0.08,156800
18/01/1990,0.0,0.1,0.09,0.09,0.08,532800
19/01/1990,0.0,0.1,0.09,0.09,0.08,587200
22/01/1990,0.0,0.1,0.09,0.09,0.08,40000
23/01/1990,0.0,0.1,0.09,0.09,0.08,86400
24/01/1990,0.0,0.1,0.09,0.09,0.08,128000
25/01/1990,0.0,0.1,0.09,0.09,0.08,403200
26/01/1990,0.0,0.1,0.09,0.09,0.08,779200
29/01/1990,0.0,0.1,0.09,0.09,0.08,43200
30/01/1990,0.0,0.1,0.09,0.09,0.08,64000
31/01/1990,0.0,0.1,0.09,0.09,0.08,68800
01/02/1990,0.0,0.1,0.09,0.09,0.08,97600
02/02/1990,0.0,0.1,0.09,0.09,0.08,428800
05/02/1990,0.0,0.1,0.09,0.09,0.08,49600
06/02/1990,0.0,0.1,0.09,0.09,0.08,88000
07/02/1990,0.0,0.1,0.09,0.09,0.08,550400
08/02/1990,0.0,0.11,0.1,0.1,0.09,737600
09/02/1990,0.0,0.11,0.1,0.1,0.09,1099200
12/02/1990,0.0,0.11,0.1,0.1,0.09,206400
13/02/1990,0.0,0.11,0.1,0.1,0.09,32000
14/02/1990,0.0,0.11,0.1,0.1,0.09,54400
15/02/1990,0.0,0.11,0.1,0.1,0.09,171200
16/02/1990,0.0,0.11,0.1,0.1,0.09,123200
20/02/1990,0.0,0.11,0.1,0.1,0.09,564800
21/02/1990,0.0,0.11,0.1,0.1,0.09,211200
22/02/1990,0.0,0.11,0.1,0.1,0.09,36800
