Date,Open,High,Low,Close,Adj Close,Volume
14/06/2007,37.0,39.26,37.0,38.85,27.59,662600
15/06/2007,39.1,39.1,38.25,38.8,27.56,1150000
18/06/2007,39.05,39.1,37.15,37.15,26.38,853600
19/06/2007,37.15,37.7,36.1,36.7,26.06,951000
20/06/2007,36.83,36.83,35.33,35.95,25.53,1721800
21/06/2007,36.0,36.7,35.75,36.7,26.06,537700
22/06/2007,37.0,39.5,36.8,38.95,27.66,250300
25/06/2007,39.1,40.0,38.25,39.25,27.88,203200
26/06/2007,39.31,39.8,39.2,39.5,28.05,119600
27/06/2007,39.5,39.8,39.0,39.75,28.23,270700
28/06/2007,39.75,39.95,39.5,39.6,28.12,151200
29/06/2007,39.83,39.9,38.75,39.06,27.74,1701900
02/07/2007,39.2,40.63,38.98,39.97,28.39,2000500
03/07/2007,39.98,40.61,39.08,39.66,28.17,3752400
05/07/2007,39.6,41.28,39.24,39.45,28.02,4277800
06/07/2007,39.4,39.92,38.8,39.82,28.28,3950700
09/07/2007,39.55,40.4,38.48,40.3,28.62,5369500
10/07/2007,39.5,39.5,38.48,39.0,27.7,5483200
11/07/2007,39.0,39.25,38.7,39.06,27.74,5964800
12/07/2007,38.95,39.06,38.31,39.01,27.7,4094400
13/07/2007,38.3,39.89,38.0,39.47,28.03,2064600
16/07/2007,38.0,39.85,37.07,39.3,27.91,2514800
17/07/2007,39.02,39.5,38.27,38.86,27.6,3913400
18/07/2007,36.95,38.86,36.6,37.94,26.94,4909400
19/07/2007,38.04,38.45,37.63,38.1,27.06,2078400
20/07/2007,38.1,38.18,37.87,38.03,27.01,3406800
23/07/2007,35.1,39.0,35.1,38.91,27.63,2164400
24/07/2007,38.72,39.22,38.13,38.4,27.27,2119000
25/07/2007,38.25,38.57,38.0,38.47,27.32,2421500
26/07/2007,38.0,38.3,36.72,37.56,26.67,3610800
27/07/2007,36.0,38.13,35.73,36.95,26.24,2912600
30/07/2007,36.4,36.45,35.58,36.05,25.6,2915500
31/07/2007,36.05,36.08,35.7,35.82,25.44,2148800
01/08/2007,34.92,36.0,34.76,35.22,25.01,3771700
02/08/2007,34.61,35.5,34.09,35.27,25.05,2519100
03/08/2007,35.1,35.43,35.0,35.09,24.92,2445000
06/08/2007,35.2,35.32,34.98,35.15,24.96,3896600
07/08/2007,34.85,35.38,34.0,34.85,24.75,2624200
08/08/2007,32.09,35.47,32.09,34.74,24.67,3355800
09/08/2007,34.3,34.77,33.62,33.73,23.95,2058600
10/08/2007,33.73,33.73,32.38,32.81,23.3,6034600
13/08/2007,33.0,33.25,32.39,32.99,23.43,3860000
14/08/2007,33.13,33.25,32.12,32.45,23.05,6021900
15/08/2007,32.53,33.24,32.5,32.96,23.41,4280500
16/08/2007,32.06,33.25,32.0,33.04,23.46,4133300
17/08/2007,33.9,35.23,33.5,35.1,24.93,3026600
20/08/2007,34.87,35.98,34.6,34.95,24.82,1948800
21/08/2007,33.9,34.97,33.85,34.67,24.62,2257600
22/08/2007,34.75,35.34,34.3,34.86,24.76,2233000
23/08/2007,35.25,35.53,34.87,35.36,25.11,3054100
24/08/2007,35.28,37.0,35.1,36.27,25.76,2105000
27/08/2007,36.2,36.56,35.4,35.47,25.19,1431200
28/08/2007,34.95,35.63,34.9,35.12,24.94,2243100
29/08/2007,35.32,35.5,34.81,35.36,25.11,1615900
30/08/2007,35.08,35.97,34.63,34.96,24.83,1590000
31/08/2007,34.53,35.55,34.0,34.87,24.76,2286900
04/09/2007,34.87,35.02,34.3,34.91,24.79,1909800
05/09/2007,34.5,34.77,33.95,34.69,24.64,2133000
06/09/2007,34.38,36.69,34.27,35.23,25.02,3414500
07/09/2007,34.8,34.81,33.15,33.5,23.79,1869400
10/09/2007,33.41,33.95,33.17,33.2,23.58,2339000
11/09/2007,33.27,33.46,32.6,33.04,23.46,1921100
12/09/2007,32.82,33.19,32.4,32.56,23.12,2867900
13/09/2007,33.01,33.22,32.65,32.89,23.36,2351800
14/09/2007,32.68,33.69,32.63,33.06,23.48,2744500
17/09/2007,32.8,33.31,32.59,33.14,23.54,2246100
18/09/2007,33.03,34.99,32.62,33.59,23.86,2236900
19/09/2007,33.95,34.59,32.54,33.07,23.49,13839200
20/09/2007,33.07,33.66,32.8,33.46,23.76,1813000
21/09/2007,33.86,33.97,33.18,33.45,23.76,2627700
24/09/2007,33.53,33.71,33.03,33.39,23.71,1549200
25/09/2007,33.33,33.77,33.14,33.77,23.98,1516500
26/09/2007,34.25,35.35,34.22,34.54,24.53,3838100
27/09/2007,34.74,35.75,34.54,35.18,24.98,2099800
28/09/2007,35.02,35.53,34.85,35.43,25.26,1689100
01/10/2007,35.7,36.64,34.93,36.28,25.87,2717400
02/10/2007,36.0,36.25,35.72,35.95,25.63,3089200
03/10/2007,35.96,36.0,35.25,35.66,25.43,2326900
04/10/2007,35.66,36.47,34.92,35.9,25.6,3080200
05/10/2007,35.85,36.89,35.81,36.05,25.7,2334300
08/10/2007,36.23,37.33,36.18,37.12,26.47,1454000
09/10/2007,37.12,37.33,36.57,36.73,26.19,1705100
10/10/2007,36.39,37.12,36.33,36.84,26.27,5578300
11/10/2007,37.0,37.24,36.35,36.65,26.13,2205100
12/10/2007,36.49,37.09,36.37,37.0,26.38,1053800
15/10/2007,37.15,37.43,36.81,36.97,26.36,1559500
16/10/2007,37.0,37.2,36.58,36.99,26.38,1651000
17/10/2007,37.1,37.5,36.6,36.9,26.31,3160400
18/10/2007,36.77,36.93,36.65,36.88,26.3,1985200
19/10/2007,36.82,36.92,36.06,36.24,25.84,2755100
