Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,10.42,10.42,10.25,10.38,6.42,25500
03/01/1990,10.42,10.71,10.42,10.62,6.58,18600
04/01/1990,10.67,10.92,10.67,10.83,6.71,53400
05/01/1990,10.75,10.75,10.67,10.67,6.6,16200
08/01/1990,10.67,10.71,10.67,10.71,6.63,7800
09/01/1990,10.62,10.83,10.58,10.83,6.71,21900
10/01/1990,10.75,10.75,10.58,10.58,6.55,11100
11/01/1990,10.67,10.71,10.58,10.62,6.58,10500
12/01/1990,10.54,10.58,10.33,10.33,6.4,11100
15/01/1990,10.33,10.42,10.25,10.25,6.35,8100
16/01/1990,10.08,10.08,9.96,9.96,6.16,57000
17/01/1990,10.0,10.17,10.0,10.17,6.29,28800
18/01/1990,10.08,10.12,10.04,10.04,6.22,156300
19/01/1990,10.0,10.04,9.96,10.04,6.22,51300
22/01/1990,10.0,10.0,9.88,9.88,6.11,16800
23/01/1990,9.96,10.0,9.83,9.88,6.11,13500
24/01/1990,9.79,9.79,9.79,9.79,6.06,3300
25/01/1990,9.75,9.75,9.46,9.46,5.86,28200
26/01/1990,9.54,9.54,9.38,9.42,5.83,40500
29/01/1990,9.5,9.5,9.33,9.42,5.83,13200
30/01/1990,9.38,9.42,9.33,9.42,5.83,3900
31/01/1990,9.5,9.54,9.33,9.46,5.86,27900
01/02/1990,9.38,9.42,9.25,9.42,5.83,25200
02/02/1990,9.33,9.46,9.33,9.46,5.86,27300
05/02/1990,9.38,9.46,9.33,9.33,5.78,23100
06/02/1990,9.33,9.5,9.33,9.42,5.83,7500
07/02/1990,9.46,9.75,9.46,9.75,6.04,119700
08/02/1990,9.71,9.79,9.67,9.67,5.98,13800
09/02/1990,9.75,9.92,9.75,9.92,6.14,41700
12/02/1990,9.83,9.92,9.83,9.83,6.09,4800
13/02/1990,9.83,9.92,9.83,9.83,6.09,7200
14/02/1990,9.83,9.92,9.83,9.83,6.09,1500
15/02/1990,9.83,9.96,9.83,9.96,6.16,34200
16/02/1990,10.0,10.08,9.92,10.0,6.22,41400
20/02/1990,9.92,9.96,9.79,9.96,6.19,23700
21/02/1990,9.96,10.0,9.96,10.0,6.22,2400
22/02/1990,9.92,10.04,9.88,9.96,6.19,16800
23/02/1990,9.88,9.96,9.75,9.79,6.09,372600
26/02/1990,9.71,9.71,9.46,9.58,5.96,21900
27/02/1990,9.58,9.67,9.58,9.58,5.96,6000
28/02/1990,9.58,9.88,9.58,9.88,6.14,42300
01/03/1990,9.92,9.92,9.75,9.75,6.06,27000
02/03/1990,9.62,9.92,9.62,9.92,6.16,52200
05/03/1990,9.92,10.0,9.92,9.96,6.19,56700
06/03/1990,10.04,10.21,10.04,10.21,6.34,9900
07/03/1990,10.29,10.42,10.25,10.42,6.47,28800
08/03/1990,10.42,10.42,10.25,10.33,6.42,16200
09/03/1990,10.25,10.25,10.12,10.12,6.29,19800
12/03/1990,10.17,10.29,10.17,10.29,6.4,5100
13/03/1990,10.33,10.42,10.25,10.33,6.42,22500
14/03/1990,10.42,10.42,10.29,10.38,6.45,11700
15/03/1990,10.33,10.33,10.25,10.33,6.42,16800
16/03/1990,10.29,10.38,10.25,10.33,6.42,14400
19/03/1990,10.38,10.38,10.25,10.25,6.37,26100
20/03/1990,10.33,10.58,10.29,10.58,6.58,73200
21/03/1990,10.5,10.54,10.46,10.46,6.5,12300
22/03/1990,10.38,10.42,10.21,10.21,6.34,8100
23/03/1990,10.12,10.12,9.83,9.83,6.11,61800
26/03/1990,9.92,9.96,9.83,9.88,6.14,94200
27/03/1990,9.79,9.96,9.79,9.88,6.14,24300
28/03/1990,9.96,10.04,9.96,10.04,6.24,6600
29/03/1990,9.96,10.08,9.88,9.88,6.14,15900
30/03/1990,9.88,9.88,9.75,9.88,6.14,33900
02/04/1990,9.79,9.79,9.67,9.75,6.06,12900
03/04/1990,9.83,10.0,9.79,10.0,6.22,56100
04/04/1990,9.92,10.08,9.92,10.0,6.22,50400
05/04/1990,9.92,10.12,9.92,9.92,6.16,51300
06/04/1990,9.96,10.0,9.92,9.92,6.16,7800
09/04/1990,9.92,10.0,9.83,9.83,6.11,37200
10/04/1990,9.83,10.0,9.83,9.96,6.19,57000
11/04/1990,9.88,10.04,9.83,9.92,6.16,95100
12/04/1990,9.96,10.17,9.96,10.17,6.32,22200
16/04/1990,10.25,10.29,10.12,10.21,6.34,9600
17/04/1990,10.17,10.42,10.0,10.42,6.47,39600
18/04/1990,10.33,10.58,10.17,10.17,6.32,50100
19/04/1990,10.12,10.25,10.12,10.25,6.37,12600
20/04/1990,10.17,10.46,10.17,10.25,6.37,36900
23/04/1990,10.29,10.42,10.29,10.42,6.47,38100
24/04/1990,10.33,10.42,10.29,10.33,6.42,109800
25/04/1990,10.25,10.5,10.21,10.38,6.45,36900
26/04/1990,10.33,10.54,10.33,10.5,6.53,37800
27/04/1990,10.58,10.62,10.54,10.58,6.58,18600
30/04/1990,10.58,10.58,10.58,10.58,6.58,17700
01/05/1990,10.58,10.58,10.46,10.46,6.5,12300
02/05/1990,10.38,10.46,10.38,10.46,6.5,4800
03/05/1990,10.38,10.38,10.25,10.25,6.37,5700
04/05/1990,10.17,10.17,10.12,10.12,6.29,5100
07/05/1990,10.04,10.33,10.04,10.29,6.4,60300
08/05/1990,10.21,10.25,10.17,10.25,6.37,9300
09/05/1990,10.17,10.25,10.12,10.21,6.34,6300
10/05/1990,10.25,10.25,10.12,10.12,6.29,25200
11/05/1990,10.21,10.25,10.17,10.21,6.34,139800
14/05/1990,10.25,10.46,10.25,10.33,6.42,72300
15/05/1990,10.33,10.54,10.29,10.46,6.5,83100
16/05/1990,10.42,10.54,10.42,10.54,6.55,9600
17/05/1990,10.46,10.58,10.42,10.58,6.58,26100
18/05/1990,10.5,10.5,10.42,10.46,6.5,29100
21/05/1990,10.42,10.58,10.38,10.5,6.55,60300
22/05/1990,10.5,10.75,10.5,10.75,6.71,155700
23/05/1990,10.79,11.04,10.71,11.04,6.89,39000
24/05/1990,11.12,11.25,11.12,11.25,7.02,57000
25/05/1990,11.21,11.46,11.17,11.29,7.05,24300
29/05/1990,11.25,11.5,11.25,11.46,7.15,6900
30/05/1990,11.46,11.88,11.38,11.5,7.18,85800
31/05/1990,11.58,11.75,11.5,11.58,7.23,45600
01/06/1990,11.67,11.75,11.67,11.71,7.31,17400
04/06/1990,11.62,11.71,11.62,11.62,7.26,8100
05/06/1990,11.62,12.08,11.62,12.0,7.49,133500
06/06/1990,12.0,12.0,11.88,11.88,7.41,24000
07/06/1990,11.96,11.96,11.79,11.79,7.36,15600
08/06/1990,11.75,11.75,11.62,11.75,7.33,26400
11/06/1990,11.67,11.79,11.67,11.79,7.36,8700
12/06/1990,11.79,11.92,11.75,11.79,7.36,44400
13/06/1990,11.79,11.88,11.62,11.67,7.28,55200
14/06/1990,11.75,11.75,11.5,11.67,7.28,58800
15/06/1990,11.58,11.62,11.5,11.54,7.2,66000
18/06/1990,11.46,11.46,11.33,11.33,7.07,73200
19/06/1990,11.25,11.33,11.12,11.29,7.05,27600
20/06/1990,11.25,11.29,11.21,11.29,7.05,38400
21/06/1990,11.21,11.29,11.21,11.25,7.02,9300
