Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,5.29,5.41,5.29,5.41,2.84,3190800
03/01/1990,5.46,5.48,5.42,5.46,2.87,2252400
04/01/1990,5.48,5.52,5.41,5.47,2.88,3141600
05/01/1990,5.48,5.51,5.46,5.48,2.88,4330800
08/01/1990,5.46,5.54,5.43,5.53,2.91,1956000
09/01/1990,5.53,5.57,5.46,5.46,2.87,2371200
10/01/1990,5.45,5.46,5.36,5.46,2.87,3058800
11/01/1990,5.45,5.55,5.45,5.49,2.89,3870000
12/01/1990,5.46,5.46,5.31,5.33,2.8,2378400
15/01/1990,5.27,5.28,5.21,5.25,2.76,2175600
16/01/1990,5.08,5.24,5.08,5.23,2.75,1875600
17/01/1990,5.23,5.26,5.19,5.2,2.73,1254000
18/01/1990,5.15,5.17,5.09,5.16,2.71,1608000
19/01/1990,5.18,5.21,5.1,5.1,2.68,1464000
22/01/1990,5.08,5.09,4.98,4.99,2.62,1236000
23/01/1990,5.0,5.08,4.96,5.05,2.66,1263600
24/01/1990,4.97,5.15,4.94,5.11,2.69,1976400
25/01/1990,5.12,5.18,5.04,5.06,2.66,1545600
26/01/1990,5.06,5.09,4.9,4.96,2.61,2346000
29/01/1990,4.99,5.02,4.97,5.0,2.63,1188000
30/01/1990,5.02,5.02,4.9,4.96,2.61,1922400
31/01/1990,4.98,5.0,4.96,4.97,2.61,1628400
01/02/1990,5.04,5.1,4.99,5.05,2.66,3002400
02/02/1990,5.06,5.17,5.03,5.15,2.71,1245600
05/02/1990,5.14,5.2,5.12,5.19,2.73,642000
06/02/1990,5.16,5.17,5.1,5.15,2.71,931200
07/02/1990,5.09,5.27,5.09,5.27,2.77,1935600
08/02/1990,5.27,5.32,5.26,5.3,2.79,1132800
09/02/1990,5.3,5.4,5.29,5.36,2.82,2979600
12/02/1990,5.36,5.36,5.29,5.31,2.79,3559200
13/02/1990,5.28,5.28,5.22,5.24,2.77,1686000
14/02/1990,5.17,5.23,5.17,5.2,2.75,2329200
15/02/1990,5.2,5.24,5.17,5.24,2.77,3273600
16/02/1990,5.26,5.27,5.19,5.19,2.74,1116000
20/02/1990,5.12,5.14,5.07,5.14,2.71,1696800
21/02/1990,5.06,5.15,5.06,5.15,2.72,2024400
22/02/1990,5.17,5.18,5.15,5.15,2.72,2236800
23/02/1990,5.15,5.15,5.04,5.08,2.69,934800
26/02/1990,5.08,5.09,5.04,5.08,2.69,655200
27/02/1990,5.06,5.12,5.06,5.1,2.7,3139200
28/02/1990,5.1,5.15,5.09,5.12,2.71,1448400
01/03/1990,5.12,5.26,5.12,5.25,2.78,3490800
02/03/1990,5.3,5.38,5.29,5.34,2.83,2854800
05/03/1990,5.32,5.33,5.3,5.3,2.8,1294800
06/03/1990,5.3,5.39,5.28,5.39,2.85,2073600
07/03/1990,5.39,5.45,5.33,5.44,2.87,2548800
08/03/1990,5.48,5.55,5.48,5.55,2.94,3894000
09/03/1990,5.53,5.56,5.48,5.5,2.91,1992000
