Date,Open,High,Low,Close,Adj Close,Volume
07/12/2010,24.1,25.2,23.5,24.7,13.45,10577600
08/12/2010,24.51,26.0,24.4,25.65,13.96,865200
09/12/2010,25.35,26.25,25.34,25.57,13.92,877800
10/12/2010,25.37,25.79,25.29,25.64,13.96,436900
13/12/2010,25.5,26.69,25.49,26.52,14.44,397800
14/12/2010,26.4,26.6,25.79,26.54,14.45,250500
15/12/2010,26.56,27.14,25.48,26.06,14.19,396100
16/12/2010,25.96,26.93,25.95,26.81,14.6,133000
17/12/2010,26.99,27.55,26.9,27.31,14.87,101600
20/12/2010,27.21,28.4,27.19,27.53,14.99,149300
21/12/2010,27.63,27.7,26.6,27.05,14.73,139200
22/12/2010,26.85,26.88,26.21,26.88,14.63,157500
23/12/2010,26.73,26.86,26.7,26.86,14.62,135200
27/12/2010,26.75,26.75,26.43,26.51,14.43,97000
28/12/2010,26.45,26.85,26.4,26.8,14.59,204000
29/12/2010,26.54,27.15,26.5,27.15,14.78,75200
30/12/2010,27.01,27.19,26.85,27.03,14.72,298000
31/12/2010,27.0,27.05,26.79,26.81,14.6,49800
03/01/2011,26.92,27.05,26.51,27.0,14.7,253500
04/01/2011,27.0,27.19,26.63,27.16,14.79,232300
05/01/2011,27.01,27.37,26.87,27.34,14.88,61800
06/01/2011,27.28,28.16,26.95,27.99,15.24,116100
07/01/2011,27.9,28.13,27.41,27.8,15.13,288300
10/01/2011,27.5,27.97,27.07,27.4,14.92,121100
11/01/2011,27.43,27.64,27.12,27.59,15.02,188900
12/01/2011,27.68,28.48,27.43,28.35,15.43,172300
13/01/2011,28.11,28.46,27.89,28.03,15.26,130200
14/01/2011,28.09,28.47,27.96,28.31,15.41,249000
18/01/2011,28.6,30.25,28.42,29.34,15.97,692000
19/01/2011,29.69,29.85,28.8,28.87,15.72,227700
20/01/2011,28.89,30.04,27.27,29.41,16.01,354600
21/01/2011,29.5,29.58,28.21,29.41,16.01,118100
24/01/2011,29.4,30.23,28.51,30.1,16.39,129400
25/01/2011,30.04,30.98,29.86,30.19,16.44,204000
26/01/2011,30.23,30.81,29.6,30.4,16.55,125200
27/01/2011,30.24,30.6,30.0,30.39,16.54,37300
28/01/2011,30.21,30.76,28.98,30.58,16.65,256400
31/01/2011,31.54,31.71,30.25,30.73,16.73,202900
01/02/2011,31.17,31.17,30.12,30.65,16.72,85500
02/02/2011,30.44,31.42,30.04,30.16,16.45,88600
03/02/2011,30.35,30.56,29.25,29.38,16.03,287900
04/02/2011,29.57,30.07,29.38,30.02,16.38,131500
07/02/2011,30.19,30.74,30.0,30.0,16.37,97200
08/02/2011,30.04,31.58,29.95,31.2,17.02,270600
09/02/2011,31.39,31.5,31.16,31.36,17.11,45100
10/02/2011,31.25,31.73,30.53,30.98,16.9,74100
11/02/2011,31.16,31.16,30.72,31.02,16.92,78300
14/02/2011,31.34,32.22,31.27,31.44,17.15,219900
15/02/2011,31.6,31.92,31.5,31.88,17.39,201500
16/02/2011,32.26,32.4,32.0,32.22,17.58,220700
17/02/2011,32.25,32.29,31.61,32.1,17.51,91500
18/02/2011,32.21,32.95,32.09,32.34,17.64,159600
22/02/2011,32.53,32.63,31.4,31.91,17.41,172300
23/02/2011,32.0,32.1,31.51,31.94,17.42,72100
24/02/2011,32.23,32.24,31.64,32.04,17.48,147100
25/02/2011,32.0,32.71,32.0,32.6,17.78,101100
28/02/2011,32.71,32.9,32.35,32.77,17.88,36600
01/03/2011,32.98,33.25,31.94,32.6,17.78,103300
02/03/2011,32.6,33.44,32.31,32.98,17.99,170900
03/03/2011,33.13,33.41,32.7,32.73,17.85,164400
04/03/2011,32.72,33.64,32.64,33.22,18.12,76000
07/03/2011,33.18,33.99,33.18,33.95,18.52,204000
08/03/2011,33.78,33.88,33.31,33.58,18.32,250000
09/03/2011,33.64,33.89,32.7,33.17,18.09,273600
10/03/2011,32.98,33.06,31.71,32.2,17.57,415600
11/03/2011,32.01,32.69,30.8,32.35,17.65,496300
14/03/2011,32.24,32.57,31.87,32.05,17.48,317900
15/03/2011,31.62,32.46,31.35,31.94,17.42,535600
16/03/2011,32.15,33.55,31.82,32.2,17.57,474500
17/03/2011,32.5,33.38,32.42,33.35,18.19,236700
18/03/2011,33.5,35.49,33.26,34.82,18.99,1085000
21/03/2011,34.92,35.72,34.35,35.49,19.36,117300
22/03/2011,35.61,36.43,34.85,36.25,19.77,111800
23/03/2011,36.7,36.7,34.45,34.96,19.07,362400
24/03/2011,34.97,35.0,34.2,34.75,18.96,164000
25/03/2011,34.83,35.64,34.81,35.35,19.28,108300
28/03/2011,35.35,35.42,34.8,35.18,19.19,186900
