Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,1.86,1.88,1.81,1.88,0.85,593600
03/01/1990,1.89,1.92,1.86,1.91,0.86,1057600
04/01/1990,1.91,1.95,1.86,1.95,0.89,358400
05/01/1990,1.92,1.97,1.92,1.94,0.88,361600
08/01/1990,1.94,1.97,1.94,1.95,0.89,660800
09/01/1990,1.95,1.95,1.94,1.94,0.88,115200
10/01/1990,1.93,1.95,1.92,1.92,0.87,353600
11/01/1990,1.94,1.94,1.92,1.94,0.88,148800
12/01/1990,1.94,1.94,1.88,1.9,0.86,308800
15/01/1990,1.89,1.89,1.8,1.8,0.82,216000
16/01/1990,1.78,1.81,1.77,1.8,0.82,104000
17/01/1990,1.8,1.8,1.77,1.78,0.81,113600
18/01/1990,1.73,1.75,1.7,1.73,0.79,292800
19/01/1990,1.7,1.77,1.7,1.75,0.79,160000
22/01/1990,1.75,1.75,1.72,1.72,0.78,36800
23/01/1990,1.75,1.75,1.69,1.7,0.77,152000
24/01/1990,1.64,1.64,1.56,1.56,0.71,1192000
25/01/1990,1.61,1.61,1.56,1.58,0.72,510400
26/01/1990,1.58,1.61,1.58,1.61,0.73,361600
29/01/1990,1.58,1.61,1.58,1.61,0.73,241600
30/01/1990,1.58,1.59,1.58,1.59,0.72,89600
31/01/1990,1.58,1.62,1.58,1.61,0.73,480000
01/02/1990,1.62,1.63,1.62,1.62,0.74,145600
02/02/1990,1.61,1.67,1.61,1.66,0.75,110400
05/02/1990,1.64,1.67,1.64,1.67,0.76,347200
06/02/1990,1.64,1.66,1.64,1.64,0.74,339200
07/02/1990,1.64,1.67,1.64,1.64,0.74,657600
08/02/1990,1.66,1.67,1.64,1.64,0.74,176000
09/02/1990,1.67,1.67,1.64,1.64,0.74,27200
12/02/1990,1.64,1.7,1.64,1.69,0.77,401600
13/02/1990,1.67,1.7,1.67,1.7,0.77,337600
14/02/1990,1.69,1.71,1.69,1.7,0.77,302400
15/02/1990,1.72,1.72,1.69,1.72,0.78,579200
16/02/1990,1.72,1.75,1.7,1.75,0.79,473600
20/02/1990,1.78,1.78,1.73,1.73,0.79,108800
21/02/1990,1.72,1.75,1.7,1.72,0.78,494400
22/02/1990,1.7,1.73,1.7,1.73,0.79,1369600
23/02/1990,1.73,1.73,1.7,1.7,0.77,180800
26/02/1990,1.73,1.73,1.73,1.73,0.79,38400
27/02/1990,1.73,1.73,1.7,1.72,0.78,216000
28/02/1990,1.72,1.75,1.72,1.75,0.79,204800
01/03/1990,1.75,1.81,1.75,1.81,0.82,278400
02/03/1990,1.8,1.8,1.77,1.78,0.81,337600
05/03/1990,1.8,1.8,1.77,1.77,0.8,57600
06/03/1990,1.8,1.83,1.78,1.83,0.83,1771200
07/03/1990,1.8,1.83,1.8,1.83,0.83,200000
08/03/1990,1.83,1.83,1.8,1.81,0.82,1022400
09/03/1990,1.81,1.81,1.78,1.8,0.82,155200
12/03/1990,1.8,1.8,1.77,1.8,0.82,795200
13/03/1990,1.81,1.81,1.81,1.81,0.82,24000
14/03/1990,1.78,1.81,1.78,1.78,0.81,788800
15/03/1990,1.8,1.81,1.78,1.78,0.81,264000
16/03/1990,1.81,1.81,1.8,1.81,0.83,259200
19/03/1990,1.81,1.83,1.8,1.83,0.83,65600
20/03/1990,1.83,1.83,1.8,1.83,0.83,27200
21/03/1990,1.8,1.86,1.8,1.84,0.84,171200
22/03/1990,1.88,1.88,1.84,1.88,0.86,62400
23/03/1990,1.84,1.88,1.84,1.84,0.84,608000
26/03/1990,1.84,1.84,1.84,1.84,0.84,19200
27/03/1990,1.84,1.84,1.84,1.84,0.84,14400
28/03/1990,1.84,1.88,1.84,1.88,0.86,164800
29/03/1990,1.84,1.86,1.84,1.86,0.85,57600
30/03/1990,1.88,1.88,1.83,1.87,0.85,1736000
02/04/1990,1.83,1.88,1.83,1.86,0.85,1099200
03/04/1990,1.83,1.86,1.81,1.84,0.84,982400
04/04/1990,1.81,1.84,1.81,1.84,0.84,1088000
05/04/1990,1.83,1.83,1.81,1.81,0.83,332800
06/04/1990,1.84,1.84,1.8,1.83,0.83,19200
09/04/1990,1.8,1.8,1.72,1.73,0.79,808000
10/04/1990,1.72,1.74,1.66,1.7,0.78,1588800
11/04/1990,1.66,1.67,1.61,1.64,0.75,2160000
12/04/1990,1.62,1.66,1.62,1.62,0.74,753600
16/04/1990,1.62,1.62,1.44,1.5,0.68,3742400
17/04/1990,1.5,1.52,1.47,1.48,0.68,4019200
18/04/1990,1.52,1.53,1.48,1.52,0.69,592000
19/04/1990,1.53,1.55,1.52,1.52,0.69,1273600
20/04/1990,1.56,1.56,1.53,1.56,0.71,545600
23/04/1990,1.56,1.56,1.52,1.52,0.69,443200
24/04/1990,1.52,1.56,1.52,1.56,0.71,233600
25/04/1990,1.53,1.56,1.53,1.53,0.7,288000
26/04/1990,1.56,1.56,1.52,1.55,0.71,476800
27/04/1990,1.5,1.55,1.5,1.53,0.7,403200
30/04/1990,1.5,1.54,1.5,1.53,0.7,140800
01/05/1990,1.56,1.56,1.52,1.52,0.69,54400
02/05/1990,1.56,1.58,1.53,1.58,0.72,628800
03/05/1990,1.58,1.59,1.55,1.56,0.71,396800
04/05/1990,1.55,1.58,1.53,1.53,0.7,84800
07/05/1990,1.53,1.55,1.5,1.5,0.68,214400
08/05/1990,1.53,1.53,1.5,1.5,0.68,414400
09/05/1990,1.5,1.52,1.48,1.48,0.68,129600
10/05/1990,1.47,1.52,1.47,1.48,0.68,492800
11/05/1990,1.48,1.53,1.48,1.5,0.68,566400
14/05/1990,1.55,1.59,1.53,1.56,0.71,1078400
15/05/1990,1.58,1.62,1.56,1.62,0.74,1057600
16/05/1990,1.59,1.67,1.59,1.64,0.75,512000
17/05/1990,1.64,1.67,1.64,1.67,0.76,275200
18/05/1990,1.67,1.72,1.66,1.7,0.78,486400
21/05/1990,1.73,1.75,1.72,1.73,0.79,614400
22/05/1990,1.75,1.78,1.73,1.73,0.79,1115200
23/05/1990,1.78,1.78,1.78,1.78,0.81,1600
24/05/1990,1.78,1.86,1.77,1.83,0.83,678400
25/05/1990,1.81,1.84,1.8,1.8,0.82,264000
29/05/1990,1.83,1.83,1.78,1.78,0.81,46400
30/05/1990,1.81,1.83,1.77,1.77,0.81,2104000
31/05/1990,1.77,1.8,1.73,1.77,0.81,883200
01/06/1990,1.73,1.77,1.72,1.73,0.79,809600
04/06/1990,1.75,1.75,1.72,1.75,0.8,144000
05/06/1990,1.75,1.75,1.72,1.73,0.79,177600
06/06/1990,1.72,1.75,1.7,1.72,0.78,595200
07/06/1990,1.7,1.7,1.66,1.66,0.76,361600
08/06/1990,1.66,1.66,1.59,1.66,0.76,352000
11/06/1990,1.59,1.62,1.59,1.62,0.74,524800
12/06/1990,1.62,1.67,1.61,1.67,0.76,94400
13/06/1990,1.67,1.67,1.62,1.67,0.76,251200
14/06/1990,1.67,1.67,1.67,1.67,0.76,83200
15/06/1990,1.67,1.67,1.66,1.67,0.77,318400
18/06/1990,1.64,1.67,1.64,1.64,0.75,414400
19/06/1990,1.62,1.67,1.62,1.62,0.75,224000
20/06/1990,1.62,1.65,1.62,1.62,0.75,128000
21/06/1990,1.67,1.67,1.61,1.61,0.74,72000
22/06/1990,1.63,1.64,1.61,1.61,0.74,180800
25/06/1990,1.61,1.61,1.58,1.61,0.74,528000
26/06/1990,1.61,1.62,1.58,1.58,0.72,515200
27/06/1990,1.61,1.72,1.61,1.72,0.79,636800
28/06/1990,1.73,1.78,1.72,1.77,0.81,550400
29/06/1990,1.75,1.77,1.67,1.7,0.78,1264000
02/07/1990,1.69,1.7,1.67,1.67,0.77,256000
03/07/1990,1.72,1.72,1.69,1.69,0.77,256000
05/07/1990,1.67,1.67,1.67,1.67,0.77,30400
06/07/1990,1.67,1.67,1.64,1.64,0.75,96000
09/07/1990,1.64,1.67,1.59,1.6,0.73,840000
10/07/1990,1.62,1.62,1.59,1.62,0.75,124800
11/07/1990,1.59,1.59,1.59,1.59,0.73,16000
12/07/1990,1.62,1.62,1.59,1.62,0.75,25600
13/07/1990,1.59,1.64,1.59,1.64,0.75,70400
16/07/1990,1.62,1.66,1.62,1.66,0.76,313600
17/07/1990,1.66,1.66,1.64,1.66,0.76,83200
18/07/1990,1.66,1.66,1.62,1.62,0.75,100800
19/07/1990,1.62,1.66,1.62,1.66,0.76,30400
20/07/1990,1.64,1.66,1.64,1.66,0.76,424000
23/07/1990,1.62,1.66,1.62,1.62,0.75,1369600
24/07/1990,1.62,1.66,1.62,1.66,0.76,556800
25/07/1990,1.64,1.64,1.64,1.64,0.75,32000
26/07/1990,1.66,1.66,1.62,1.62,0.75,62400
27/07/1990,1.62,1.66,1.62,1.66,0.76,168000
30/07/1990,1.62,1.64,1.62,1.63,0.75,160000
31/07/1990,1.64,1.64,1.62,1.62,0.75,1475200
01/08/1990,1.62,1.64,1.62,1.64,0.75,185600
02/08/1990,1.64,1.64,1.62,1.62,0.75,49600
03/08/1990,1.62,1.62,1.58,1.58,0.72,212800
06/08/1990,1.59,1.59,1.54,1.58,0.72,1358400
07/08/1990,1.58,1.58,1.53,1.53,0.7,19200
08/08/1990,1.53,1.58,1.53,1.54,0.71,640000
09/08/1990,1.54,1.54,1.54,1.54,0.71,0
10/08/1990,1.56,1.56,1.53,1.53,0.7,12800
13/08/1990,1.53,1.55,1.52,1.55,0.71,241600
14/08/1990,1.53,1.53,1.42,1.45,0.67,1288000
15/08/1990,1.45,1.48,1.45,1.45,0.67,937600
16/08/1990,1.45,1.48,1.44,1.45,0.66,265600
17/08/1990,1.44,1.45,1.42,1.42,0.65,140800
20/08/1990,1.42,1.42,1.42,1.42,0.65,4800
21/08/1990,1.42,1.45,1.42,1.42,0.65,86400
22/08/1990,1.42,1.42,1.36,1.36,0.62,265600
23/08/1990,1.38,1.41,1.31,1.31,0.6,1158400
24/08/1990,1.31,1.34,1.3,1.34,0.62,385600
27/08/1990,1.36,1.38,1.34,1.35,0.62,516800
28/08/1990,1.34,1.38,1.34,1.35,0.62,452800
29/08/1990,1.38,1.41,1.36,1.41,0.64,408000
30/08/1990,1.41,1.41,1.38,1.38,0.63,20800
31/08/1990,1.38,1.38,1.33,1.33,0.61,396800
04/09/1990,1.34,1.34,1.31,1.31,0.6,9600
05/09/1990,1.31,1.33,1.31,1.33,0.61,89600
06/09/1990,1.31,1.34,1.31,1.31,0.6,52800
07/09/1990,1.31,1.34,1.3,1.31,0.6,974400
10/09/1990,1.31,1.31,1.31,1.31,0.6,56000
11/09/1990,1.34,1.34,1.31,1.31,0.6,124800
12/09/1990,1.31,1.31,1.23,1.23,0.57,433600
13/09/1990,1.27,1.28,1.25,1.27,0.58,636800
14/09/1990,1.28,1.28,1.25,1.27,0.58,332800
17/09/1990,1.25,1.25,1.25,1.25,0.57,33600
18/09/1990,1.28,1.28,1.28,1.28,0.59,33600
19/09/1990,1.26,1.26,1.25,1.25,0.57,36800
20/09/1990,1.25,1.25,1.24,1.24,0.57,40000
21/09/1990,1.23,1.27,1.23,1.27,0.58,59200
24/09/1990,1.25,1.25,1.22,1.25,0.58,268800
25/09/1990,1.25,1.27,1.23,1.23,0.57,241600
26/09/1990,1.27,1.27,1.23,1.23,0.57,1025600
27/09/1990,1.25,1.27,1.23,1.23,0.57,609600
28/09/1990,1.23,1.28,1.22,1.28,0.59,84800
01/10/1990,1.25,1.25,1.22,1.22,0.56,43200
02/10/1990,1.28,1.28,1.28,1.28,0.59,19200
03/10/1990,1.22,1.28,1.22,1.25,0.58,22400
04/10/1990,1.22,1.28,1.22,1.28,0.59,81600
05/10/1990,1.22,1.25,1.22,1.22,0.56,259200
08/10/1990,1.2,1.21,1.19,1.2,0.55,190400
09/10/1990,1.19,1.22,1.06,1.11,0.51,1976000
10/10/1990,1.11,1.11,1.06,1.09,0.51,1875200
11/10/1990,1.09,1.09,1.03,1.03,0.48,921600
12/10/1990,1.02,1.05,1.02,1.03,0.48,1712000
15/10/1990,1.03,1.03,0.97,1.0,0.46,1894400
16/10/1990,0.97,0.97,0.91,0.92,0.43,920000
17/10/1990,0.89,0.92,0.89,0.9,0.42,1452800
18/10/1990,0.91,1.0,0.91,0.98,0.45,2646400
19/10/1990,1.0,1.02,0.98,0.98,0.45,891200
22/10/1990,0.98,1.05,0.98,1.05,0.48,278400
23/10/1990,1.02,1.03,1.02,1.03,0.48,1502400
24/10/1990,1.05,1.05,1.04,1.04,0.48,8000
25/10/1990,1.05,1.05,1.0,1.0,0.46,25600
26/10/1990,1.0,1.05,1.0,1.05,0.48,804800
29/10/1990,1.05,1.05,1.0,1.0,0.46,192000
30/10/1990,1.0,1.02,1.0,1.0,0.46,1011200
31/10/1990,1.02,1.02,1.0,1.02,0.47,278400
01/11/1990,1.02,1.02,0.98,0.98,0.45,20800
02/11/1990,1.02,1.05,1.0,1.05,0.49,419200
05/11/1990,1.06,1.08,1.06,1.08,0.5,678400
06/11/1990,1.02,1.08,1.02,1.03,0.48,35200
07/11/1990,1.08,1.08,1.03,1.03,0.48,369600
08/11/1990,1.05,1.06,1.02,1.03,0.48,123200
09/11/1990,1.02,1.06,1.02,1.05,0.48,100800
12/11/1990,1.06,1.06,1.03,1.06,0.49,187200
13/11/1990,1.08,1.19,1.08,1.18,0.55,1800000
14/11/1990,1.22,1.22,1.17,1.17,0.54,318400
15/11/1990,1.16,1.17,1.12,1.12,0.52,268800
16/11/1990,1.17,1.17,1.12,1.12,0.52,9600
19/11/1990,1.17,1.17,1.12,1.12,0.52,302400
20/11/1990,1.16,1.17,1.12,1.17,0.54,281600
21/11/1990,1.17,1.17,1.12,1.17,0.54,224000
23/11/1990,1.17,1.17,1.12,1.17,0.54,401600
26/11/1990,1.17,1.2,1.17,1.2,0.56,142400
27/11/1990,1.19,1.22,1.16,1.22,0.56,65600
28/11/1990,1.22,1.22,1.16,1.22,0.56,107200
29/11/1990,1.22,1.22,1.19,1.19,0.55,49600
30/11/1990,1.2,1.22,1.19,1.19,0.55,766400
03/12/1990,1.22,1.31,1.22,1.28,0.59,660800
04/12/1990,1.31,1.45,1.28,1.45,0.67,1088000
05/12/1990,1.47,1.52,1.42,1.52,0.7,528000
06/12/1990,1.52,1.58,1.42,1.42,0.66,1585600
07/12/1990,1.44,1.45,1.39,1.45,0.67,129600
10/12/1990,1.47,1.55,1.45,1.5,0.69,681600
11/12/1990,1.55,1.55,1.5,1.52,0.7,187200
12/12/1990,1.5,1.5,1.48,1.48,0.69,134400
13/12/1990,1.48,1.53,1.48,1.53,0.71,561600
14/12/1990,1.48,1.48,1.44,1.45,0.67,683200
17/12/1990,1.47,1.47,1.42,1.47,0.68,105600
