Date,Open,High,Low,Close,Adj Close,Volume
29/06/2010,1.27,1.67,1.17,1.59,1.59,281494500
30/06/2010,1.72,2.03,1.55,1.59,1.59,257806500
01/07/2010,1.67,1.73,1.35,1.46,1.46,123282000
02/07/2010,1.53,1.54,1.25,1.28,1.28,77097000
06/07/2010,1.33,1.33,1.06,1.07,1.07,103003500
07/07/2010,1.09,1.11,1.0,1.05,1.05,103825500
08/07/2010,1.08,1.17,1.04,1.16,1.16,115671000
09/07/2010,1.17,1.19,1.1,1.16,1.16,60759000
12/07/2010,1.2,1.2,1.13,1.14,1.14,33037500
13/07/2010,1.16,1.24,1.13,1.21,1.21,40201500
14/07/2010,1.2,1.34,1.18,1.32,1.32,62928000
15/07/2010,1.33,1.43,1.27,1.33,1.33,56097000
16/07/2010,1.38,1.42,1.34,1.38,1.38,39319500
19/07/2010,1.42,1.48,1.39,1.46,1.46,37297500
20/07/2010,1.46,1.46,1.34,1.35,1.35,27379500
21/07/2010,1.38,1.39,1.3,1.35,1.35,18787500
22/07/2010,1.37,1.42,1.36,1.4,1.4,14367000
23/07/2010,1.41,1.44,1.4,1.42,1.42,9804000
26/07/2010,1.43,1.43,1.35,1.4,1.4,13833000
27/07/2010,1.39,1.41,1.35,1.37,1.37,9295500
28/07/2010,1.37,1.39,1.37,1.38,1.38,7008000
29/07/2010,1.38,1.39,1.33,1.36,1.36,9240000
30/07/2010,1.35,1.36,1.3,1.33,1.33,6403500
02/08/2010,1.37,1.4,1.36,1.39,1.39,10771500
03/08/2010,1.4,1.46,1.39,1.46,1.46,18457500
04/08/2010,1.46,1.48,1.39,1.42,1.42,13695000
05/08/2010,1.44,1.44,1.34,1.36,1.36,11943000
06/08/2010,1.34,1.34,1.3,1.31,1.31,11128500
09/08/2010,1.33,1.33,1.3,1.31,1.31,12190500
10/08/2010,1.31,1.31,1.25,1.27,1.27,19219500
11/08/2010,1.25,1.26,1.19,1.19,1.19,11964000
12/08/2010,1.19,1.19,1.16,1.17,1.17,10365000
13/08/2010,1.21,1.23,1.18,1.22,1.22,9510000
16/08/2010,1.23,1.25,1.22,1.25,1.25,7287000
17/08/2010,1.26,1.29,1.25,1.28,1.28,6718500
18/08/2010,1.31,1.31,1.24,1.25,1.25,9019500
19/08/2010,1.24,1.28,1.22,1.25,1.25,8686500
20/08/2010,1.24,1.27,1.23,1.27,1.27,4440000
23/08/2010,1.27,1.36,1.27,1.34,1.34,16321500
24/08/2010,1.28,1.31,1.26,1.28,1.28,10096500
25/08/2010,1.28,1.33,1.24,1.33,1.33,7549500
26/08/2010,1.33,1.35,1.31,1.32,1.32,6507000
27/08/2010,1.32,1.32,1.3,1.31,1.31,5694000
30/08/2010,1.31,1.35,1.31,1.32,1.32,10992000
31/08/2010,1.31,1.32,1.29,1.3,1.3,3016500
01/09/2010,1.31,1.38,1.31,1.36,1.36,7423500
02/09/2010,1.36,1.42,1.35,1.4,1.4,7306500
03/09/2010,1.39,1.42,1.38,1.4,1.4,6519000
07/09/2010,1.37,1.4,1.37,1.37,1.37,3651000
08/09/2010,1.38,1.4,1.37,1.39,1.39,4326000
09/09/2010,1.4,1.4,1.38,1.38,1.38,5643000
10/09/2010,1.38,1.4,1.32,1.34,1.34,5799000
13/09/2010,1.39,1.39,1.37,1.38,1.38,5412000
14/09/2010,1.37,1.44,1.37,1.41,1.41,9820500
15/09/2010,1.4,1.47,1.39,1.47,1.47,10269000
16/09/2010,1.48,1.54,1.39,1.4,1.4,40267500
17/09/2010,1.4,1.42,1.32,1.35,1.35,17977500
20/09/2010,1.38,1.42,1.34,1.4,1.4,14212500
21/09/2010,1.39,1.44,1.38,1.38,1.38,11940000
22/09/2010,1.39,1.4,1.32,1.32,1.32,14443500
23/09/2010,1.33,1.34,1.3,1.3,1.3,10021500
