Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,8.42,8.42,8.29,8.38,5.62,258600
03/01/1990,8.46,8.5,8.38,8.42,5.65,550200
04/01/1990,8.46,8.46,8.29,8.38,5.62,273300
05/01/1990,8.38,8.5,8.33,8.42,5.65,328500
08/01/1990,8.46,8.46,8.33,8.42,5.65,189000
09/01/1990,8.38,8.42,8.29,8.33,5.59,202200
10/01/1990,8.25,8.38,8.21,8.33,5.59,459900
11/01/1990,8.38,8.46,8.0,8.08,5.43,1296600
12/01/1990,8.04,8.04,7.79,7.92,5.31,704700
15/01/1990,7.92,7.96,7.79,7.88,5.29,259800
16/01/1990,7.83,8.12,7.75,8.04,5.4,444900
17/01/1990,8.04,8.21,8.04,8.04,5.4,372000
18/01/1990,8.04,8.04,7.96,8.0,5.37,408300
19/01/1990,8.0,8.12,8.0,8.04,5.4,139800
22/01/1990,8.12,8.12,7.96,8.08,5.43,528300
23/01/1990,8.12,8.33,8.12,8.25,5.54,677100
24/01/1990,8.17,8.29,8.12,8.21,5.51,482100
25/01/1990,8.33,8.33,8.21,8.21,5.51,237900
26/01/1990,8.25,8.25,8.08,8.17,5.48,254400
29/01/1990,8.21,8.21,7.88,8.0,5.37,215100
30/01/1990,8.0,8.0,7.79,7.96,5.34,461100
31/01/1990,7.96,8.21,7.92,8.17,5.48,327600
01/02/1990,8.21,8.33,8.17,8.29,5.57,862500
02/02/1990,8.25,8.33,8.17,8.29,5.57,160500
05/02/1990,8.25,8.25,8.12,8.12,5.45,321300
06/02/1990,8.21,8.21,8.04,8.12,5.45,157500
07/02/1990,8.04,8.12,8.0,8.0,5.37,359100
08/02/1990,8.0,8.0,7.58,7.71,5.17,1082700
09/02/1990,7.75,7.75,7.67,7.75,5.2,2220900
12/02/1990,7.67,7.83,7.67,7.75,5.2,100800
13/02/1990,7.83,7.88,7.75,7.88,5.29,251400
14/02/1990,7.83,8.12,7.79,8.04,5.4,359100
15/02/1990,8.04,8.33,8.0,8.33,5.59,685500
16/02/1990,8.38,8.58,8.29,8.5,5.71,712500
20/02/1990,8.46,8.46,8.29,8.33,5.59,299400
21/02/1990,8.29,8.58,8.12,8.58,5.76,500100
22/02/1990,8.5,9.12,8.5,8.88,5.96,1364400
23/02/1990,8.88,8.92,8.62,8.75,5.87,501900
26/02/1990,8.75,8.79,8.58,8.67,5.82,261000
27/02/1990,8.71,8.79,8.67,8.75,5.87,236400
28/02/1990,8.79,9.25,8.71,9.21,6.18,699900
01/03/1990,9.17,9.38,9.12,9.29,6.24,972600
02/03/1990,9.29,9.33,9.17,9.29,6.24,472500
05/03/1990,9.21,9.29,9.21,9.21,6.18,275700
06/03/1990,9.21,9.29,9.08,9.12,6.13,194100
07/03/1990,9.08,9.17,9.0,9.04,6.07,341400
08/03/1990,9.0,9.04,8.96,9.04,6.07,102300
09/03/1990,9.04,9.21,9.0,9.21,6.18,158100
12/03/1990,9.12,9.21,9.04,9.08,6.1,102600
13/03/1990,9.08,9.08,8.88,8.92,5.99,412200
14/03/1990,8.96,9.04,8.96,8.96,6.01,146400
15/03/1990,9.04,9.04,8.92,8.96,6.01,295200
16/03/1990,9.0,9.0,8.92,8.96,6.01,252000
19/03/1990,8.88,9.0,8.83,8.96,6.01,350700
20/03/1990,9.0,9.04,8.96,8.96,6.01,507300
21/03/1990,8.96,9.0,8.92,9.0,6.04,83100
22/03/1990,9.0,9.08,8.92,8.96,6.01,231000
23/03/1990,8.96,9.04,8.96,9.04,6.07,69300
26/03/1990,9.0,9.08,9.0,9.04,6.07,133500
27/03/1990,9.04,9.25,9.0,9.21,6.18,225000
28/03/1990,9.21,9.25,9.17,9.21,6.18,494400
29/03/1990,9.21,9.38,9.21,9.33,6.27,602400
30/03/1990,9.33,9.54,9.33,9.46,6.35,401700
02/04/1990,9.38,9.58,9.29,9.54,6.41,346800
03/04/1990,9.58,9.96,9.58,9.79,6.57,626100
04/04/1990,9.79,9.79,9.62,9.71,6.52,358800
05/04/1990,9.71,9.75,9.62,9.62,6.46,178200
06/04/1990,9.71,9.92,9.62,9.88,6.63,507000
09/04/1990,9.92,10.12,9.79,9.96,6.69,349500
10/04/1990,9.96,10.04,9.88,9.96,6.69,372000
11/04/1990,10.0,10.0,9.54,9.75,6.55,510600
12/04/1990,9.75,9.96,9.71,9.96,6.69,509100
16/04/1990,9.92,10.17,9.92,10.04,6.74,775200
17/04/1990,10.0,10.04,9.96,9.96,6.69,315000
18/04/1990,10.08,10.08,9.92,9.96,6.69,207300
19/04/1990,9.92,10.08,9.92,10.0,6.71,98400
20/04/1990,10.04,10.12,9.96,10.04,6.74,373200
23/04/1990,10.08,10.12,9.79,9.92,6.66,375900
24/04/1990,10.0,10.04,9.71,9.83,6.6,1181400
25/04/1990,9.79,9.88,9.79,9.79,6.57,649200
26/04/1990,9.83,9.88,9.75,9.88,6.63,369000
27/04/1990,9.88,9.92,9.83,9.83,6.6,249300
30/04/1990,9.88,9.88,9.75,9.83,6.6,302700
01/05/1990,9.79,9.88,9.79,9.79,6.57,167700
02/05/1990,9.83,10.08,9.79,9.92,6.66,387000
03/05/1990,10.0,10.04,9.92,10.0,6.71,196500
04/05/1990,10.04,10.12,9.96,9.96,6.69,324600
07/05/1990,10.04,10.04,9.92,9.96,6.69,429000
08/05/1990,10.0,10.04,9.96,10.04,6.74,272700
09/05/1990,10.0,10.21,10.0,10.21,6.85,372000
10/05/1990,10.17,10.54,10.17,10.46,7.02,704700
11/05/1990,10.5,10.58,10.29,10.42,6.99,446400
14/05/1990,10.42,10.58,10.42,10.54,7.08,502500
15/05/1990,10.5,10.54,10.42,10.46,7.02,145500
