Date,Open,High,Low,Close,Adj Close,Volume
15/04/1997,3.67,3.92,3.42,3.92,3.92,1785600
16/04/1997,3.92,4.17,3.58,3.71,3.71,443700
17/04/1997,3.75,4.08,3.75,3.83,3.83,252150
18/04/1997,3.83,4.0,3.83,4.0,4.0,165900
21/04/1997,3.92,4.0,3.92,4.0,4.0,77400
22/04/1997,4.0,4.0,3.92,3.92,3.92,81600
23/04/1997,4.0,4.5,3.92,4.5,4.5,180600
24/04/1997,4.5,5.0,4.42,4.83,4.83,281550
25/04/1997,4.92,4.92,4.42,4.5,4.5,114150
28/04/1997,4.5,4.71,4.33,4.33,4.33,76650
29/04/1997,4.33,4.92,4.33,4.92,4.92,122250
30/04/1997,4.75,5.08,4.75,5.04,5.04,78450
01/05/1997,5.0,5.17,5.0,5.12,5.12,33450
02/05/1997,5.0,5.0,4.67,5.0,5.0,70200
05/05/1997,4.83,5.0,4.83,4.83,4.83,12300
06/05/1997,4.83,4.92,4.83,4.83,4.83,64650
07/05/1997,4.83,4.92,4.67,4.92,4.92,37650
08/05/1997,4.75,4.92,4.75,4.75,4.75,63600
09/05/1997,4.92,4.92,4.75,4.83,4.83,35700
12/05/1997,4.92,5.67,4.83,5.42,5.42,289800
13/05/1997,5.42,5.67,5.42,5.67,5.67,24900
14/05/1997,5.67,5.67,5.5,5.5,5.5,207750
15/05/1997,5.5,5.5,5.33,5.33,5.33,75150
16/05/1997,5.33,5.5,5.0,5.5,5.5,158250
19/05/1997,5.33,5.5,5.25,5.42,5.42,60600
20/05/1997,5.42,5.42,5.25,5.25,5.25,31950
21/05/1997,5.25,5.33,4.75,5.17,5.17,146550
22/05/1997,5.17,5.25,5.17,5.17,5.17,26850
23/05/1997,5.17,5.25,5.08,5.12,5.12,42300
27/05/1997,5.25,5.42,5.0,5.33,5.33,156600
28/05/1997,5.42,5.42,5.17,5.33,5.33,36900
29/05/1997,5.33,5.67,5.25,5.33,5.33,105300
30/05/1997,5.33,5.33,5.0,5.25,5.25,127500
02/06/1997,5.29,5.29,5.25,5.25,5.25,25950
03/06/1997,5.25,5.58,5.25,5.5,5.5,184050
04/06/1997,5.42,5.54,5.33,5.33,5.33,47400
05/06/1997,5.33,5.5,5.33,5.46,5.46,48000
06/06/1997,5.5,5.5,5.33,5.33,5.33,29850
09/06/1997,5.33,5.5,5.33,5.33,5.33,23100
10/06/1997,5.33,5.42,5.33,5.33,5.33,14850
11/06/1997,5.33,5.42,5.33,5.42,5.42,5400
12/06/1997,5.33,6.0,5.33,5.75,5.75,213150
13/06/1997,6.0,6.0,5.75,5.75,5.75,55050
16/06/1997,5.75,5.83,5.75,5.75,5.75,8250
17/06/1997,5.83,5.83,5.58,5.67,5.67,83850
18/06/1997,5.67,5.83,5.5,5.58,5.58,67500
19/06/1997,5.75,5.75,5.42,5.5,5.5,67500
20/06/1997,5.42,5.58,5.42,5.5,5.5,19200
23/06/1997,5.42,5.5,5.42,5.42,5.42,61500
24/06/1997,5.42,5.58,5.42,5.58,5.58,87900
25/06/1997,5.42,5.42,5.08,5.33,5.33,44550
