Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,6.16,6.25,6.12,6.25,3.76,1431200
03/01/1990,6.25,6.28,6.0,6.06,3.64,706400
04/01/1990,6.06,6.12,5.97,6.09,3.66,350000
05/01/1990,6.09,6.22,6.03,6.22,3.74,723200
08/01/1990,6.22,6.22,6.0,6.03,3.63,697600
09/01/1990,6.06,6.09,5.94,5.94,3.57,766000
10/01/1990,5.91,5.94,5.78,5.91,3.55,616000
11/01/1990,5.94,5.97,5.94,5.94,3.57,387200
12/01/1990,5.88,5.91,5.69,5.69,3.42,421600
15/01/1990,5.62,5.72,5.56,5.72,3.44,544400
16/01/1990,5.62,5.84,5.62,5.75,3.46,202400
17/01/1990,5.81,5.97,5.78,5.81,3.49,399200
18/01/1990,5.84,6.0,5.75,5.91,3.55,1092800
19/01/1990,5.97,5.97,5.75,5.75,3.46,1015600
22/01/1990,5.75,5.84,5.56,5.59,3.36,366000
23/01/1990,5.59,5.62,5.38,5.56,3.34,629600
24/01/1990,5.47,5.59,5.34,5.53,3.32,314400
25/01/1990,5.62,5.66,5.38,5.41,3.25,1113600
26/01/1990,5.47,5.56,5.38,5.53,3.32,341600
29/01/1990,5.59,5.59,5.41,5.53,3.32,407200
30/01/1990,5.53,5.56,5.25,5.28,3.17,503200
31/01/1990,5.34,5.38,5.31,5.38,3.23,494000
01/02/1990,5.38,5.47,5.31,5.44,3.27,497200
02/02/1990,5.38,5.75,5.34,5.66,3.4,596400
05/02/1990,5.72,5.81,5.69,5.78,3.48,414400
06/02/1990,5.72,5.72,5.56,5.66,3.4,411600
07/02/1990,5.59,5.78,5.53,5.78,3.48,359200
08/02/1990,5.78,5.94,5.78,5.88,3.53,599200
09/02/1990,5.88,5.94,5.81,5.84,3.51,306800
12/02/1990,5.75,5.75,5.53,5.59,3.36,231600
13/02/1990,5.62,5.72,5.5,5.72,3.44,250800
14/02/1990,5.72,5.78,5.69,5.72,3.44,412400
15/02/1990,5.72,5.72,5.62,5.66,3.4,265600
16/02/1990,5.62,5.66,5.53,5.59,3.36,355200
20/02/1990,5.53,5.56,5.38,5.44,3.27,578800
21/02/1990,5.34,5.34,5.28,5.31,3.19,352000
22/02/1990,5.31,5.59,5.31,5.47,3.29,757600
23/02/1990,5.41,5.56,5.38,5.5,3.31,423200
26/02/1990,5.56,5.75,5.5,5.62,3.38,328400
27/02/1990,5.66,5.75,5.66,5.69,3.42,860400
28/02/1990,5.66,5.78,5.66,5.78,3.48,676400
01/03/1990,5.78,5.84,5.72,5.84,3.51,827200
02/03/1990,5.91,6.03,5.88,5.97,3.59,766400
05/03/1990,5.97,5.97,5.88,5.97,3.63,440000
06/03/1990,5.97,6.06,5.94,6.06,3.68,1096400
07/03/1990,6.06,6.16,6.03,6.09,3.7,631600
08/03/1990,6.12,6.28,6.09,6.28,3.82,655200
09/03/1990,6.28,6.28,6.16,6.25,3.8,502800
12/03/1990,6.25,6.28,6.22,6.25,3.8,732800
13/03/1990,6.22,6.31,6.09,6.09,3.7,816000
14/03/1990,6.03,6.09,5.94,5.94,3.61,590400
15/03/1990,6.0,6.06,5.94,6.0,3.64,286000
16/03/1990,6.09,6.09,5.91,5.94,3.61,666400
19/03/1990,5.94,5.97,5.91,5.94,3.61,389200
20/03/1990,5.94,6.09,5.91,6.0,3.64,419200
21/03/1990,6.0,6.0,5.81,5.84,3.55,630800
22/03/1990,5.78,5.84,5.72,5.75,3.49,1130400
23/03/1990,5.81,5.84,5.75,5.84,3.55,890000
26/03/1990,5.88,5.88,5.84,5.88,3.57,332800
27/03/1990,5.88,5.88,5.69,5.72,3.47,686800
28/03/1990,5.66,5.72,5.62,5.69,3.46,808000
29/03/1990,5.66,5.72,5.59,5.66,3.44,278000
30/03/1990,5.62,5.66,5.53,5.66,3.44,422400
02/04/1990,5.56,5.62,5.5,5.62,3.42,465200
03/04/1990,5.81,5.84,5.75,5.84,3.55,1053200
04/04/1990,5.88,5.97,5.81,5.84,3.55,452400
05/04/1990,5.84,5.84,5.69,5.78,3.51,361600
06/04/1990,5.78,5.88,5.75,5.75,3.49,816000
09/04/1990,5.75,5.84,5.75,5.81,3.53,256000
10/04/1990,5.78,5.97,5.75,5.91,3.59,607600
11/04/1990,5.97,6.0,5.88,5.88,3.57,382000
12/04/1990,5.94,5.94,5.84,5.88,3.57,696000
16/04/1990,5.97,6.0,5.88,5.94,3.61,1184000
17/04/1990,5.94,6.0,5.88,6.0,3.64,566400
18/04/1990,6.06,6.06,5.94,6.0,3.64,235600
19/04/1990,5.94,6.0,5.91,5.91,3.59,392400
20/04/1990,5.94,5.94,5.78,5.78,3.51,2562000
23/04/1990,5.75,5.78,5.72,5.75,3.49,278800
24/04/1990,5.78,6.03,5.78,5.94,3.61,560800
25/04/1990,5.94,6.06,5.88,6.03,3.66,732400
26/04/1990,6.09,6.12,6.0,6.0,3.64,1319600
27/04/1990,6.0,6.06,6.0,6.0,3.64,733200
30/04/1990,6.0,6.06,5.97,6.0,3.64,375200
01/05/1990,6.06,6.12,6.0,6.0,3.64,715200
02/05/1990,6.03,6.03,5.91,6.0,3.64,730000
03/05/1990,6.0,6.03,5.94,6.03,3.66,240400
04/05/1990,6.03,6.03,5.88,5.97,3.63,691200
07/05/1990,6.0,6.09,5.97,6.0,3.64,569200
08/05/1990,6.03,6.06,5.97,6.03,3.66,754000
09/05/1990,6.0,6.06,5.97,6.0,3.64,826400
10/05/1990,6.09,6.09,5.97,6.06,3.68,392000
11/05/1990,6.09,6.12,6.03,6.09,3.7,1449600
14/05/1990,6.06,6.22,6.03,6.19,3.76,721600
15/05/1990,6.19,6.19,6.12,6.19,3.76,452800
16/05/1990,6.16,6.22,6.06,6.16,3.74,455600
17/05/1990,6.16,6.16,6.06,6.09,3.7,290000
18/05/1990,6.06,6.09,6.0,6.09,3.7,466000
21/05/1990,6.0,6.06,5.94,5.97,3.63,318400
22/05/1990,5.94,5.97,5.81,5.91,3.59,693600
23/05/1990,5.91,6.0,5.88,6.0,3.64,800800
24/05/1990,6.03,6.03,5.91,5.97,3.63,959200
25/05/1990,5.91,6.0,5.91,5.97,3.63,381200
29/05/1990,5.94,6.03,5.91,6.03,3.66,488000
