Date,Open,High,Low,Close,Adj Close,Volume
06/02/2006,34.82,34.94,33.7,33.9,31.7,1940300
07/02/2006,33.9,33.9,31.73,32.99,30.85,3224600
08/02/2006,31.46,32.4,30.88,32.0,29.92,8960500
09/02/2006,29.8,34.98,29.51,34.5,32.26,8016600
10/02/2006,33.92,35.57,33.6,34.24,32.02,2229100
13/02/2006,36.01,36.22,34.43,35.04,32.77,4804900
14/02/2006,34.04,36.25,34.02,35.78,33.46,3630300
15/02/2006,35.2,36.62,35.2,36.53,34.16,3260600
16/02/2006,36.04,36.29,35.45,35.7,33.38,2042100
17/02/2006,36.11,37.0,35.07,36.93,34.53,2265000
21/02/2006,35.88,36.23,35.25,35.43,33.13,2121900
22/02/2006,35.71,36.7,35.34,36.08,33.74,1659600
23/02/2006,35.5,36.98,35.4,36.14,33.8,1637400
24/02/2006,35.52,35.99,35.45,35.8,33.48,1364600
27/02/2006,35.7,35.85,35.2,35.5,33.2,2381100
28/02/2006,35.69,36.32,35.28,35.47,33.17,1093400
01/03/2006,35.26,36.4,35.06,36.1,33.76,1401600
02/03/2006,35.65,36.34,35.61,36.07,33.73,1374000
03/03/2006,36.0,36.95,36.0,36.62,34.24,1701600
06/03/2006,36.43,37.2,36.43,36.92,34.53,753600
07/03/2006,36.76,38.0,36.75,37.22,34.81,833100
08/03/2006,37.03,37.52,37.0,37.41,34.98,878800
09/03/2006,37.41,37.41,37.09,37.32,34.9,776100
10/03/2006,37.15,38.15,36.92,38.14,35.67,1517200
13/03/2006,37.95,38.89,37.8,38.22,35.74,3228300
14/03/2006,38.11,39.1,38.11,38.99,36.46,2658400
15/03/2006,39.08,39.8,38.87,39.57,37.0,1574200
16/03/2006,39.31,39.57,39.17,39.27,36.72,568100
17/03/2006,39.03,39.2,38.77,39.2,36.66,1345500
20/03/2006,38.76,40.24,38.76,40.15,37.55,1850900
21/03/2006,40.78,42.24,40.54,40.94,38.28,3005000
22/03/2006,40.65,43.0,40.62,42.64,39.87,1677900
23/03/2006,42.35,42.73,41.51,41.7,39.0,1488400
24/03/2006,41.7,42.46,41.4,41.71,39.0,612700
27/03/2006,41.33,42.44,41.3,42.31,39.57,878400
28/03/2006,41.98,42.22,40.53,40.8,38.15,1143200
29/03/2006,40.46,41.0,39.55,40.52,37.89,792200
30/03/2006,40.5,40.77,38.5,39.01,36.48,1274200
31/03/2006,38.85,40.5,38.62,39.93,37.34,1007000
03/04/2006,39.5,39.9,39.0,39.13,36.59,691800
04/04/2006,38.87,39.83,38.12,39.08,36.55,947700
05/04/2006,39.3,39.4,38.92,39.34,36.79,677600
06/04/2006,39.02,39.4,38.69,38.92,36.4,556200
07/04/2006,38.65,39.32,38.48,38.82,36.3,634400
10/04/2006,38.47,38.75,37.21,37.76,35.31,1563000
11/04/2006,37.02,38.7,37.02,38.3,35.82,2497400
12/04/2006,38.07,39.28,38.07,38.88,36.36,2920000
13/04/2006,38.5,40.05,38.3,39.43,36.87,2065600
17/04/2006,39.33,39.34,38.06,38.61,36.11,1740100
18/04/2006,38.31,39.1,37.5,37.87,35.41,1517600
19/04/2006,37.99,38.68,37.3,38.04,35.57,2853100
20/04/2006,37.83,38.34,36.4,36.79,34.4,1936500
21/04/2006,36.54,36.93,34.01,34.44,32.21,1690200
24/04/2006,33.9,36.4,33.61,36.07,33.73,1849600
25/04/2006,35.58,36.15,34.56,35.9,33.57,1966700
26/04/2006,35.97,36.22,35.21,35.76,33.44,1197000
27/04/2006,35.36,36.88,35.36,36.83,34.44,954500
28/04/2006,36.73,36.85,35.8,36.01,33.67,1461600
01/05/2006,35.86,36.6,34.8,35.28,32.99,1676500
02/05/2006,35.19,36.34,35.16,36.01,33.67,1909600
03/05/2006,35.76,38.09,35.28,37.62,35.18,1549500
04/05/2006,37.56,39.51,37.54,38.63,36.12,1564100
05/05/2006,38.28,39.7,38.02,38.97,36.44,922200
08/05/2006,38.76,38.97,35.34,35.5,33.2,3517400
09/05/2006,35.02,35.5,33.3,35.2,32.92,2836700
10/05/2006,35.0,35.27,34.11,34.61,32.37,1159000
11/05/2006,34.5,34.55,33.62,33.68,31.5,1261500
12/05/2006,33.67,34.05,33.23,33.5,31.33,955000
15/05/2006,33.5,34.07,33.22,33.83,31.64,2150200
16/05/2006,33.62,33.98,32.15,32.69,30.57,1520000
17/05/2006,32.14,33.3,31.45,32.81,30.68,1023300
18/05/2006,32.82,33.38,32.0,32.44,30.34,931000
19/05/2006,32.0,33.7,31.99,32.92,30.78,1766800
22/05/2006,32.53,32.95,31.5,32.15,30.06,1212300
23/05/2006,32.31,32.65,31.53,31.57,29.52,1060900
24/05/2006,31.48,31.63,29.74,30.39,28.42,2333400
25/05/2006,29.92,31.29,29.92,30.6,28.62,1067200
26/05/2006,30.74,31.22,30.74,31.05,29.04,1123000
30/05/2006,30.82,31.09,28.75,28.99,27.11,1600000
31/05/2006,28.94,29.54,28.31,29.43,27.52,2523900
