Date,Open,High,Low,Close,Adj Close,Volume
10/05/2019,42.0,45.0,41.06,41.57,41.57,186322500
13/05/2019,38.79,39.24,36.08,37.1,37.1,79442400
14/05/2019,38.31,39.96,36.85,39.96,39.96,46661100
15/05/2019,39.37,41.88,38.95,41.29,41.29,36086100
16/05/2019,41.48,44.06,41.25,43.0,43.0,38115500
17/05/2019,41.98,43.29,41.27,41.91,41.91,20225700
20/05/2019,41.19,41.68,39.46,41.59,41.59,29222300
21/05/2019,42.0,42.24,41.25,41.5,41.5,10802900
22/05/2019,41.05,41.28,40.5,41.25,41.25,9089500
23/05/2019,40.8,41.09,40.02,40.47,40.47,11119900
24/05/2019,41.28,41.51,40.5,41.51,41.51,8786800
28/05/2019,41.7,41.8,40.6,40.95,40.95,13391600
29/05/2019,40.52,40.71,39.15,39.94,39.94,14060400
30/05/2019,40.07,40.38,39.5,39.8,39.8,26451900
31/05/2019,41.15,41.57,39.41,40.41,40.41,23209800
03/06/2019,40.74,41.85,40.24,41.25,41.25,16605300
04/06/2019,42.56,42.88,40.7,42.75,42.75,23432100
05/06/2019,42.87,45.66,42.5,45.0,45.0,28609600
06/06/2019,45.0,45.75,44.28,44.92,44.92,16403700
07/06/2019,44.92,45.67,44.13,44.16,44.16,12654700
10/06/2019,44.02,44.59,42.53,42.61,42.61,11618700
11/06/2019,43.22,43.65,41.8,42.45,42.45,9095000
12/06/2019,42.52,42.65,41.71,42.17,42.17,5965300
13/06/2019,43.05,44.35,42.8,44.31,44.31,10178900
14/06/2019,44.75,44.8,43.11,43.23,43.23,7902200
17/06/2019,43.28,44.08,42.93,43.78,43.78,6557600
18/06/2019,44.3,44.89,43.75,43.86,43.86,7313600
19/06/2019,44.46,45.5,43.95,44.86,44.86,10331500
20/06/2019,45.03,45.29,43.51,43.86,43.86,9567400
21/06/2019,43.85,44.14,43.38,44.0,44.0,4974000
24/06/2019,44.0,44.07,42.82,43.09,43.09,5985100
25/06/2019,43.28,43.79,42.44,43.09,43.09,5753300
26/06/2019,43.25,43.4,42.36,42.5,42.5,8109100
27/06/2019,43.35,45.3,43.2,45.13,45.13,20155100
28/06/2019,45.1,47.08,45.08,46.38,46.38,28657000
