Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,1.22,1.16,1.17,1.05,146400
03/01/1990,0.0,1.27,1.19,1.23,1.11,383200
04/01/1990,0.0,1.25,1.22,1.22,1.1,379200
05/01/1990,0.0,1.23,1.19,1.19,1.07,214400
08/01/1990,0.0,1.2,1.17,1.19,1.07,324800
09/01/1990,0.0,1.25,1.19,1.25,1.12,432800
10/01/1990,0.0,1.23,1.2,1.23,1.11,188800
11/01/1990,0.0,1.2,1.19,1.19,1.07,171200
12/01/1990,0.0,1.19,1.17,1.19,1.07,625600
15/01/1990,0.0,1.17,1.17,1.17,1.05,4000
16/01/1990,0.0,1.2,1.17,1.2,1.08,380000
17/01/1990,0.0,1.19,1.19,1.19,1.07,1600
18/01/1990,0.0,1.2,1.19,1.19,1.07,696800
19/01/1990,0.0,1.23,1.19,1.23,1.11,50400
22/01/1990,0.0,1.2,1.19,1.19,1.07,17600
23/01/1990,0.0,1.2,1.19,1.19,1.07,627200
24/01/1990,0.0,1.19,1.17,1.19,1.07,631200
25/01/1990,0.0,1.17,1.16,1.16,1.04,112000
26/01/1990,0.0,1.16,1.16,1.16,1.04,36000
29/01/1990,0.0,1.16,1.11,1.11,1.0,485600
30/01/1990,0.0,1.12,1.11,1.11,1.0,134400
31/01/1990,0.0,1.12,1.11,1.12,1.01,252000
01/02/1990,0.0,1.12,1.11,1.11,1.0,15200
02/02/1990,0.0,1.17,1.11,1.16,1.04,221600
05/02/1990,0.0,1.16,1.16,1.16,1.04,11200
06/02/1990,0.0,1.17,1.14,1.16,1.04,321600
07/02/1990,0.0,1.16,1.12,1.16,1.04,20000
08/02/1990,0.0,1.16,1.12,1.14,1.03,160800
09/02/1990,0.0,1.14,1.12,1.14,1.03,74400
12/02/1990,0.0,1.14,1.11,1.12,1.01,444800
13/02/1990,0.0,1.12,1.12,1.12,1.01,26400
14/02/1990,0.0,1.12,1.12,1.12,1.01,68800
15/02/1990,0.0,1.16,1.16,1.16,1.04,68000
16/02/1990,0.0,1.14,1.14,1.14,1.03,4800
20/02/1990,0.0,1.17,1.14,1.14,1.03,127200
21/02/1990,0.0,1.12,1.12,1.12,1.01,66400
22/02/1990,0.0,1.11,1.11,1.11,1.0,44800
23/02/1990,0.0,1.09,1.09,1.09,0.98,231200
