Date,Open,High,Low,Close,Adj Close,Volume
25/10/2007,33.0,35.0,28.89,29.82,29.49,7486900
26/10/2007,29.69,32.98,29.25,32.0,31.65,1625600
29/10/2007,34.0,35.0,32.65,34.7,34.32,667900
30/10/2007,35.22,35.6,33.0,35.43,35.04,455600
31/10/2007,34.93,35.63,32.95,34.2,33.82,393200
01/11/2007,33.5,33.5,32.14,32.73,32.37,453900
02/11/2007,32.74,32.97,31.52,32.42,32.06,276000
05/11/2007,31.61,32.25,31.11,31.5,31.15,342300
06/11/2007,31.51,31.9,31.35,31.43,31.08,223100
07/11/2007,31.3,31.3,29.25,29.35,29.03,525600
08/11/2007,29.25,30.15,29.25,30.0,29.67,411100
09/11/2007,29.65,30.08,29.06,29.9,29.57,213400
12/11/2007,29.67,31.16,29.04,29.04,28.72,112900
13/11/2007,29.3,30.0,28.41,29.13,28.81,236700
14/11/2007,29.16,30.25,29.1,29.95,29.62,244500
15/11/2007,29.71,30.69,29.71,30.2,29.87,76800
16/11/2007,30.2,30.7,30.0,30.69,30.35,88900
19/11/2007,30.05,30.69,28.75,29.19,28.87,238300
20/11/2007,29.71,29.72,25.26,27.0,26.7,742900
21/11/2007,26.33,26.41,23.26,24.35,24.08,810400
23/11/2007,23.74,24.24,22.85,24.17,23.9,100200
26/11/2007,24.77,25.33,24.0,24.2,23.93,233800
27/11/2007,24.44,25.0,23.8,23.87,23.61,211200
28/11/2007,24.47,25.31,24.2,24.85,24.58,417400
29/11/2007,24.49,25.02,24.19,24.79,24.52,341700
30/11/2007,25.0,26.23,24.76,25.74,25.46,199100
03/12/2007,25.98,26.75,25.55,26.3,26.01,319200
04/12/2007,26.29,26.66,25.73,25.85,25.56,180500
05/12/2007,26.08,26.75,26.01,26.54,26.25,168500
06/12/2007,26.55,27.5,26.55,27.49,27.19,102100
07/12/2007,27.67,28.85,27.66,27.98,27.67,103200
10/12/2007,28.23,28.53,26.53,27.5,27.2,281500
11/12/2007,26.5,26.79,19.35,20.91,20.68,3591000
12/12/2007,21.12,21.85,18.41,19.55,19.33,1121400
13/12/2007,19.55,19.76,17.53,18.56,18.35,1190300
14/12/2007,18.7,18.7,18.1,18.55,18.34,173500
17/12/2007,18.6,18.6,17.41,17.86,17.66,161500
18/12/2007,18.0,18.0,17.12,17.7,17.5,220900
19/12/2007,17.81,17.92,17.1,17.75,17.55,143400
20/12/2007,17.75,17.75,16.5,16.75,16.56,252700
21/12/2007,17.0,17.15,15.6,16.58,16.4,1079900
24/12/2007,16.74,16.83,16.23,16.8,16.61,189600
26/12/2007,16.7,17.95,16.41,17.35,17.16,270700
27/12/2007,17.25,17.45,17.0,17.27,17.08,123400
28/12/2007,17.26,17.48,16.9,17.1,16.91,234400
31/12/2007,17.0,17.35,16.88,17.15,16.96,515300
02/01/2008,17.0,17.1,16.23,16.55,16.37,213100
03/01/2008,16.24,16.86,15.05,15.5,15.33,296500
04/01/2008,15.75,15.75,14.49,14.49,14.33,334400
07/01/2008,14.56,14.75,11.83,12.52,12.38,993300
08/01/2008,12.8,13.75,12.35,13.55,13.4,704000
09/01/2008,13.49,14.5,13.39,14.5,14.34,1019800
10/01/2008,14.35,16.26,14.35,16.07,15.89,1232700
11/01/2008,15.7,16.0,15.21,15.8,15.63,417800
14/01/2008,15.77,16.41,15.58,16.05,15.87,237900
15/01/2008,15.65,16.06,15.58,15.61,15.44,291600
16/01/2008,15.6,16.33,15.59,15.91,15.73,297100
17/01/2008,15.83,15.92,14.39,14.76,14.6,188900
18/01/2008,14.66,14.74,12.0,12.5,12.36,951100
22/01/2008,12.0,12.86,11.78,12.58,12.44,1503700
23/01/2008,12.28,14.5,12.27,14.25,14.09,391700
24/01/2008,14.3,14.55,13.99,14.3,14.14,579400
25/01/2008,14.53,15.68,14.25,15.19,15.02,340200
28/01/2008,15.11,15.76,14.83,15.5,15.33,212400
29/01/2008,15.5,16.6,15.14,16.35,16.17,233900
30/01/2008,16.11,16.53,15.49,15.55,15.38,330100
31/01/2008,15.4,15.77,15.21,15.24,15.07,281700
01/02/2008,15.55,15.68,14.1,14.75,14.59,375000
04/02/2008,14.63,14.88,13.88,14.03,13.87,189300
05/02/2008,13.71,14.19,13.69,14.0,13.85,166000
06/02/2008,14.04,14.75,14.0,14.2,14.04,92200
07/02/2008,14.15,16.25,13.93,15.92,15.74,243500
08/02/2008,15.75,15.78,15.12,15.55,15.38,395700
11/02/2008,15.55,15.6,14.79,15.09,14.92,125200
12/02/2008,15.14,15.86,14.8,14.91,14.75,123600
13/02/2008,15.02,15.08,14.5,14.93,14.76,147500
14/02/2008,14.99,15.09,14.33,14.79,14.63,174500
15/02/2008,14.74,14.79,14.44,14.79,14.63,67100
19/02/2008,15.05,16.04,14.75,14.78,14.62,119400
20/02/2008,14.74,15.0,14.4,14.92,14.75,72300
21/02/2008,15.06,15.53,14.76,14.78,14.62,123600
22/02/2008,14.79,14.88,13.49,14.0,13.85,155300
25/02/2008,14.28,14.3,13.9,14.15,13.99,275300
26/02/2008,14.08,15.48,14.08,15.17,15.0,141400
27/02/2008,14.96,14.96,14.64,14.82,14.66,106500
28/02/2008,15.04,15.05,14.58,14.62,14.46,192500
29/02/2008,14.5,14.68,13.79,14.01,13.85,155900
03/03/2008,14.25,15.1,14.25,14.75,14.59,269600
04/03/2008,14.57,14.94,14.03,14.32,14.16,65800
05/03/2008,14.42,14.79,14.08,14.44,14.28,110300
06/03/2008,14.34,14.45,14.0,14.3,14.14,121400
07/03/2008,14.09,14.31,13.42,13.48,13.33,118000
10/03/2008,13.5,13.66,12.5,12.69,12.55,228700
11/03/2008,13.04,13.35,12.73,12.82,12.68,137900
12/03/2008,12.86,13.15,12.14,12.22,12.08,176800
13/03/2008,12.0,12.0,10.44,10.49,10.37,271200
14/03/2008,10.8,11.0,10.08,10.7,10.58,691500
17/03/2008,10.15,11.51,10.14,11.28,11.16,175300
18/03/2008,11.7,11.93,11.0,11.8,11.67,255000
19/03/2008,12.0,12.26,11.46,11.5,11.37,240100
20/03/2008,10.71,13.35,10.35,12.78,12.64,745900
24/03/2008,13.03,14.96,12.51,13.99,13.84,205600
25/03/2008,13.88,17.12,13.88,15.02,14.85,390100
26/03/2008,14.89,14.89,14.29,14.65,14.49,131500
27/03/2008,14.73,14.73,13.9,14.47,14.31,113700
28/03/2008,14.4,14.66,14.02,14.02,13.86,147100
31/03/2008,14.16,14.46,13.63,14.04,13.88,163600
01/04/2008,14.0,14.84,14.0,14.32,14.16,266200
02/04/2008,14.35,14.48,13.98,13.98,13.83,142900
03/04/2008,13.81,14.15,13.81,14.07,13.91,100800
04/04/2008,14.11,14.11,13.5,13.82,13.67,133300
07/04/2008,13.89,14.03,13.49,13.52,13.37,95000
08/04/2008,13.32,14.9,13.32,14.18,14.02,194600
09/04/2008,14.25,14.27,13.55,13.73,13.58,198900
10/04/2008,13.76,14.99,13.73,14.91,14.75,129400
11/04/2008,14.85,14.88,14.24,14.3,14.14,120900
14/04/2008,14.36,14.85,14.06,14.41,14.25,116100
15/04/2008,14.42,14.53,14.1,14.22,14.06,48200
16/04/2008,14.28,14.62,14.03,14.12,13.96,125600
17/04/2008,14.0,14.15,13.8,14.0,13.85,77100
18/04/2008,14.18,14.19,13.82,14.1,13.94,141600
21/04/2008,14.06,14.39,14.02,14.04,13.88,118700
22/04/2008,13.89,14.04,13.21,13.27,13.12,159300
23/04/2008,13.4,13.48,12.98,13.29,13.14,237300
24/04/2008,13.21,13.61,12.95,13.4,13.25,512700
25/04/2008,13.4,14.0,13.37,13.88,13.73,761500
28/04/2008,13.91,14.0,13.76,13.81,13.66,194000
29/04/2008,13.74,14.27,13.74,14.17,14.01,398000
30/04/2008,14.24,14.26,14.0,14.15,13.99,728200
01/05/2008,14.15,15.0,14.1,14.96,14.79,837600
02/05/2008,15.04,15.31,14.72,14.85,14.69,421300
05/05/2008,14.74,14.76,14.41,14.55,14.39,501000
06/05/2008,14.43,14.6,14.15,14.37,14.21,81000
07/05/2008,14.41,15.0,14.4,14.5,14.34,149100
08/05/2008,14.53,14.53,13.95,14.35,14.19,132000
09/05/2008,14.07,14.24,13.95,14.21,14.05,167400
12/05/2008,14.28,14.76,13.75,14.27,14.11,295500
13/05/2008,14.28,14.75,14.28,14.6,14.44,132200
14/05/2008,14.59,15.0,14.59,14.69,14.53,147000
15/05/2008,14.67,15.06,14.61,14.92,14.75,447600
16/05/2008,14.91,15.07,14.52,14.62,14.46,217700
19/05/2008,14.59,14.66,14.11,14.16,14.0,192100
20/05/2008,14.05,14.19,13.76,13.92,13.77,214000
21/05/2008,13.95,14.35,13.83,14.34,14.18,290100
22/05/2008,14.32,14.32,14.04,14.29,14.13,266800
23/05/2008,14.19,14.19,13.29,13.76,13.61,159600
27/05/2008,13.75,14.5,13.5,14.37,14.21,154900
