Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,0.38,0.38,0.38,0.31,2307200
03/01/1990,0.0,0.39,0.37,0.38,0.3,4316800
04/01/1990,0.0,0.38,0.36,0.37,0.3,1286400
05/01/1990,0.0,0.37,0.35,0.36,0.28,1171200
08/01/1990,0.0,0.36,0.34,0.35,0.28,1504000
09/01/1990,0.0,0.35,0.34,0.34,0.27,3404800
10/01/1990,0.0,0.34,0.34,0.34,0.28,1142400
11/01/1990,0.0,0.34,0.33,0.34,0.27,1328000
12/01/1990,0.0,0.33,0.32,0.32,0.26,6272000
15/01/1990,0.0,0.34,0.32,0.33,0.27,10822400
16/01/1990,0.0,0.34,0.32,0.34,0.27,6396800
17/01/1990,0.0,0.34,0.33,0.34,0.27,3568000
18/01/1990,0.0,0.33,0.32,0.33,0.26,8252800
19/01/1990,0.0,0.33,0.32,0.33,0.26,1283200
22/01/1990,0.0,0.33,0.3,0.31,0.25,4169600
23/01/1990,0.0,0.32,0.29,0.3,0.24,13718400
24/01/1990,0.0,0.3,0.27,0.3,0.24,15958400
25/01/1990,0.0,0.32,0.3,0.31,0.25,8422400
26/01/1990,0.0,0.31,0.29,0.29,0.23,5100800
29/01/1990,0.0,0.29,0.26,0.27,0.22,6060800
30/01/1990,0.0,0.27,0.25,0.25,0.2,11376000
31/01/1990,0.0,0.29,0.25,0.29,0.23,15990400
01/02/1990,0.0,0.29,0.27,0.28,0.23,6451200
02/02/1990,0.0,0.29,0.28,0.29,0.23,8352000
05/02/1990,0.0,0.31,0.29,0.3,0.24,3712000
06/02/1990,0.0,0.32,0.31,0.31,0.25,5996800
07/02/1990,0.0,0.32,0.3,0.31,0.25,1862400
08/02/1990,0.0,0.31,0.29,0.3,0.24,3856000
09/02/1990,0.0,0.31,0.3,0.31,0.25,5254400
12/02/1990,0.0,0.31,0.31,0.31,0.25,4259200
13/02/1990,0.0,0.32,0.31,0.32,0.25,5542400
14/02/1990,0.0,0.32,0.31,0.31,0.25,2390400
15/02/1990,0.0,0.32,0.31,0.32,0.25,2368000
16/02/1990,0.0,0.32,0.31,0.32,0.25,3107200
20/02/1990,0.0,0.32,0.31,0.31,0.25,8009600
21/02/1990,0.0,0.31,0.3,0.31,0.25,3232000
22/02/1990,0.0,0.33,0.31,0.33,0.26,19961600
23/02/1990,0.0,0.33,0.32,0.33,0.26,2451200
26/02/1990,0.0,0.33,0.32,0.32,0.26,8694400
27/02/1990,0.0,0.33,0.3,0.3,0.24,44582400
28/02/1990,0.0,0.31,0.29,0.29,0.23,30070400
01/03/1990,0.0,0.29,0.28,0.29,0.23,23104000
02/03/1990,0.0,0.29,0.28,0.29,0.23,36582400
05/03/1990,0.0,0.29,0.28,0.29,0.23,8736000
06/03/1990,0.0,0.29,0.28,0.29,0.23,11852800
07/03/1990,0.0,0.3,0.28,0.3,0.24,9635200
08/03/1990,0.0,0.31,0.3,0.31,0.25,5564800
09/03/1990,0.0,0.32,0.31,0.31,0.25,4019200
12/03/1990,0.0,0.32,0.31,0.31,0.25,243200
13/03/1990,0.0,0.32,0.3,0.31,0.25,7958400
14/03/1990,0.0,0.31,0.29,0.3,0.24,2371200
15/03/1990,0.0,0.3,0.29,0.29,0.23,3836800
16/03/1990,0.0,0.3,0.3,0.3,0.24,1494400
19/03/1990,0.0,0.3,0.29,0.3,0.24,1334400
20/03/1990,0.0,0.3,0.29,0.29,0.23,3267200
21/03/1990,0.0,0.3,0.29,0.3,0.24,2790400
22/03/1990,0.0,0.3,0.29,0.29,0.23,23584000
23/03/1990,0.0,0.3,0.29,0.3,0.24,3872000
26/03/1990,0.3,0.3,0.29,0.29,0.23,412800
27/03/1990,0.29,0.31,0.29,0.31,0.25,3913600
28/03/1990,0.31,0.31,0.3,0.3,0.24,1561600
29/03/1990,0.31,0.31,0.3,0.3,0.24,537600
30/03/1990,0.31,0.31,0.3,0.3,0.24,1756800
02/04/1990,0.3,0.31,0.29,0.31,0.25,2451200
03/04/1990,0.31,0.32,0.3,0.31,0.25,2812800
04/04/1990,0.32,0.32,0.31,0.31,0.25,4003200
05/04/1990,0.32,0.32,0.32,0.32,0.26,3961600
06/04/1990,0.32,0.33,0.32,0.32,0.26,1273600
09/04/1990,0.32,0.33,0.32,0.32,0.25,2873600
10/04/1990,0.32,0.32,0.31,0.31,0.25,2118400
11/04/1990,0.32,0.32,0.31,0.32,0.25,3440000
12/04/1990,0.32,0.33,0.32,0.33,0.26,3254400
16/04/1990,0.33,0.33,0.32,0.32,0.26,4595200
17/04/1990,0.32,0.33,0.32,0.32,0.26,7257600
18/04/1990,0.32,0.33,0.32,0.32,0.26,2291200
19/04/1990,0.32,0.32,0.32,0.32,0.26,896000
20/04/1990,0.32,0.32,0.31,0.32,0.25,1168000
23/04/1990,0.31,0.31,0.3,0.31,0.25,998400
