Date,Open,High,Low,Close,Adj Close,Volume
18/12/1997,14.5,16.12,14.38,15.0,14.75,1905200
19/12/1997,15.0,15.62,14.69,15.5,15.25,275200
22/12/1997,15.5,15.88,15.0,15.0,14.75,88300
23/12/1997,15.0,15.81,15.0,15.5,15.25,74500
24/12/1997,16.0,16.25,16.0,16.25,15.98,45400
26/12/1997,16.31,17.0,16.25,17.0,16.72,45400
29/12/1997,16.75,17.88,16.75,17.81,17.52,107100
30/12/1997,17.81,18.06,17.56,17.94,17.64,49600
31/12/1997,18.0,19.31,17.81,19.31,19.0,50800
02/01/1998,20.25,20.25,19.06,20.06,19.73,209500
05/01/1998,20.5,20.75,18.25,18.81,18.5,384300
06/01/1998,19.38,19.88,18.62,19.38,19.06,195600
07/01/1998,19.44,19.44,18.38,18.88,18.57,97700
08/01/1998,19.0,19.19,18.44,18.44,18.14,61300
09/01/1998,18.69,18.69,17.5,18.25,17.95,101700
12/01/1998,18.25,18.25,17.25,17.81,17.52,138500
13/01/1998,19.38,20.0,19.0,19.88,19.55,297400
14/01/1998,20.31,20.75,20.0,20.62,20.29,135600
15/01/1998,20.75,22.5,20.75,21.12,20.78,219900
16/01/1998,21.38,21.56,21.12,21.38,21.03,47300
20/01/1998,21.81,22.5,21.81,21.94,21.58,60600
21/01/1998,21.94,23.38,21.94,22.25,21.89,89700
22/01/1998,22.38,22.75,22.0,22.06,21.7,29500
23/01/1998,22.25,22.25,21.12,21.75,21.39,48100
26/01/1998,22.25,22.44,21.5,21.88,21.52,40000
27/01/1998,22.0,22.38,21.81,22.19,21.82,106600
28/01/1998,22.38,23.25,22.38,23.0,22.62,44300
29/01/1998,23.12,23.88,23.0,23.62,23.24,22200
30/01/1998,23.5,24.0,23.25,23.88,23.48,24000
02/02/1998,25.0,25.0,23.69,24.5,24.1,63000
03/02/1998,24.62,24.62,24.19,24.31,23.91,34900
04/02/1998,24.5,25.62,24.38,25.5,25.08,71900
05/02/1998,24.75,25.25,24.38,24.94,24.53,130700
06/02/1998,25.25,25.75,25.25,25.62,25.21,32000
09/02/1998,26.25,26.56,25.94,26.0,25.57,62100
10/02/1998,26.0,26.62,25.75,26.5,26.07,80100
11/02/1998,26.62,27.38,26.5,27.12,26.68,41700
12/02/1998,27.12,27.12,26.5,26.5,26.07,28400
13/02/1998,26.5,26.88,26.0,26.06,25.64,58500
17/02/1998,26.19,26.88,26.19,26.88,26.44,18000
18/02/1998,26.75,26.88,25.81,25.81,25.39,26100
19/02/1998,25.75,25.75,23.75,24.56,24.16,76300
20/02/1998,24.5,25.44,24.5,24.62,24.22,30600
23/02/1998,24.88,25.5,24.88,25.31,24.9,29200
24/02/1998,25.44,25.5,25.19,25.19,24.78,6400
25/02/1998,25.44,25.44,25.06,25.44,25.02,9800
26/02/1998,25.19,25.25,25.12,25.12,24.71,2900
27/02/1998,25.25,25.44,24.69,24.69,24.28,31400
02/03/1998,24.81,25.25,24.5,24.94,24.53,45100
03/03/1998,25.06,25.62,25.06,25.5,25.08,23700
04/03/1998,25.56,26.38,25.56,26.38,25.94,62700
05/03/1998,26.25,26.38,25.56,25.56,25.14,74700
06/03/1998,26.25,26.69,25.56,25.56,25.14,2289400
09/03/1998,25.56,26.12,25.38,25.56,25.14,463200
10/03/1998,25.62,25.75,25.12,25.12,24.71,284100
11/03/1998,25.19,25.31,24.0,25.12,24.71,253100
12/03/1998,25.31,25.62,25.25,25.38,24.96,242400
13/03/1998,25.5,25.62,25.0,25.5,25.08,107500
16/03/1998,25.38,25.38,25.0,25.06,24.65,64800
17/03/1998,25.19,25.62,25.06,25.62,25.21,266100
18/03/1998,25.38,25.38,24.25,24.25,23.85,402500
19/03/1998,24.38,25.0,24.38,24.5,24.1,318000
20/03/1998,24.25,24.25,23.5,23.5,23.12,273500
23/03/1998,23.5,23.75,21.5,21.94,21.58,486500
24/03/1998,22.75,24.38,22.62,24.38,23.98,391600
25/03/1998,24.5,25.25,24.06,24.88,24.47,256600
26/03/1998,24.5,24.62,24.19,24.25,23.85,57200
27/03/1998,24.25,25.38,24.25,25.25,24.84,80500
30/03/1998,25.0,25.0,24.25,24.56,24.16,201700
31/03/1998,24.5,26.0,24.5,26.0,25.57,146300
01/04/1998,26.0,26.0,25.0,25.31,24.9,60500
02/04/1998,25.25,25.38,25.0,25.31,24.9,79900
03/04/1998,25.31,26.38,25.31,25.75,25.33,173400
06/04/1998,25.94,25.94,25.25,25.31,24.9,51600
07/04/1998,25.44,25.44,24.12,24.38,23.98,86400
08/04/1998,24.25,24.81,24.25,24.75,24.34,81900
09/04/1998,25.0,25.25,24.88,25.12,24.71,63300
13/04/1998,25.25,26.06,25.0,25.88,25.45,84300
14/04/1998,28.75,29.88,27.88,29.88,29.39,561700
15/04/1998,29.75,30.25,28.75,30.12,29.63,212200
16/04/1998,30.12,31.62,30.12,31.38,30.86,154300
17/04/1998,31.12,31.88,31.06,31.5,30.98,94200
20/04/1998,31.31,31.62,30.0,30.25,29.75,79700
21/04/1998,30.5,31.38,30.25,31.0,30.49,47200
22/04/1998,31.12,31.75,31.0,31.62,31.11,42000
23/04/1998,31.75,31.75,30.12,30.5,30.0,62100
24/04/1998,30.44,30.5,29.38,30.5,30.0,112600
27/04/1998,29.75,30.5,29.19,30.5,30.0,65700
28/04/1998,33.75,34.12,33.25,34.06,33.5,321000
29/04/1998,34.5,35.31,34.25,34.5,33.94,215300
30/04/1998,34.62,35.94,34.44,34.44,33.87,108700
01/05/1998,34.44,34.81,34.44,34.5,33.94,36400
04/05/1998,34.62,35.19,34.5,34.62,34.06,314200
05/05/1998,34.62,35.38,34.5,35.12,34.55,57000
06/05/1998,35.12,35.5,35.0,35.5,34.92,464800
07/05/1998,35.38,35.75,34.88,34.88,34.3,30900
08/05/1998,35.0,35.5,34.94,35.5,34.92,38200
11/05/1998,35.75,37.25,35.75,36.56,35.96,103000
12/05/1998,36.75,36.94,36.5,36.56,35.96,39000
13/05/1998,36.5,37.25,36.5,37.0,36.39,281400
14/05/1998,37.0,37.0,36.0,36.25,35.66,88100
15/05/1998,36.25,36.31,36.12,36.12,35.53,87200
18/05/1998,35.88,35.88,33.75,33.75,33.2,220400
19/05/1998,34.0,34.5,33.0,33.75,33.2,135400
20/05/1998,33.88,34.0,33.5,33.94,33.38,120600
21/05/1998,34.0,34.0,33.69,33.94,33.38,31400
22/05/1998,34.0,34.0,33.88,33.94,33.38,23100
