Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,3.46,3.51,3.43,3.46,1.1,999041
03/01/1990,3.46,3.54,3.46,3.51,1.12,584634
04/01/1990,3.51,3.6,3.51,3.57,1.14,1550854
05/01/1990,3.54,3.68,3.54,3.6,1.15,1301422
08/01/1990,3.6,3.6,3.54,3.54,1.13,314634
09/01/1990,3.54,3.57,3.46,3.46,1.1,372398
10/01/1990,3.46,3.51,3.43,3.43,1.09,251182
11/01/1990,3.48,3.66,3.48,3.6,1.15,1102314
12/01/1990,3.54,3.6,3.51,3.57,1.14,660338
15/01/1990,3.51,3.57,3.51,3.51,1.12,291879
16/01/1990,3.48,3.6,3.46,3.57,1.14,518556
17/01/1990,3.6,3.71,3.6,3.6,1.15,1430077
18/01/1990,3.6,3.63,3.57,3.63,1.16,740857
19/01/1990,3.63,3.66,3.6,3.6,1.15,396466
22/01/1990,3.6,3.66,3.51,3.54,1.13,904082
23/01/1990,3.57,3.57,3.51,3.54,1.13,378086
24/01/1990,3.37,3.43,3.34,3.4,1.08,764050
25/01/1990,3.4,3.43,3.28,3.31,1.06,551814
26/01/1990,3.31,3.37,3.23,3.31,1.06,394715
29/01/1990,3.31,3.31,3.23,3.28,1.05,504990
30/01/1990,3.26,3.37,3.26,3.31,1.06,1226155
31/01/1990,3.31,3.43,3.31,3.43,1.1,518994
01/02/1990,3.4,3.51,3.4,3.46,1.11,561441
02/02/1990,3.48,3.48,3.4,3.48,1.11,361895
05/02/1990,3.46,3.51,3.46,3.48,1.11,202609
06/02/1990,3.48,3.51,3.46,3.48,1.11,296693
07/02/1990,3.46,3.57,3.43,3.54,1.13,540436
08/02/1990,3.54,3.63,3.48,3.51,1.12,2607658
09/02/1990,3.54,3.54,3.4,3.43,1.1,794244
12/02/1990,3.4,3.46,3.37,3.43,1.1,645022
13/02/1990,3.43,3.46,3.4,3.4,1.09,957906
14/02/1990,3.4,3.48,3.37,3.46,1.11,1005605
15/02/1990,3.48,3.54,3.46,3.51,1.12,745670
16/02/1990,3.48,3.57,3.48,3.54,1.13,600825
20/02/1990,3.46,3.54,3.46,3.51,1.12,472608
21/02/1990,3.46,3.51,3.46,3.51,1.12,449853
22/02/1990,3.51,3.6,3.48,3.48,1.11,497114
23/02/1990,3.46,3.51,3.43,3.46,1.11,884827
26/02/1990,3.46,3.51,3.46,3.51,1.12,593823
27/02/1990,3.48,3.51,3.48,3.51,1.12,316385
28/02/1990,3.48,3.51,3.46,3.51,1.12,1760027
01/03/1990,3.51,3.51,3.48,3.48,1.11,434974
02/03/1990,3.48,3.48,3.43,3.43,1.1,303694
05/03/1990,3.43,3.46,3.34,3.34,1.07,382025
06/03/1990,3.4,3.46,3.37,3.4,1.09,255996
07/03/1990,3.43,3.46,3.4,3.43,1.1,364521
