Date,Open,High,Low,Close,Adj Close,Volume
07/10/2009,27.0,28.97,26.41,27.22,26.31,63739500
08/10/2009,27.33,27.44,26.5,26.6,25.71,6906700
09/10/2009,26.83,27.49,26.38,26.4,25.51,3361300
12/10/2009,27.29,27.9,26.1,26.25,25.37,7177000
13/10/2009,26.67,27.26,26.54,27.19,26.28,3296000
14/10/2009,27.25,28.24,27.0,27.99,27.05,3222400
15/10/2009,28.28,28.8,27.75,28.31,27.36,3181300
16/10/2009,28.45,28.6,27.55,28.57,27.61,3974100
19/10/2009,28.52,28.89,27.5,27.5,26.58,1892100
20/10/2009,27.5,28.1,27.35,28.06,27.12,3387000
21/10/2009,28.0,28.35,27.86,28.0,27.06,1079000
22/10/2009,27.76,28.48,27.32,27.89,26.95,1172500
23/10/2009,28.0,28.39,27.51,28.37,27.42,2385700
26/10/2009,27.83,28.6,27.76,28.45,27.49,834400
27/10/2009,28.54,29.25,27.93,28.56,27.6,1578700
28/10/2009,28.21,28.55,27.56,27.69,26.76,1153500
29/10/2009,27.88,28.0,27.75,27.89,26.95,563500
30/10/2009,28.0,28.07,27.3,27.43,26.51,819600
02/11/2009,27.38,27.65,26.6,27.37,26.45,978000
03/11/2009,27.43,27.49,26.85,27.36,26.44,696500
04/11/2009,27.33,27.48,26.95,26.96,26.05,461200
05/11/2009,27.02,27.6,26.97,27.3,26.38,470400
06/11/2009,27.15,27.34,26.95,27.1,26.19,310800
09/11/2009,27.25,27.69,27.05,27.58,26.65,615600
10/11/2009,27.25,28.26,27.25,27.67,26.74,287300
11/11/2009,27.93,29.12,27.63,28.98,28.01,1174600
12/11/2009,28.78,30.0,28.43,28.9,27.93,1211600
13/11/2009,28.78,29.08,28.51,28.9,27.93,414900
16/11/2009,28.75,29.01,28.25,28.85,27.88,1424300
17/11/2009,28.55,28.96,27.4,27.85,26.91,2496000
18/11/2009,28.39,29.0,28.16,28.5,27.54,730900
19/11/2009,28.81,28.89,27.94,28.54,27.58,1223600
20/11/2009,28.5,28.64,28.42,28.55,27.59,875700
23/11/2009,28.68,28.68,27.67,28.4,27.45,447600
24/11/2009,28.18,28.18,27.65,27.78,26.85,685400
25/11/2009,27.72,27.81,27.17,27.3,26.38,892800
27/11/2009,26.96,27.18,26.66,26.99,26.08,264600
30/11/2009,27.34,27.4,26.73,26.91,26.01,888700
01/12/2009,26.91,28.05,26.91,27.78,26.85,617200
02/12/2009,27.76,27.81,27.35,27.51,26.59,820900
03/12/2009,27.81,27.94,27.5,27.72,26.79,491800
04/12/2009,27.85,28.44,27.85,28.43,27.47,535500
07/12/2009,28.2,28.98,27.94,28.74,27.77,361500
08/12/2009,28.41,28.92,27.9,28.61,27.65,398200
09/12/2009,28.33,28.7,28.18,28.65,27.69,449600
10/12/2009,28.57,28.7,28.13,28.4,27.45,435200
11/12/2009,28.02,28.81,28.0,28.66,27.7,590700
14/12/2009,28.56,29.04,28.56,28.99,28.02,502300
15/12/2009,28.93,29.47,28.77,29.3,28.32,891900
16/12/2009,29.27,30.97,29.15,30.39,29.37,1572400
17/12/2009,30.25,30.64,30.0,30.4,29.38,929200
18/12/2009,30.38,31.0,29.73,30.56,29.53,8298500
21/12/2009,30.78,30.78,29.89,30.5,29.48,885900
22/12/2009,30.34,30.85,30.1,30.58,29.55,420900
23/12/2009,30.68,30.94,30.21,30.68,29.65,845700
24/12/2009,30.79,31.18,30.68,30.8,29.77,170800
28/12/2009,30.89,31.12,30.62,30.96,29.92,250100
29/12/2009,30.92,31.14,30.7,31.0,29.96,283400
30/12/2009,30.91,31.0,30.45,31.0,29.96,175200
31/12/2009,30.86,31.0,30.21,30.28,29.26,154600
04/01/2010,30.41,30.5,29.67,29.85,28.85,390000
05/01/2010,29.85,30.07,29.49,30.05,29.04,430000
06/01/2010,30.0,30.87,30.0,30.44,29.42,848900
07/01/2010,30.36,30.68,29.8,30.39,29.37,426600
08/01/2010,30.21,30.27,29.98,30.0,28.99,253200
11/01/2010,30.03,30.11,29.75,29.93,28.92,676500
12/01/2010,29.99,30.38,29.84,30.16,29.15,742000
13/01/2010,30.1,30.29,30.1,30.15,29.14,394400
14/01/2010,30.09,30.1,29.89,29.91,28.91,301100
15/01/2010,29.77,29.92,28.66,28.95,27.98,766000
19/01/2010,28.84,28.84,27.81,27.95,27.01,1531700
20/01/2010,27.81,28.1,27.69,27.99,27.05,957600
21/01/2010,27.99,28.4,27.91,28.04,27.1,681800
22/01/2010,28.2,28.37,27.93,28.01,27.07,595600
25/01/2010,27.98,28.24,27.91,27.95,27.01,256500
26/01/2010,27.83,28.75,27.83,28.35,27.4,302600
27/01/2010,28.23,29.24,28.01,28.9,27.93,475200
28/01/2010,28.75,29.03,28.57,28.77,27.8,495200
29/01/2010,28.83,28.9,28.0,28.12,27.18,389800
01/02/2010,28.21,28.46,28.2,28.41,27.46,400800
02/02/2010,28.39,28.59,27.9,27.96,27.02,536200
03/02/2010,27.96,28.13,27.9,27.99,27.05,309300
04/02/2010,27.93,27.94,27.71,27.75,26.82,617700
05/02/2010,27.75,27.82,26.65,27.7,26.77,645500
08/02/2010,27.73,27.91,27.38,27.63,26.7,632500
09/02/2010,27.58,28.1,27.58,27.84,26.9,1451000
10/02/2010,27.96,28.09,27.51,27.84,26.9,496600
11/02/2010,27.7,28.18,27.7,28.02,27.08,346900
12/02/2010,27.71,28.39,27.53,28.31,27.36,875600
16/02/2010,28.1,28.41,27.95,28.25,27.3,213500
17/02/2010,28.07,28.3,27.85,27.94,27.0,456100
18/02/2010,27.77,28.1,27.66,28.0,27.06,613800
19/02/2010,27.83,28.23,27.83,28.01,27.07,152500
22/02/2010,28.0,28.42,27.89,28.24,27.29,290500
23/02/2010,28.42,28.42,27.82,28.01,27.07,390400
24/02/2010,27.99,28.0,27.88,27.96,27.02,263000
25/02/2010,27.83,28.06,27.83,27.98,27.04,328900
26/02/2010,28.08,28.3,27.96,28.3,27.35,632800
01/03/2010,28.46,28.74,28.22,28.4,27.45,321800
02/03/2010,28.4,28.65,27.79,28.02,27.08,468000
03/03/2010,27.94,28.13,27.37,27.63,26.7,663200
04/03/2010,27.57,27.94,27.05,27.24,26.32,294700
05/03/2010,27.27,27.58,27.26,27.38,26.46,716400
08/03/2010,27.24,29.35,27.17,29.03,28.05,680100
09/03/2010,28.77,28.92,27.97,28.45,27.49,706800
10/03/2010,28.35,28.79,28.35,28.53,27.57,413000
11/03/2010,28.59,28.6,28.0,28.19,27.24,479100
12/03/2010,28.43,28.71,28.0,28.2,27.25,537800
15/03/2010,28.07,28.19,27.89,28.1,27.16,463300
16/03/2010,28.06,28.15,27.98,28.05,27.11,623800
17/03/2010,28.15,28.15,28.0,28.01,27.07,415200
18/03/2010,28.01,28.5,28.0,28.37,27.42,232800
19/03/2010,28.29,28.53,27.78,28.29,27.34,462000
22/03/2010,28.22,28.77,28.14,28.2,27.25,253800
