Date,Open,High,Low,Close,Adj Close,Volume
17/11/1995,3.75,3.81,3.75,3.78,3.78,12706000
20/11/1995,3.75,3.78,3.75,3.75,3.75,1213200
21/11/1995,3.75,3.78,3.75,3.75,3.75,909600
22/11/1995,3.75,3.78,3.75,3.75,3.75,1314800
24/11/1995,3.75,3.78,3.75,3.75,3.75,275200
27/11/1995,3.75,3.78,3.75,3.75,3.75,1011600
28/11/1995,3.62,3.62,3.31,3.53,3.53,3952000
29/11/1995,3.5,3.56,3.34,3.44,3.44,708400
30/11/1995,3.44,3.75,3.41,3.69,3.69,1346000
01/12/1995,3.69,3.69,3.53,3.56,3.56,790800
04/12/1995,3.53,3.75,3.5,3.72,3.72,548000
05/12/1995,3.75,3.78,3.69,3.75,3.75,892800
06/12/1995,3.78,3.91,3.78,3.81,3.81,521200
07/12/1995,3.81,3.81,3.72,3.72,3.72,217600
08/12/1995,3.69,3.78,3.59,3.75,3.75,265200
11/12/1995,3.75,3.78,3.72,3.75,3.75,392400
12/12/1995,3.78,3.84,3.72,3.78,3.78,1363200
13/12/1995,3.91,4.09,3.84,4.03,4.03,1664000
14/12/1995,4.06,4.22,4.06,4.19,4.19,1551600
15/12/1995,4.19,4.31,4.16,4.25,4.25,902800
18/12/1995,4.25,4.28,3.97,4.16,4.16,646400
19/12/1995,4.12,4.12,4.0,4.12,4.12,324400
20/12/1995,4.12,4.25,4.12,4.16,4.16,274000
21/12/1995,4.28,4.5,4.22,4.38,4.38,660000
22/12/1995,4.41,4.5,4.38,4.41,4.41,422800
26/12/1995,4.44,4.5,4.41,4.41,4.41,156800
27/12/1995,4.44,4.53,4.38,4.5,4.5,230400
28/12/1995,4.5,4.5,4.44,4.47,4.47,213200
29/12/1995,4.5,4.56,4.44,4.56,4.56,179600
02/01/1996,4.5,4.53,4.28,4.34,4.34,456800
03/01/1996,4.28,4.41,4.19,4.41,4.41,147600
04/01/1996,4.47,4.69,4.47,4.56,4.56,385200
05/01/1996,4.5,4.81,4.5,4.69,4.69,620800
08/01/1996,4.66,4.81,4.66,4.78,4.78,67600
09/01/1996,4.75,4.75,4.72,4.72,4.72,192400
10/01/1996,4.72,4.75,4.59,4.59,4.59,305600
11/01/1996,4.62,4.66,4.56,4.56,4.56,369600
12/01/1996,4.59,4.59,4.25,4.38,4.38,232000
15/01/1996,4.38,4.56,4.38,4.5,4.5,158400
16/01/1996,4.5,4.56,4.44,4.44,4.44,52000
17/01/1996,4.38,4.44,4.28,4.38,4.38,117600
18/01/1996,4.38,4.44,4.31,4.44,4.44,56000
19/01/1996,4.47,4.69,4.47,4.69,4.69,1279200
22/01/1996,4.75,4.97,4.75,4.75,4.75,1138400
23/01/1996,4.75,4.84,4.75,4.78,4.78,170400
24/01/1996,4.84,5.03,4.81,5.03,5.03,371200
25/01/1996,5.0,5.28,5.0,5.06,5.06,771200
26/01/1996,5.06,5.06,4.81,4.94,4.94,776400
29/01/1996,4.97,5.16,4.88,5.16,5.16,970800
30/01/1996,5.16,5.22,5.06,5.12,5.12,222400
31/01/1996,5.16,5.25,4.97,4.97,4.97,294000
01/02/1996,4.97,4.97,4.91,4.97,4.97,273600
02/02/1996,4.97,4.97,4.69,4.81,4.81,175600
05/02/1996,4.78,4.88,4.75,4.88,4.88,80400
06/02/1996,4.88,4.88,4.69,4.72,4.72,898400
07/02/1996,4.75,4.75,4.59,4.69,4.69,900800
08/02/1996,4.62,4.72,4.59,4.62,4.62,136800
09/02/1996,4.69,4.78,4.69,4.75,4.75,302800
12/02/1996,4.78,4.88,4.75,4.88,4.88,122800
13/02/1996,4.84,4.97,4.75,4.91,4.91,122400
14/02/1996,4.94,4.94,4.88,4.91,4.91,41200
15/02/1996,4.91,4.91,4.69,4.75,4.75,83600
16/02/1996,4.78,4.81,4.66,4.81,4.81,138000
20/02/1996,4.78,4.94,4.75,4.91,4.91,168400
21/02/1996,4.94,5.19,4.94,5.09,5.09,284800
22/02/1996,5.16,5.25,5.09,5.22,5.22,472800
23/02/1996,5.22,5.25,5.09,5.16,5.16,694400
26/02/1996,5.19,5.38,5.16,5.31,5.31,184400
27/02/1996,5.38,5.38,5.12,5.19,5.19,131200
28/02/1996,5.16,5.25,5.09,5.16,5.16,134400
29/02/1996,5.12,5.19,5.06,5.06,5.06,212400
01/03/1996,5.12,5.19,5.06,5.16,5.16,246000
04/03/1996,5.19,5.25,5.0,5.0,5.0,212000
05/03/1996,5.0,5.19,5.0,5.06,5.06,137200
06/03/1996,5.03,5.12,5.03,5.12,5.12,37200
07/03/1996,5.16,5.41,5.16,5.25,5.25,190800
08/03/1996,5.19,5.41,5.09,5.19,5.19,298400
11/03/1996,5.12,5.62,5.12,5.56,5.56,286800
12/03/1996,5.59,6.0,5.56,6.0,6.0,513600
13/03/1996,6.0,6.12,5.97,6.0,6.0,1179200
14/03/1996,6.03,6.12,5.97,6.0,6.0,326800
15/03/1996,6.03,6.03,5.84,5.94,5.94,370000
18/03/1996,5.94,6.0,5.75,5.78,5.78,439600
19/03/1996,5.72,5.72,5.53,5.62,5.62,304400
20/03/1996,5.69,5.88,5.69,5.88,5.88,61600
21/03/1996,5.84,6.06,5.84,5.94,5.94,112000
22/03/1996,5.94,5.97,5.69,5.69,5.69,345200
25/03/1996,5.81,5.88,5.81,5.84,5.84,74000
26/03/1996,5.88,5.97,5.84,5.88,5.88,103200
27/03/1996,5.84,5.84,5.72,5.78,5.78,99600
28/03/1996,5.78,5.78,5.66,5.72,5.72,123200
29/03/1996,6.06,6.16,6.03,6.06,6.06,637600
01/04/1996,6.09,6.62,6.09,6.62,6.62,466400
02/04/1996,6.62,6.91,6.62,6.81,6.81,357200
03/04/1996,6.84,7.12,6.69,6.72,6.72,259600
04/04/1996,6.81,7.0,6.69,7.0,7.0,270400
08/04/1996,7.0,7.06,6.84,7.0,7.0,249200
09/04/1996,7.06,7.16,7.06,7.09,7.09,981200
10/04/1996,7.09,7.31,7.09,7.22,7.22,658400
11/04/1996,7.22,7.28,7.06,7.06,7.06,430000
12/04/1996,7.09,7.34,7.03,7.34,7.34,144000
15/04/1996,7.34,7.34,7.28,7.28,7.28,220000
16/04/1996,7.38,7.47,7.34,7.41,7.41,298400
17/04/1996,7.38,7.41,7.34,7.38,7.38,238800
18/04/1996,7.38,7.5,7.38,7.47,7.47,294400
19/04/1996,7.38,7.38,7.16,7.16,7.16,292400
22/04/1996,7.0,7.0,6.56,6.97,6.97,598400
23/04/1996,6.97,6.97,6.88,6.88,6.88,127600
24/04/1996,6.78,6.91,6.75,6.91,6.91,133600
25/04/1996,6.88,7.03,6.84,6.94,6.94,730400
26/04/1996,7.0,7.12,6.88,6.88,6.88,225200
29/04/1996,6.91,7.03,6.88,7.0,7.0,68800
30/04/1996,6.97,7.09,6.97,6.97,6.97,154000
01/05/1996,7.03,7.03,6.88,6.88,6.88,79200
02/05/1996,6.84,6.88,6.72,6.75,6.75,132000
03/05/1996,6.81,6.94,6.81,6.88,6.88,50000
06/05/1996,7.0,7.09,7.0,7.06,7.06,81200
07/05/1996,7.03,7.25,6.94,7.25,7.25,104000
08/05/1996,7.25,7.25,7.0,7.06,7.06,192400
09/05/1996,7.0,7.09,6.97,6.97,6.97,88800
10/05/1996,7.0,7.03,6.97,7.0,7.0,38800
13/05/1996,7.06,7.06,6.94,6.94,6.94,35600
14/05/1996,6.91,6.91,6.84,6.84,6.84,65600
15/05/1996,6.81,7.12,6.81,7.12,7.12,162800
16/05/1996,7.12,7.12,7.06,7.09,7.09,21200
17/05/1996,7.09,7.09,6.94,6.97,6.97,49600
20/05/1996,6.97,6.97,6.88,6.88,6.88,71200
21/05/1996,6.91,6.91,6.75,6.81,6.81,836400
22/05/1996,6.84,7.16,6.81,7.16,7.16,339200
23/05/1996,7.19,7.59,7.19,7.44,7.44,232000
24/05/1996,7.5,7.56,7.44,7.44,7.44,437600
28/05/1996,7.38,7.5,7.31,7.34,7.34,262400
29/05/1996,7.31,7.31,7.22,7.22,7.22,143200
30/05/1996,7.22,7.47,7.22,7.44,7.44,152000
31/05/1996,7.5,7.69,7.5,7.53,7.53,440400
03/06/1996,7.44,7.44,7.22,7.22,7.22,292400
04/06/1996,7.19,7.19,6.94,6.97,6.97,182800
05/06/1996,6.97,6.97,6.75,6.81,6.81,173200
06/06/1996,6.66,6.75,6.66,6.69,6.69,19056000
07/06/1996,6.59,6.66,6.56,6.62,6.62,3446400
10/06/1996,6.66,6.88,6.62,6.84,6.84,1282000
11/06/1996,6.88,6.97,6.81,6.97,6.97,1675600
12/06/1996,6.94,7.12,6.94,7.09,7.09,1728800
13/06/1996,7.09,7.09,6.94,6.94,6.94,745200
14/06/1996,6.94,7.03,6.94,7.03,7.03,373200
17/06/1996,7.03,7.03,6.91,7.03,7.03,579600
18/06/1996,7.0,7.06,6.75,6.78,6.78,718000
19/06/1996,7.0,7.12,6.97,7.12,7.12,1898800
20/06/1996,7.12,7.22,7.0,7.19,7.19,705600
21/06/1996,7.16,7.25,7.12,7.12,7.12,736800
24/06/1996,7.19,7.22,7.16,7.22,7.22,249200
25/06/1996,7.22,7.44,7.16,7.28,7.28,1512800
26/06/1996,7.34,7.44,7.19,7.28,7.28,518400
27/06/1996,7.31,7.53,7.19,7.53,7.53,378800
28/06/1996,7.47,8.25,7.47,8.25,8.25,926000
01/07/1996,8.16,8.16,7.75,8.09,8.09,631200
02/07/1996,7.84,7.88,7.44,7.75,7.75,1148000
03/07/1996,7.78,7.84,7.69,7.81,7.81,401200
05/07/1996,7.75,7.75,7.47,7.53,7.53,202400
08/07/1996,7.5,7.5,7.16,7.25,7.25,394800
09/07/1996,7.28,7.72,7.25,7.69,7.69,549600
10/07/1996,7.72,7.84,7.69,7.81,7.81,1516400
11/07/1996,7.75,7.81,7.62,7.78,7.78,844800
12/07/1996,7.75,7.78,7.53,7.69,7.69,1315600
15/07/1996,7.66,7.66,7.47,7.5,7.5,805200
16/07/1996,7.56,7.56,6.41,7.06,7.06,1571200
17/07/1996,7.16,7.22,7.03,7.03,7.03,513200
18/07/1996,7.03,7.34,7.03,7.31,7.31,777600
19/07/1996,7.34,7.34,7.09,7.16,7.16,631200
22/07/1996,7.09,7.09,6.84,6.84,6.84,231600
23/07/1996,6.88,6.88,6.56,6.56,6.56,371600
24/07/1996,6.59,6.78,6.31,6.72,6.72,659600
25/07/1996,6.72,7.19,6.66,7.19,7.19,491200
26/07/1996,7.12,7.19,6.81,7.0,7.0,897200
29/07/1996,7.06,7.19,7.0,7.0,7.0,135600
30/07/1996,7.09,7.09,7.0,7.03,7.03,147200
31/07/1996,7.0,7.19,6.97,7.0,7.0,284000
01/08/1996,7.12,7.25,7.12,7.25,7.25,494400
02/08/1996,7.25,7.56,7.22,7.38,7.38,309600
05/08/1996,7.41,7.5,7.38,7.38,7.38,87600
06/08/1996,7.41,7.81,7.38,7.75,7.75,706400
07/08/1996,7.75,7.81,7.69,7.75,7.75,279600
08/08/1996,7.75,7.75,7.69,7.75,7.75,314000
09/08/1996,7.69,7.75,7.66,7.69,7.69,399600
12/08/1996,7.72,7.94,7.72,7.88,7.88,168000
13/08/1996,7.88,7.94,7.72,7.75,7.75,512000
14/08/1996,7.72,7.91,7.72,7.88,7.88,750000
15/08/1996,7.84,7.91,7.78,7.81,7.81,416800
16/08/1996,7.81,7.81,7.62,7.62,7.62,83600
19/08/1996,7.66,7.66,7.44,7.5,7.5,186400
20/08/1996,7.5,7.5,7.22,7.25,7.25,191600
21/08/1996,7.22,7.22,7.03,7.06,7.06,535600
22/08/1996,7.16,7.44,7.16,7.38,7.38,1280000
23/08/1996,7.44,7.69,7.44,7.69,7.69,999600
26/08/1996,7.66,7.72,7.59,7.69,7.69,198800
27/08/1996,7.75,7.97,7.72,7.97,7.97,263600
28/08/1996,7.88,7.91,7.78,7.81,7.81,503200
29/08/1996,7.78,7.84,7.66,7.81,7.81,171600
30/08/1996,7.84,7.84,7.78,7.84,7.84,92800
03/09/1996,7.78,7.78,7.62,7.69,7.69,185200
04/09/1996,7.69,7.81,7.44,7.44,7.44,112000
05/09/1996,7.47,7.53,7.22,7.22,7.22,1237200
06/09/1996,7.28,7.47,7.28,7.41,7.41,820000
09/09/1996,7.34,7.44,7.34,7.41,7.41,367200
10/09/1996,7.44,7.62,7.41,7.56,7.56,355200
11/09/1996,7.53,7.59,7.47,7.56,7.56,460000
12/09/1996,7.53,7.78,7.53,7.75,7.75,779600
13/09/1996,7.72,7.72,7.47,7.62,7.62,298400
16/09/1996,7.59,7.62,7.5,7.5,7.5,522000
17/09/1996,7.5,7.59,7.47,7.59,7.59,60400
18/09/1996,7.59,7.62,7.53,7.53,7.53,60800
19/09/1996,7.56,7.56,7.31,7.44,7.44,370400
20/09/1996,7.41,7.53,7.34,7.38,7.38,129200
23/09/1996,7.38,7.38,7.22,7.34,7.34,379600
24/09/1996,7.28,7.41,7.19,7.41,7.41,376000
25/09/1996,7.38,7.62,7.38,7.59,7.59,366400
26/09/1996,7.59,7.66,7.47,7.5,7.5,428800
27/09/1996,7.56,7.88,7.56,7.88,7.88,1179200
30/09/1996,7.88,8.25,7.81,8.19,8.19,411200
01/10/1996,8.16,8.16,7.84,7.88,7.88,113600
02/10/1996,7.91,8.22,7.91,8.22,8.22,414000
03/10/1996,8.19,8.41,8.19,8.31,8.31,268800
04/10/1996,8.19,8.19,8.12,8.16,8.16,220000
07/10/1996,8.16,8.31,8.12,8.28,8.28,263200
08/10/1996,8.31,8.31,8.09,8.12,8.12,355200
09/10/1996,8.16,8.31,8.16,8.25,8.25,1793200
10/10/1996,8.22,8.22,8.16,8.22,8.22,339200
11/10/1996,8.16,8.31,8.16,8.22,8.22,122800
14/10/1996,8.22,8.22,8.03,8.03,8.03,465200
15/10/1996,8.09,8.31,8.09,8.25,8.25,612800
16/10/1996,8.22,8.25,8.03,8.06,8.06,106800
17/10/1996,8.09,8.22,8.06,8.22,8.22,76400
