Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,2.91,2.99,2.9,2.99,1.59,2372800
03/01/1990,3.0,3.0,2.93,2.95,1.57,1371200
04/01/1990,2.94,2.95,2.84,2.85,1.52,2323200
05/01/1990,2.85,2.85,2.77,2.78,1.48,2537600
08/01/1990,2.78,2.84,2.76,2.84,1.51,2448000
09/01/1990,2.84,2.88,2.82,2.82,1.5,2086400
10/01/1990,2.82,2.83,2.78,2.8,1.49,1980800
11/01/1990,2.81,2.84,2.81,2.84,1.51,1291200
12/01/1990,2.82,2.82,2.73,2.75,1.46,1497600
15/01/1990,2.74,2.75,2.69,2.7,1.43,1752000
16/01/1990,2.69,2.72,2.67,2.7,1.43,2430400
17/01/1990,2.7,2.7,2.61,2.63,1.4,3476800
18/01/1990,2.62,2.66,2.59,2.64,1.4,3105600
19/01/1990,2.66,2.71,2.66,2.69,1.43,2316800
22/01/1990,2.7,2.72,2.63,2.64,1.4,1428800
23/01/1990,2.64,2.66,2.6,2.62,1.39,2092800
24/01/1990,2.61,2.61,2.53,2.6,1.38,3537600
25/01/1990,2.61,2.64,2.56,2.58,1.37,1772800
26/01/1990,2.59,2.63,2.55,2.56,1.36,2489600
29/01/1990,2.56,2.59,2.52,2.58,1.37,1204800
30/01/1990,2.57,2.59,2.49,2.52,1.34,1888000
31/01/1990,2.55,2.59,2.54,2.59,1.38,2614400
01/02/1990,2.59,2.64,2.57,2.59,1.38,2123200
02/02/1990,2.61,2.68,2.61,2.66,1.41,1284800
05/02/1990,2.65,2.66,2.64,2.64,1.4,1513600
06/02/1990,2.63,2.66,2.62,2.63,1.4,2592000
07/02/1990,2.62,2.67,2.61,2.67,1.42,1568000
08/02/1990,2.66,2.7,2.61,2.61,1.39,1132800
09/02/1990,2.62,2.67,2.62,2.66,1.42,907200
12/02/1990,2.66,2.66,2.6,2.61,1.39,1532800
13/02/1990,2.62,2.64,2.6,2.62,1.39,2403200
14/02/1990,2.62,2.64,2.62,2.62,1.39,2428800
15/02/1990,2.62,2.63,2.61,2.62,1.4,886400
16/02/1990,2.62,2.64,2.59,2.6,1.39,2561600
20/02/1990,2.59,2.59,2.52,2.55,1.37,1673600
21/02/1990,2.52,2.55,2.51,2.55,1.36,1688000
22/02/1990,2.55,2.62,2.55,2.56,1.37,1718400
23/02/1990,2.55,2.59,2.55,2.56,1.37,1006400
26/02/1990,2.56,2.6,2.55,2.59,1.39,2091200
27/02/1990,2.58,2.59,2.55,2.56,1.37,1409600
28/02/1990,2.54,2.59,2.54,2.54,1.36,2252800
01/03/1990,2.55,2.59,2.53,2.58,1.38,3152000
02/03/1990,2.58,2.61,2.56,2.6,1.39,4193600
05/03/1990,2.62,2.65,2.61,2.63,1.41,2555200
06/03/1990,2.65,2.68,2.63,2.68,1.43,1868800
07/03/1990,2.68,2.69,2.66,2.66,1.42,1721600
08/03/1990,2.67,2.71,2.66,2.71,1.45,1539200
09/03/1990,2.7,2.71,2.66,2.68,1.43,1624000
12/03/1990,2.68,2.68,2.66,2.67,1.43,785600
13/03/1990,2.66,2.67,2.64,2.65,1.42,1057600
14/03/1990,2.65,2.67,2.64,2.66,1.42,902400
15/03/1990,2.66,2.68,2.66,2.66,1.42,1300800
16/03/1990,2.69,2.7,2.66,2.68,1.43,2310400
19/03/1990,2.66,2.67,2.64,2.66,1.42,2323200
20/03/1990,2.66,2.7,2.65,2.69,1.44,1540800
21/03/1990,2.68,2.71,2.68,2.7,1.44,1740800
22/03/1990,2.7,2.7,2.61,2.65,1.42,1206400
23/03/1990,2.65,2.66,2.64,2.64,1.41,632000
26/03/1990,2.66,2.67,2.64,2.64,1.41,534400
27/03/1990,2.66,2.66,2.64,2.66,1.42,1736000
28/03/1990,2.65,2.66,2.62,2.62,1.4,1584000
29/03/1990,2.62,2.64,2.59,2.64,1.41,907200
30/03/1990,2.62,2.68,2.61,2.66,1.42,2020800
02/04/1990,2.64,2.65,2.62,2.62,1.4,1328000
03/04/1990,2.62,2.68,2.62,2.67,1.43,1472000
04/04/1990,2.69,2.72,2.64,2.67,1.43,1904000
05/04/1990,2.69,2.69,2.65,2.66,1.42,556800
06/04/1990,2.67,2.68,2.66,2.67,1.43,1046400
09/04/1990,2.66,2.7,2.66,2.68,1.43,683200
10/04/1990,2.69,2.7,2.67,2.69,1.44,1515200
11/04/1990,2.68,2.7,2.66,2.7,1.44,3777600
12/04/1990,2.7,2.74,2.7,2.73,1.46,1332800
16/04/1990,2.75,2.8,2.75,2.76,1.47,1521600
17/04/1990,2.76,2.78,2.73,2.73,1.46,1072000
18/04/1990,2.75,2.75,2.69,2.7,1.44,2225600
19/04/1990,2.7,2.7,2.67,2.68,1.43,865600
20/04/1990,2.67,2.69,2.62,2.62,1.4,2120000
23/04/1990,2.62,2.62,2.57,2.57,1.37,747200
24/04/1990,2.59,2.61,2.58,2.59,1.39,1254400
25/04/1990,2.59,2.62,2.59,2.62,1.4,606400
26/04/1990,2.62,2.64,2.6,2.62,1.4,1115200
27/04/1990,2.62,2.64,2.6,2.61,1.39,739200
30/04/1990,2.6,2.62,2.59,2.62,1.4,1068800
01/05/1990,2.62,2.66,2.62,2.66,1.42,2915200
02/05/1990,2.66,2.68,2.64,2.66,1.42,4235200
03/05/1990,2.67,2.68,2.66,2.67,1.43,3176000
04/05/1990,2.67,2.69,2.66,2.67,1.43,1227200
07/05/1990,2.68,2.69,2.66,2.66,1.42,2068800
08/05/1990,2.67,2.68,2.66,2.67,1.43,1696000
09/05/1990,2.66,2.71,2.66,2.67,1.43,2531200
10/05/1990,2.67,2.68,2.64,2.64,1.41,880000
11/05/1990,2.66,2.68,2.64,2.68,1.43,3641600
14/05/1990,2.69,2.8,2.69,2.79,1.49,4891200
15/05/1990,2.79,2.79,2.74,2.76,1.47,1665600
16/05/1990,2.74,2.75,2.73,2.75,1.48,2326400
