Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,4.19,4.44,4.19,4.31,3.46,523200
03/01/1990,4.31,4.62,4.31,4.56,3.66,506600
04/01/1990,4.62,4.75,4.5,4.62,3.71,618400
05/01/1990,4.62,4.75,4.62,4.75,3.81,345200
08/01/1990,4.62,4.81,4.62,4.75,3.81,178800
09/01/1990,4.75,4.81,4.56,4.62,3.71,161000
10/01/1990,4.56,4.56,4.38,4.5,3.61,209800
11/01/1990,4.5,4.75,4.5,4.69,3.76,245800
12/01/1990,4.5,4.62,4.44,4.56,3.66,261600
15/01/1990,4.44,4.56,4.38,4.44,3.56,126600
16/01/1990,4.31,4.94,4.25,4.94,3.96,399400
17/01/1990,5.0,5.06,4.94,4.94,3.96,968400
18/01/1990,4.81,5.0,4.81,5.0,4.01,299200
19/01/1990,5.0,5.0,4.88,5.0,4.01,275400
22/01/1990,5.0,5.25,4.69,4.88,3.91,558800
23/01/1990,4.94,5.06,4.69,4.88,3.91,399200
24/01/1990,4.62,4.75,4.56,4.69,3.76,412800
25/01/1990,4.69,4.81,4.56,4.62,3.71,486600
26/01/1990,4.62,4.62,4.5,4.56,3.66,331200
29/01/1990,4.69,4.69,4.44,4.5,3.61,584200
30/01/1990,4.5,4.5,4.25,4.25,3.41,239000
31/01/1990,4.25,4.44,4.25,4.38,3.51,154400
01/02/1990,4.38,4.62,4.38,4.62,3.71,308200
02/02/1990,4.56,4.69,4.5,4.62,3.71,261200
05/02/1990,4.56,4.62,4.5,4.62,3.71,115600
06/02/1990,4.56,4.62,4.5,4.62,3.71,128000
07/02/1990,4.5,4.81,4.5,4.81,3.86,384800
08/02/1990,4.88,4.94,4.69,4.75,3.81,456200
09/02/1990,4.75,4.75,4.5,4.56,3.66,90000
12/02/1990,4.56,4.56,4.44,4.5,3.61,155400
13/02/1990,4.5,4.62,4.44,4.62,3.71,106000
14/02/1990,4.62,4.81,4.62,4.69,3.76,166800
15/02/1990,4.69,4.81,4.69,4.75,3.81,141400
16/02/1990,4.75,4.75,4.5,4.62,3.71,235200
20/02/1990,4.5,4.5,4.38,4.5,3.61,61000
21/02/1990,4.38,4.5,4.38,4.5,3.61,145400
22/02/1990,4.5,4.5,4.44,4.5,3.61,91200
23/02/1990,4.38,4.5,4.38,4.5,3.61,148800
26/02/1990,4.44,4.44,4.38,4.38,3.51,135800
27/02/1990,4.5,4.62,4.5,4.56,3.66,390600
28/02/1990,4.62,4.75,4.62,4.75,3.81,414000
01/03/1990,4.69,5.12,4.69,5.12,4.11,1135600
02/03/1990,5.06,5.38,5.06,5.25,4.21,1055400
05/03/1990,5.19,5.31,5.12,5.25,4.21,568400
06/03/1990,5.19,5.44,5.19,5.44,4.37,427200
07/03/1990,5.44,5.5,5.25,5.38,4.32,231600
08/03/1990,5.31,5.38,5.19,5.38,4.32,222400
09/03/1990,5.38,5.5,5.25,5.5,4.42,351400
12/03/1990,5.38,5.44,5.31,5.44,4.37,270200
13/03/1990,5.69,5.88,5.62,5.75,4.62,951600
14/03/1990,5.75,5.81,5.69,5.81,4.67,527400
15/03/1990,5.69,5.94,5.69,5.94,4.77,550800
16/03/1990,6.0,6.25,6.0,6.06,4.87,1018200
19/03/1990,6.0,6.0,5.88,6.0,4.82,712000
20/03/1990,6.0,6.25,5.88,6.0,4.82,871600
21/03/1990,6.0,6.38,5.88,6.38,5.12,987000
22/03/1990,6.31,6.38,6.06,6.19,4.97,592400
23/03/1990,6.12,6.31,6.06,6.19,4.97,737200
26/03/1990,6.25,6.31,6.06,6.12,4.92,305600
27/03/1990,6.06,6.12,6.0,6.12,4.92,525600
28/03/1990,6.06,6.06,5.88,6.0,4.82,305800
29/03/1990,5.94,5.94,5.75,5.81,4.67,323200
30/03/1990,5.81,5.81,5.56,5.62,4.52,466200
02/04/1990,5.38,5.75,5.38,5.69,4.57,765600
03/04/1990,5.75,6.06,5.75,6.0,4.82,940600
04/04/1990,6.0,6.06,5.81,5.88,4.72,269600
05/04/1990,5.75,5.94,5.75,5.94,4.77,222200
06/04/1990,5.94,5.94,5.81,5.94,4.77,114600
09/04/1990,5.88,6.06,5.81,5.88,4.72,225200
10/04/1990,5.88,6.0,5.81,6.0,4.82,234200
11/04/1990,6.12,6.44,6.12,6.19,4.97,1223400
12/04/1990,6.19,6.31,6.12,6.31,5.07,608600
16/04/1990,6.38,6.56,6.31,6.31,5.07,490600
17/04/1990,6.31,6.44,6.25,6.44,5.17,383000
18/04/1990,6.44,6.44,6.31,6.31,5.07,334600
19/04/1990,6.25,6.38,6.19,6.19,4.97,304000
20/04/1990,6.44,6.69,6.38,6.44,5.17,1072200
23/04/1990,6.44,6.5,6.0,6.19,4.97,642400
24/04/1990,6.12,6.31,6.12,6.12,4.92,315600
25/04/1990,6.25,6.25,6.0,6.0,4.82,463000
26/04/1990,6.0,6.12,6.0,6.12,4.92,214800
27/04/1990,6.06,6.06,5.81,5.81,4.67,68600
30/04/1990,5.81,5.81,5.5,5.81,4.67,353600
01/05/1990,5.69,5.69,5.44,5.62,4.52,406600
02/05/1990,5.69,5.81,5.56,5.81,4.67,747000
03/05/1990,5.81,5.81,5.56,5.56,4.47,109800
04/05/1990,5.62,5.88,5.56,5.81,4.67,324600
