Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.0,14.75,14.62,14.75,1.32,2600
03/01/1990,0.0,14.88,14.75,14.75,1.32,3400
04/01/1990,0.0,15.0,14.75,15.0,1.34,3200
05/01/1990,0.0,15.0,14.62,14.88,1.33,3100
08/01/1990,0.0,15.0,14.75,14.88,1.33,4100
09/01/1990,0.0,15.62,15.0,15.5,1.38,11600
10/01/1990,0.0,15.38,15.25,15.25,1.36,4500
11/01/1990,0.0,15.0,14.88,14.88,1.33,1400
12/01/1990,0.0,15.0,14.75,15.0,1.34,4700
15/01/1990,0.0,14.88,14.75,14.88,1.33,2500
16/01/1990,0.0,15.0,14.62,15.0,1.34,15900
17/01/1990,0.0,15.25,15.12,15.12,1.35,5100
18/01/1990,0.0,15.12,15.0,15.12,1.35,3600
19/01/1990,0.0,15.38,15.25,15.25,1.36,6300
22/01/1990,0.0,15.38,15.25,15.38,1.37,3600
23/01/1990,0.0,15.25,15.0,15.0,1.34,8300
24/01/1990,0.0,15.12,14.75,15.0,1.34,13900
25/01/1990,0.0,14.62,14.38,14.38,1.32,7900
26/01/1990,0.0,14.75,14.38,14.75,1.36,2800
29/01/1990,0.0,14.75,14.12,14.25,1.31,4600
30/01/1990,0.0,14.5,14.38,14.5,1.33,2200
31/01/1990,0.0,14.62,14.38,14.5,1.33,2800
01/02/1990,0.0,14.62,14.38,14.62,1.34,1500
02/02/1990,0.0,14.38,14.25,14.25,1.31,500
05/02/1990,0.0,14.62,14.25,14.5,1.33,3900
06/02/1990,0.0,14.62,14.25,14.25,1.31,6800
07/02/1990,0.0,14.38,14.25,14.25,1.31,1100
08/02/1990,0.0,14.38,14.25,14.25,1.31,1100
09/02/1990,0.0,14.5,14.38,14.5,1.33,1300
12/02/1990,0.0,14.5,14.38,14.38,1.32,1300
13/02/1990,0.0,14.5,14.25,14.5,1.33,1200
14/02/1990,0.0,14.5,14.38,14.5,1.33,2000
15/02/1990,0.0,14.5,14.25,14.38,1.32,900
16/02/1990,0.0,14.5,14.38,14.38,1.32,4300
20/02/1990,0.0,14.38,14.25,14.25,1.31,1300
21/02/1990,0.0,14.38,14.25,14.25,1.31,3500
22/02/1990,0.0,14.38,14.12,14.25,1.31,6100
23/02/1990,0.0,14.38,14.12,14.38,1.32,1600
26/02/1990,0.0,14.38,14.12,14.38,1.32,1200
27/02/1990,0.0,14.5,14.25,14.25,1.31,3700
28/02/1990,0.0,14.25,14.0,14.25,1.31,5800
01/03/1990,0.0,14.25,14.0,14.0,1.29,3500
02/03/1990,0.0,14.25,14.12,14.12,1.3,1300
05/03/1990,0.0,14.38,14.0,14.25,1.31,5200
06/03/1990,0.0,14.5,14.12,14.5,1.33,4300
07/03/1990,0.0,14.5,14.38,14.5,1.33,3600
08/03/1990,0.0,14.62,14.0,14.25,1.31,6500
09/03/1990,0.0,14.38,14.12,14.38,1.32,2300
12/03/1990,0.0,14.38,14.25,14.38,1.32,7700
13/03/1990,0.0,14.62,14.25,14.38,1.32,7500
14/03/1990,0.0,14.38,14.25,14.25,1.31,2800
15/03/1990,0.0,14.38,14.25,14.25,1.31,2900
16/03/1990,0.0,14.38,14.12,14.38,1.32,4300
19/03/1990,0.0,14.25,14.12,14.12,1.3,2400
20/03/1990,0.0,14.25,14.12,14.12,1.3,4900
21/03/1990,0.0,14.25,14.0,14.0,1.29,1800
22/03/1990,0.0,14.25,14.0,14.25,1.31,7400
23/03/1990,0.0,14.0,13.62,14.0,1.29,5800
26/03/1990,0.0,14.25,14.25,14.25,1.31,1700
27/03/1990,0.0,14.25,14.12,14.12,1.3,1000
28/03/1990,0.0,14.25,14.12,14.12,1.3,4500
29/03/1990,0.0,14.0,13.88,14.0,1.29,5500
30/03/1990,0.0,14.0,14.0,14.0,1.29,2200
02/04/1990,0.0,14.12,13.88,13.88,1.27,200
03/04/1990,0.0,14.0,13.88,14.0,1.29,3500
04/04/1990,0.0,14.0,13.88,14.0,1.29,3200
05/04/1990,0.0,14.12,14.0,14.0,1.29,5900
06/04/1990,0.0,14.0,14.0,14.0,1.29,2200
09/04/1990,0.0,14.12,14.0,14.0,1.29,1500
10/04/1990,0.0,14.12,14.0,14.0,1.29,13300
11/04/1990,0.0,14.0,13.88,14.0,1.29,1000
12/04/1990,0.0,14.0,13.88,13.88,1.27,2300
16/04/1990,0.0,14.0,13.88,14.0,1.29,3900
17/04/1990,0.0,14.0,13.88,14.0,1.29,700
18/04/1990,0.0,14.0,13.75,13.75,1.26,1500
19/04/1990,0.0,13.5,13.0,13.12,1.21,21400
20/04/1990,0.0,13.75,13.25,13.75,1.26,3400
23/04/1990,0.0,13.88,13.62,13.75,1.26,7900
24/04/1990,0.0,13.62,13.38,13.62,1.25,6600
25/04/1990,0.0,13.62,13.5,13.62,1.25,4400
26/04/1990,0.0,13.38,13.12,13.38,1.27,6400
27/04/1990,0.0,13.5,13.38,13.5,1.28,14000
30/04/1990,0.0,13.5,13.25,13.5,1.28,7900
01/05/1990,0.0,13.62,13.5,13.5,1.28,8200
02/05/1990,0.0,13.5,13.38,13.5,1.28,3500
03/05/1990,0.0,13.5,13.38,13.5,1.28,3300
04/05/1990,0.0,13.88,13.5,13.62,1.29,6100
07/05/1990,0.0,13.5,13.38,13.38,1.27,4800
08/05/1990,0.0,13.5,13.38,13.5,1.28,2300
09/05/1990,0.0,13.5,13.38,13.5,1.28,1800
10/05/1990,0.0,13.5,13.25,13.25,1.26,1400
11/05/1990,0.0,13.38,13.0,13.0,1.23,14900
14/05/1990,0.0,13.0,12.88,13.0,1.23,6900
15/05/1990,0.0,13.25,13.0,13.25,1.26,5300
16/05/1990,0.0,13.12,12.88,13.0,1.23,5300
17/05/1990,0.0,13.12,13.0,13.0,1.23,3100
18/05/1990,0.0,13.38,13.0,13.12,1.25,13300
21/05/1990,0.0,13.38,13.12,13.12,1.25,7200
22/05/1990,0.0,13.25,13.0,13.12,1.25,8400
23/05/1990,0.0,13.25,12.0,12.25,1.16,36000
24/05/1990,0.0,13.0,12.5,13.0,1.23,34800
25/05/1990,0.0,12.88,12.75,12.75,1.21,1000
29/05/1990,0.0,13.0,12.5,12.5,1.19,7800
30/05/1990,0.0,13.0,12.38,13.0,1.23,7700
31/05/1990,0.0,13.0,12.75,12.75,1.21,2400
01/06/1990,0.0,12.88,12.62,12.62,1.2,8000
04/06/1990,0.0,12.88,12.62,12.62,1.2,7900
05/06/1990,0.0,13.0,12.62,13.0,1.23,17500
06/06/1990,0.0,13.0,12.75,13.0,1.23,16700
07/06/1990,0.0,13.25,13.0,13.12,1.25,111000
08/06/1990,0.0,13.75,13.25,13.75,1.3,18400
11/06/1990,0.0,13.88,13.62,13.75,1.3,4000
12/06/1990,0.0,13.75,13.5,13.62,1.29,3600
13/06/1990,0.0,13.62,13.38,13.38,1.27,15600
14/06/1990,0.0,13.5,13.12,13.38,1.27,5000
15/06/1990,0.0,13.38,13.38,13.38,1.27,1100
18/06/1990,0.0,13.5,13.12,13.38,1.27,3000
19/06/1990,0.0,13.38,13.12,13.12,1.25,10700
20/06/1990,0.0,13.25,13.12,13.12,1.25,2700
21/06/1990,0.0,13.12,12.88,12.88,1.22,19400
22/06/1990,0.0,13.0,12.75,12.88,1.22,4600
25/06/1990,0.0,13.0,12.88,13.0,1.23,1000
26/06/1990,0.0,13.0,12.88,12.88,1.22,2500
27/06/1990,0.0,12.88,12.62,12.75,1.21,5500
28/06/1990,0.0,13.0,13.0,13.0,1.23,5400
29/06/1990,0.0,12.88,12.88,12.88,1.22,4000
02/07/1990,0.0,12.88,12.75,12.88,1.22,4100
03/07/1990,0.0,13.0,12.75,13.0,1.23,7700
05/07/1990,0.0,13.12,12.88,13.0,1.23,6900
06/07/1990,0.0,13.12,13.0,13.0,1.23,1400
09/07/1990,0.0,13.38,13.12,13.38,1.27,6000
10/07/1990,0.0,13.62,13.38,13.5,1.28,4100
11/07/1990,0.0,13.75,13.38,13.75,1.3,4200
12/07/1990,0.0,13.75,13.62,13.75,1.3,4700
13/07/1990,0.0,13.75,13.5,13.75,1.3,7100
16/07/1990,0.0,13.75,13.5,13.5,1.28,5400
17/07/1990,0.0,13.62,13.5,13.62,1.29,3700
18/07/1990,0.0,13.62,13.38,13.5,1.28,14800
19/07/1990,0.0,13.5,13.38,13.5,1.28,2600
20/07/1990,0.0,13.5,13.38,13.5,1.28,4700
23/07/1990,0.0,13.5,13.38,13.5,1.28,3100
24/07/1990,0.0,13.5,13.25,13.25,1.26,7800
25/07/1990,0.0,13.38,13.0,13.25,1.26,13300
26/07/1990,0.0,13.0,12.75,13.0,1.27,2900
27/07/1990,0.0,12.88,12.88,12.88,1.26,2200
30/07/1990,0.0,12.88,12.75,12.88,1.26,6400
31/07/1990,0.0,13.0,12.75,12.75,1.25,4500
01/08/1990,0.0,12.88,12.75,12.88,1.26,3000
02/08/1990,0.0,12.88,12.62,12.75,1.25,3100
03/08/1990,0.0,12.88,12.62,12.75,1.25,5800
06/08/1990,0.0,12.88,12.62,12.62,1.24,2200
07/08/1990,0.0,12.88,12.88,12.88,1.26,1000
08/08/1990,0.0,12.75,12.62,12.62,1.24,8500
09/08/1990,0.0,12.5,12.25,12.38,1.21,10500
10/08/1990,0.0,12.38,12.25,12.38,1.21,3400
13/08/1990,0.0,12.25,12.12,12.25,1.2,1700
14/08/1990,0.0,12.12,12.0,12.12,1.19,5300
15/08/1990,0.0,12.25,12.0,12.25,1.2,12900
16/08/1990,0.0,12.25,12.12,12.25,1.2,6700
17/08/1990,0.0,12.25,12.12,12.25,1.2,1700
20/08/1990,0.0,12.25,12.0,12.12,1.19,3700
21/08/1990,0.0,12.25,12.0,12.25,1.2,6000
22/08/1990,0.0,12.25,12.0,12.12,1.19,7800
23/08/1990,0.0,12.12,12.12,12.12,1.19,1800
