Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,4.82,4.96,4.8,4.96,1.47,1301257
03/01/1990,4.96,5.07,4.96,5.07,1.5,833830
04/01/1990,5.07,5.07,4.91,4.91,1.45,874720
05/01/1990,4.88,4.94,4.88,4.93,1.46,539584
08/01/1990,4.9,5.0,4.9,4.99,1.48,419320
09/01/1990,5.0,5.04,4.9,4.9,1.45,958103
10/01/1990,4.88,4.88,4.63,4.71,1.39,1435952
11/01/1990,4.74,4.76,4.72,4.74,1.4,779311
12/01/1990,4.63,4.65,4.55,4.58,1.36,1210658
15/01/1990,4.57,4.57,4.37,4.38,1.3,1925026
16/01/1990,4.33,4.41,4.3,4.41,1.3,3049895
17/01/1990,4.44,4.44,4.3,4.3,1.27,1313283
18/01/1990,4.27,4.27,4.19,4.27,1.26,2025246
19/01/1990,4.26,4.35,4.24,4.3,1.27,768086
22/01/1990,4.27,4.29,4.12,4.12,1.22,944473
23/01/1990,4.08,4.1,3.9,4.01,1.18,1896162
24/01/1990,3.84,4.05,3.74,3.99,1.18,4520323
25/01/1990,4.02,4.12,3.99,4.04,1.19,1125671
26/01/1990,4.04,4.13,3.96,4.05,1.2,2147915
29/01/1990,4.05,4.16,4.05,4.13,1.22,565241
30/01/1990,4.12,4.15,4.08,4.13,1.22,970130
31/01/1990,4.15,4.21,4.08,4.18,1.24,1838436
01/02/1990,4.16,4.16,4.07,4.15,1.23,632589
02/02/1990,4.13,4.24,4.13,4.23,1.25,978949
05/02/1990,4.26,4.3,4.24,4.27,1.26,456201
06/02/1990,4.29,4.44,4.27,4.44,1.31,1068746
07/02/1990,4.41,4.43,4.37,4.43,1.31,1428736
08/02/1990,4.4,4.4,4.33,4.38,1.3,725593
09/02/1990,4.38,4.38,4.3,4.35,1.29,1273195
12/02/1990,4.32,4.33,4.23,4.23,1.25,340748
13/02/1990,4.23,4.27,4.18,4.18,1.24,745637
14/02/1990,4.18,4.23,4.18,4.21,1.24,894764
15/02/1990,4.21,4.21,4.12,4.13,1.22,1237116
16/02/1990,4.16,4.16,4.08,4.08,1.21,1427133
20/02/1990,4.08,4.1,4.02,4.02,1.19,974138
21/02/1990,3.99,4.02,3.88,3.98,1.18,1527353
22/02/1990,4.01,4.01,3.87,3.87,1.14,833830
23/02/1990,3.82,3.87,3.77,3.8,1.12,1686101
26/02/1990,3.79,3.79,3.71,3.77,1.13,1353371
27/02/1990,3.76,3.85,3.76,3.8,1.14,1714965
28/02/1990,3.84,3.88,3.82,3.87,1.16,776905
01/03/1990,3.88,4.04,3.87,3.99,1.19,1532163
