Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,1.86,1.97,1.85,1.96,1.2,27213600
03/01/1990,1.97,1.97,1.94,1.96,1.2,15921600
04/01/1990,1.96,1.97,1.93,1.95,1.2,16406400
05/01/1990,1.94,1.96,1.92,1.93,1.19,10651200
08/01/1990,1.92,1.96,1.92,1.96,1.2,8011200
09/01/1990,1.95,1.96,1.9,1.91,1.17,10766400
10/01/1990,1.91,1.92,1.88,1.91,1.17,16468800
11/01/1990,1.93,1.95,1.92,1.93,1.18,10605600
12/01/1990,1.9,1.9,1.85,1.85,1.14,20580000
15/01/1990,1.84,1.86,1.82,1.83,1.12,14860800
16/01/1990,1.8,1.86,1.79,1.86,1.14,23407200
17/01/1990,1.85,1.86,1.81,1.84,1.13,12763200
18/01/1990,1.81,1.81,1.76,1.81,1.11,29606400
19/01/1990,1.82,1.84,1.8,1.81,1.11,17150400
22/01/1990,1.8,1.82,1.76,1.77,1.08,14575200
23/01/1990,1.78,1.79,1.77,1.77,1.08,16500000
24/01/1990,1.73,1.79,1.71,1.78,1.09,20455200
25/01/1990,1.78,1.8,1.74,1.74,1.07,10888800
26/01/1990,1.75,1.78,1.73,1.76,1.08,14188800
29/01/1990,1.76,1.77,1.73,1.77,1.08,8937600
30/01/1990,1.78,1.78,1.73,1.75,1.07,14647200
31/01/1990,1.75,1.78,1.73,1.78,1.09,15837600
01/02/1990,1.77,1.78,1.75,1.76,1.08,9907200
02/02/1990,1.73,1.77,1.73,1.75,1.07,9153600
05/02/1990,1.74,1.76,1.72,1.74,1.07,10692000
06/02/1990,1.72,1.74,1.71,1.73,1.06,12777600
07/02/1990,1.72,1.78,1.71,1.78,1.09,10392000
08/02/1990,1.79,1.79,1.77,1.77,1.09,10399200
09/02/1990,1.77,1.82,1.77,1.82,1.12,11865600
12/02/1990,1.82,1.82,1.78,1.79,1.1,6151200
13/02/1990,1.78,1.79,1.76,1.79,1.1,6276000
14/02/1990,1.79,1.8,1.78,1.79,1.1,5726400
15/02/1990,1.78,1.81,1.78,1.81,1.11,6580800
16/02/1990,1.82,1.82,1.78,1.79,1.1,18040800
20/02/1990,1.76,1.76,1.72,1.74,1.07,14318400
21/02/1990,1.71,1.74,1.71,1.73,1.06,16320000
22/02/1990,1.73,1.74,1.7,1.71,1.05,14870400
23/02/1990,1.69,1.7,1.68,1.69,1.04,13118400
26/02/1990,1.68,1.74,1.68,1.74,1.07,14872800
27/02/1990,1.76,1.8,1.75,1.8,1.11,20901600
28/02/1990,1.8,1.85,1.8,1.83,1.12,22492800
01/03/1990,1.83,1.88,1.83,1.86,1.14,22087200
02/03/1990,1.86,1.9,1.86,1.88,1.15,15000000
05/03/1990,1.89,1.9,1.87,1.87,1.15,16224000
06/03/1990,1.87,1.91,1.86,1.91,1.17,16317600
07/03/1990,1.9,1.92,1.88,1.89,1.16,11316000
08/03/1990,1.9,1.93,1.89,1.92,1.18,11100000
09/03/1990,1.91,1.93,1.91,1.92,1.18,12612000
12/03/1990,1.91,1.94,1.91,1.94,1.19,9036000
13/03/1990,1.92,1.93,1.91,1.91,1.17,10977600
14/03/1990,1.91,1.94,1.91,1.93,1.18,10812000
15/03/1990,1.94,1.95,1.93,1.94,1.19,15398400
16/03/1990,1.95,1.97,1.94,1.97,1.21,32486400
19/03/1990,1.94,1.97,1.93,1.97,1.21,12832800
20/03/1990,1.96,1.98,1.94,1.95,1.2,14834400
21/03/1990,1.94,1.96,1.94,1.96,1.2,9045600
22/03/1990,1.95,1.96,1.91,1.91,1.17,11983200
23/03/1990,1.92,1.94,1.91,1.94,1.19,8032800
26/03/1990,1.95,1.98,1.94,1.95,1.2,10603200
27/03/1990,1.94,1.98,1.94,1.97,1.21,9415200
28/03/1990,1.98,1.98,1.97,1.98,1.22,8162400
29/03/1990,1.97,1.98,1.96,1.97,1.21,7053600
30/03/1990,1.97,1.98,1.96,1.97,1.21,9804000
02/04/1990,1.96,1.97,1.95,1.96,1.21,8066400
03/04/1990,1.96,1.99,1.96,1.98,1.22,8416800
04/04/1990,1.99,2.01,1.97,1.99,1.23,15355200
05/04/1990,1.99,2.02,1.99,2.02,1.24,10946400
06/04/1990,2.02,2.04,2.02,2.02,1.24,14606400
09/04/1990,2.02,2.05,2.02,2.03,1.25,12228000
10/04/1990,2.04,2.05,2.03,2.04,1.25,9993600
11/04/1990,2.06,2.08,2.05,2.08,1.28,20436000
12/04/1990,2.09,2.15,2.08,2.14,1.32,26227200
16/04/1990,2.14,2.16,2.12,2.13,1.31,17229600
17/04/1990,2.1,2.11,2.09,2.1,1.29,15278400
18/04/1990,2.1,2.1,2.04,2.06,1.26,15007200
19/04/1990,2.05,2.08,2.05,2.05,1.26,16833600
20/04/1990,2.05,2.08,2.02,2.05,1.26,24213600
23/04/1990,2.04,2.04,2.0,2.03,1.25,12568800
24/04/1990,2.03,2.04,2.01,2.01,1.24,8436000
25/04/1990,2.02,2.06,2.02,2.06,1.26,10773600
26/04/1990,2.06,2.07,2.03,2.05,1.26,13797600
27/04/1990,2.05,2.06,2.0,2.01,1.24,10346400
30/04/1990,2.01,2.07,2.0,2.07,1.27,17584800
01/05/1990,2.08,2.11,2.08,2.09,1.29,17155200
02/05/1990,2.09,2.14,2.09,2.14,1.31,18604800
03/05/1990,2.14,2.15,2.07,2.07,1.27,38640000
04/05/1990,2.09,2.11,2.07,2.11,1.3,16905600
07/05/1990,2.11,2.14,2.1,2.14,1.31,15590400
08/05/1990,2.12,2.14,2.11,2.14,1.32,9660000
09/05/1990,2.13,2.15,2.12,2.14,1.32,16317600
10/05/1990,2.14,2.17,2.14,2.17,1.33,24103200
11/05/1990,2.18,2.24,2.18,2.23,1.37,26356800
14/05/1990,2.22,2.3,2.22,2.27,1.4,29138400
15/05/1990,2.23,2.24,2.22,2.23,1.37,18424800
16/05/1990,2.22,2.24,2.2,2.21,1.36,17762400
17/05/1990,2.21,2.26,2.21,2.26,1.39,13641600
18/05/1990,2.24,2.27,2.23,2.27,1.39,22087200
21/05/1990,2.27,2.36,2.26,2.34,1.44,22492800
22/05/1990,2.35,2.38,2.29,2.34,1.44,22144800
23/05/1990,2.33,2.35,2.32,2.34,1.44,14452800
24/05/1990,2.34,2.35,2.33,2.33,1.43,8635200
25/05/1990,2.32,2.33,2.3,2.3,1.41,9439200
29/05/1990,2.3,2.4,2.3,2.4,1.47,13790400
30/05/1990,2.39,2.4,2.35,2.36,1.45,15163200
31/05/1990,2.36,2.37,2.34,2.35,1.44,17740800
01/06/1990,2.36,2.44,2.35,2.43,1.49,28032000
04/06/1990,2.44,2.54,2.44,2.53,1.55,48201600
05/06/1990,2.52,2.54,2.51,2.52,1.55,33717600
06/06/1990,2.52,2.54,2.5,2.52,1.55,21794400
07/06/1990,2.54,2.57,2.53,2.54,1.56,25684800
08/06/1990,2.53,2.53,2.44,2.48,1.52,27463200
