Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,4.72,4.75,4.69,4.72,2.76,14800
03/01/1990,4.75,4.75,4.69,4.69,2.74,33200
04/01/1990,4.75,4.78,4.72,4.75,2.77,21600
05/01/1990,4.78,4.84,4.78,4.81,2.81,110800
08/01/1990,4.78,4.81,4.75,4.81,2.81,27600
09/01/1990,4.84,4.84,4.84,4.84,2.83,5200
10/01/1990,4.81,4.81,4.78,4.78,2.79,10400
11/01/1990,4.81,4.81,4.69,4.69,2.74,72800
12/01/1990,4.69,4.69,4.69,4.69,2.74,400
15/01/1990,4.66,4.66,4.59,4.62,2.7,14000
16/01/1990,4.59,4.59,4.56,4.56,2.66,10400
17/01/1990,4.53,4.56,4.53,4.53,2.65,8800
18/01/1990,4.53,4.53,4.5,4.5,2.64,50400
19/01/1990,4.5,4.53,4.5,4.5,2.64,16000
22/01/1990,4.53,4.56,4.5,4.5,2.64,21200
23/01/1990,4.53,4.62,4.5,4.62,2.72,38800
24/01/1990,4.59,4.66,4.59,4.62,2.72,74800
25/01/1990,4.66,4.66,4.62,4.62,2.72,130400
26/01/1990,4.59,4.59,4.56,4.56,2.68,184800
29/01/1990,4.56,4.56,4.53,4.53,2.66,124000
30/01/1990,4.56,4.56,4.5,4.5,2.64,167200
31/01/1990,4.47,4.5,4.47,4.47,2.62,74000
01/02/1990,4.5,4.5,4.47,4.5,2.64,83200
02/02/1990,4.5,4.69,4.5,4.69,2.75,91600
05/02/1990,4.66,4.66,4.62,4.66,2.73,2800
06/02/1990,4.69,4.69,4.62,4.62,2.72,10400
07/02/1990,4.62,4.69,4.62,4.66,2.73,13200
08/02/1990,4.69,4.69,4.62,4.62,2.72,4400
09/02/1990,4.62,4.62,4.56,4.56,2.68,21200
12/02/1990,4.53,4.53,4.47,4.5,2.64,24000
13/02/1990,4.47,4.5,4.47,4.5,2.64,6800
14/02/1990,4.47,4.53,4.47,4.5,2.64,14400
15/02/1990,4.5,4.59,4.5,4.56,2.68,8400
16/02/1990,4.56,4.56,4.53,4.53,2.66,7200
20/02/1990,4.5,4.5,4.5,4.5,2.64,4000
21/02/1990,4.5,4.53,4.44,4.44,2.61,129200
22/02/1990,4.44,4.5,4.44,4.47,2.62,153600
23/02/1990,4.47,4.47,4.47,4.47,2.62,3600
26/02/1990,4.44,4.47,4.38,4.47,2.62,176400
27/02/1990,4.47,4.5,4.44,4.5,2.64,20800
28/02/1990,4.47,4.5,4.47,4.5,2.64,34000
01/03/1990,4.5,4.5,4.47,4.5,2.64,61200
02/03/1990,4.53,4.66,4.53,4.62,2.72,56800
05/03/1990,4.66,4.66,4.66,4.66,2.73,6000
06/03/1990,4.66,4.66,4.62,4.66,2.73,42400
07/03/1990,4.62,4.66,4.62,4.62,2.72,20400
08/03/1990,4.62,4.66,4.62,4.66,2.73,4800
09/03/1990,4.62,4.62,4.62,4.62,2.72,800
12/03/1990,4.66,4.69,4.62,4.62,2.72,32800
13/03/1990,4.66,4.66,4.62,4.62,2.72,13600
14/03/1990,4.62,4.62,4.62,4.62,2.72,8000
15/03/1990,4.62,4.66,4.62,4.66,2.73,17600
16/03/1990,4.66,4.66,4.62,4.62,2.72,22400
19/03/1990,4.66,4.66,4.59,4.59,2.7,166800
20/03/1990,4.62,4.62,4.59,4.59,2.7,27200
21/03/1990,4.59,4.59,4.59,4.59,2.7,3200
22/03/1990,4.59,4.62,4.59,4.62,2.72,47200
23/03/1990,4.59,4.59,4.56,4.56,2.68,8000
26/03/1990,4.59,4.59,4.53,4.53,2.66,6000
27/03/1990,4.53,4.53,4.5,4.53,2.66,5600
28/03/1990,4.5,4.53,4.5,4.5,2.64,40400
29/03/1990,4.5,4.56,4.5,4.53,2.66,5200
30/03/1990,4.5,4.5,4.5,4.5,2.64,106800
02/04/1990,4.47,4.53,4.47,4.53,2.66,21200
03/04/1990,4.5,4.5,4.5,4.5,2.64,1200
04/04/1990,4.5,4.5,4.5,4.5,2.64,400
05/04/1990,4.5,4.5,4.38,4.38,2.57,34800
06/04/1990,4.41,4.44,4.34,4.34,2.55,32400
09/04/1990,4.34,4.34,4.31,4.31,2.53,27600
10/04/1990,4.31,4.41,4.28,4.41,2.59,42000
11/04/1990,4.34,4.38,4.34,4.38,2.58,10800
12/04/1990,4.34,4.38,4.34,4.38,2.58,9200
16/04/1990,4.34,4.38,4.34,4.38,2.58,6400
17/04/1990,4.34,4.38,4.34,4.38,2.58,52400
18/04/1990,4.38,4.44,4.38,4.38,2.58,36400
19/04/1990,4.38,4.44,4.38,4.38,2.58,23200
20/04/1990,4.38,4.53,4.38,4.53,2.68,45200
23/04/1990,4.5,4.5,4.41,4.41,2.6,22000
24/04/1990,4.41,4.44,4.38,4.41,2.6,18400
25/04/1990,4.38,4.41,4.38,4.41,2.6,14400
26/04/1990,4.38,4.44,4.38,4.44,2.62,13600
27/04/1990,4.47,4.5,4.47,4.5,2.66,39600
30/04/1990,4.47,4.5,4.47,4.47,2.64,107600
01/05/1990,4.5,4.5,4.47,4.47,2.64,13200
02/05/1990,4.5,4.5,4.47,4.5,2.66,58400
03/05/1990,4.5,4.53,4.5,4.53,2.68,17200
04/05/1990,4.56,4.59,4.56,4.59,2.71,206000
07/05/1990,4.59,4.69,4.59,4.69,2.77,38000
08/05/1990,4.66,4.69,4.66,4.66,2.75,31600
09/05/1990,4.69,4.75,4.69,4.75,2.8,24000
10/05/1990,4.72,4.78,4.72,4.78,2.82,17600
11/05/1990,4.84,5.0,4.84,5.0,2.95,62800
14/05/1990,4.97,4.97,4.91,4.94,2.92,27600
15/05/1990,4.91,4.94,4.91,4.91,2.9,11600
16/05/1990,4.84,4.84,4.81,4.81,2.84,42400
17/05/1990,4.81,4.81,4.81,4.81,2.84,90800
18/05/1990,4.81,4.81,4.75,4.75,2.8,50000
21/05/1990,4.78,4.78,4.75,4.78,2.82,3200
22/05/1990,4.75,4.81,4.75,4.81,2.84,7600
23/05/1990,4.81,4.81,4.78,4.78,2.82,18800
24/05/1990,4.78,4.84,4.78,4.81,2.84,30800
25/05/1990,4.81,4.81,4.81,4.81,2.84,7600
29/05/1990,4.81,4.81,4.81,4.81,2.84,6400
30/05/1990,4.81,4.84,4.81,4.81,2.84,142000
31/05/1990,4.81,4.81,4.81,4.81,2.84,20000
01/06/1990,4.78,4.78,4.78,4.78,2.82,10400
04/06/1990,4.78,4.81,4.78,4.81,2.84,7600
05/06/1990,4.78,4.81,4.78,4.81,2.84,5600
06/06/1990,4.81,4.81,4.81,4.81,2.84,95200
07/06/1990,4.78,4.78,4.78,4.78,2.82,25200
08/06/1990,4.78,4.78,4.78,4.78,2.82,5200
11/06/1990,4.78,4.78,4.78,4.78,2.82,3200
12/06/1990,4.78,4.81,4.78,4.81,2.84,39200
13/06/1990,4.81,4.81,4.81,4.81,2.84,4400
14/06/1990,4.81,4.88,4.81,4.84,2.86,150800
15/06/1990,4.84,4.88,4.84,4.88,2.88,19200
18/06/1990,4.88,4.88,4.84,4.84,2.86,668800
19/06/1990,4.84,4.84,4.81,4.81,2.84,7600
20/06/1990,4.78,4.78,4.75,4.75,2.8,12400
21/06/1990,4.75,4.75,4.75,4.75,2.8,7200
22/06/1990,4.75,4.78,4.75,4.75,2.8,8800
25/06/1990,4.75,4.78,4.75,4.78,2.82,20400
26/06/1990,4.75,4.78,4.75,4.78,2.82,10800
27/06/1990,4.62,4.62,4.19,4.34,2.57,411200
28/06/1990,4.28,4.28,4.25,4.25,2.51,643200
29/06/1990,4.25,4.28,4.22,4.28,2.53,26000
02/07/1990,4.25,4.28,4.25,4.25,2.51,71600
03/07/1990,4.28,4.31,4.25,4.28,2.53,54400
05/07/1990,4.25,4.28,4.25,4.28,2.53,12400
06/07/1990,4.28,4.28,4.19,4.19,2.47,140000
09/07/1990,4.19,4.22,4.19,4.22,2.49,26000
10/07/1990,4.19,4.19,4.19,4.19,2.47,4000
11/07/1990,4.19,4.19,4.12,4.12,2.44,125200
12/07/1990,4.09,4.19,4.09,4.19,2.49,287600
13/07/1990,4.19,4.22,4.19,4.19,2.49,126000
16/07/1990,4.19,4.19,4.12,4.12,2.45,76000
17/07/1990,4.12,4.12,4.12,4.12,2.45,38000
18/07/1990,4.12,4.16,4.09,4.12,2.45,26800
19/07/1990,4.12,4.12,4.12,4.12,2.45,40000
20/07/1990,4.16,4.16,4.12,4.16,2.47,14400
23/07/1990,4.12,4.12,4.06,4.06,2.41,14800
24/07/1990,4.06,4.12,4.06,4.12,2.45,10400
25/07/1990,4.09,4.12,4.09,4.09,2.43,27200
26/07/1990,4.12,4.16,4.12,4.16,2.47,53200
27/07/1990,4.12,4.19,4.12,4.16,2.47,21200
30/07/1990,4.16,4.16,4.16,4.16,2.47,28000
31/07/1990,4.16,4.16,4.09,4.09,2.43,92400
01/08/1990,4.12,4.16,4.12,4.12,2.45,41600
02/08/1990,4.12,4.12,4.12,4.12,2.45,26400
03/08/1990,4.12,4.12,4.09,4.12,2.45,52000
06/08/1990,4.09,4.12,4.06,4.06,2.41,52000
07/08/1990,4.12,4.12,4.09,4.09,2.43,23600
08/08/1990,4.12,4.12,4.06,4.09,2.43,23200
09/08/1990,4.09,4.16,4.09,4.16,2.47,16400
10/08/1990,4.12,4.12,4.12,4.12,2.45,3200
13/08/1990,4.06,4.06,4.0,4.0,2.38,49600
14/08/1990,4.0,4.03,3.97,3.97,2.36,24800
15/08/1990,4.0,4.0,3.97,3.97,2.36,17200
16/08/1990,3.97,3.97,3.97,3.97,2.36,43200
17/08/1990,3.97,3.97,3.97,3.97,2.36,6800
20/08/1990,3.94,3.94,3.88,3.88,2.3,54000
21/08/1990,3.88,3.91,3.88,3.91,2.32,1200
22/08/1990,3.88,3.88,3.78,3.81,2.27,20800
23/08/1990,3.78,3.78,3.78,3.78,2.25,8400
24/08/1990,3.78,3.78,3.78,3.78,2.25,5600
27/08/1990,3.78,3.88,3.78,3.81,2.27,60400
28/08/1990,3.81,3.88,3.81,3.84,2.28,31600
29/08/1990,3.81,3.81,3.75,3.78,2.25,2800
30/08/1990,3.78,3.78,3.78,3.78,2.25,5200
31/08/1990,3.81,3.81,3.81,3.81,2.27,800
04/09/1990,3.81,3.84,3.78,3.84,2.28,51600
05/09/1990,3.81,3.88,3.81,3.88,2.3,5200
06/09/1990,3.91,3.91,3.88,3.88,2.3,8800
07/09/1990,3.88,3.91,3.84,3.84,2.28,31600
10/09/1990,3.84,3.84,3.84,3.84,2.28,6800
11/09/1990,3.84,3.88,3.84,3.84,2.28,10000
12/09/1990,3.88,3.91,3.88,3.88,2.3,26400
13/09/1990,3.88,3.94,3.88,3.94,2.34,5600
14/09/1990,3.91,3.94,3.91,3.94,2.34,8000
17/09/1990,3.94,3.94,3.91,3.94,2.34,8800
18/09/1990,3.91,3.91,3.81,3.81,2.27,117200
19/09/1990,3.75,3.75,3.75,3.75,2.23,40800
20/09/1990,3.72,3.72,3.69,3.69,2.19,2000
21/09/1990,3.75,3.75,3.69,3.69,2.19,12800
24/09/1990,3.66,3.66,3.62,3.62,2.15,10400
25/09/1990,3.59,3.59,3.56,3.56,2.12,36000
26/09/1990,3.53,3.53,3.53,3.53,2.1,4400
27/09/1990,3.5,3.53,3.5,3.53,2.1,8400
28/09/1990,3.5,3.5,3.47,3.47,2.06,26400
01/10/1990,3.47,3.5,3.41,3.44,2.04,18400
02/10/1990,3.5,3.53,3.5,3.53,2.1,28400
03/10/1990,3.5,3.53,3.5,3.5,2.08,54400
04/10/1990,3.5,3.5,3.5,3.5,2.08,2800
05/10/1990,3.44,3.44,3.41,3.41,2.02,23600
08/10/1990,3.47,3.47,3.38,3.38,2.01,38400
09/10/1990,3.41,3.41,3.38,3.38,2.01,7200
10/10/1990,3.38,3.38,3.31,3.31,1.97,12400
11/10/1990,3.31,3.31,3.31,3.31,1.97,1200
