Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,12.47,12.62,12.31,12.5,3.96,5326000
03/01/1990,12.47,12.5,12.28,12.38,3.92,4980400
04/01/1990,12.34,12.41,12.12,12.25,3.88,6013200
05/01/1990,12.25,12.31,12.09,12.19,3.86,3854800
08/01/1990,12.19,12.44,12.16,12.38,3.92,4302000
09/01/1990,12.38,12.41,12.12,12.12,3.84,3485600
10/01/1990,12.12,12.22,12.06,12.19,3.86,4522400
11/01/1990,12.28,12.34,12.22,12.25,3.88,3047600
12/01/1990,12.06,12.16,11.91,11.94,3.78,4554400
15/01/1990,11.91,12.12,11.84,12.09,3.83,3692800
16/01/1990,11.94,12.06,11.88,12.03,3.81,4857200
17/01/1990,12.06,12.09,11.75,11.84,3.75,4110800
18/01/1990,11.75,12.0,11.75,12.0,3.8,5460800
19/01/1990,12.03,12.22,12.0,12.16,3.85,7506400
22/01/1990,12.16,12.25,11.72,11.75,3.72,4272800
23/01/1990,11.78,12.03,11.72,11.78,3.73,5108400
24/01/1990,11.56,11.84,11.5,11.75,3.72,4892000
25/01/1990,11.81,11.84,11.41,11.5,3.64,5222400
26/01/1990,11.5,11.72,11.44,11.69,3.7,5223600
29/01/1990,11.75,11.84,11.47,11.75,3.72,5181200
30/01/1990,11.75,11.84,11.59,11.75,3.72,5415600
31/01/1990,11.75,11.81,11.69,11.75,3.72,5377200
01/02/1990,11.81,11.84,11.75,11.75,3.72,2903200
02/02/1990,11.78,11.97,11.75,11.97,3.79,4246400
05/02/1990,12.0,12.09,11.97,12.0,3.8,5880400
06/02/1990,11.84,11.88,11.56,11.81,3.79,4739600
07/02/1990,11.75,12.0,11.69,12.0,3.85,4108800
08/02/1990,12.06,12.25,11.94,12.03,3.86,5632800
09/02/1990,12.06,12.16,11.94,12.06,3.87,3376000
12/02/1990,12.03,12.03,11.78,11.78,3.78,2677200
13/02/1990,11.81,11.88,11.66,11.81,3.79,3548800
14/02/1990,11.88,11.91,11.69,11.75,3.77,2819200
15/02/1990,11.75,12.12,11.72,12.12,3.89,4034800
16/02/1990,12.16,12.28,12.0,12.0,3.85,7142000
20/02/1990,11.88,11.91,11.75,11.84,3.8,4055600
21/02/1990,11.62,11.97,11.62,11.91,3.82,4254800
22/02/1990,11.94,12.03,11.78,11.78,3.78,4990400
23/02/1990,11.75,11.94,11.72,11.78,3.78,4040000
26/02/1990,11.78,12.09,11.78,12.06,3.87,4679600
27/02/1990,12.03,12.12,11.94,12.09,3.88,4600400
28/02/1990,11.59,11.94,11.59,11.75,3.77,10018800
01/03/1990,11.69,11.78,11.62,11.62,3.73,5598000
02/03/1990,11.62,11.78,11.62,11.69,3.75,5641200
05/03/1990,11.69,11.75,11.56,11.56,3.71,4529200
06/03/1990,11.56,11.81,11.56,11.78,3.78,5130000
07/03/1990,11.78,11.78,11.59,11.62,3.73,4805200
08/03/1990,11.62,11.72,11.62,11.69,3.75,3212800
