Date,Open,High,Low,Close,Adj Close,Volume
25/07/2001,28.64,30.05,28.64,28.89,26.07,2512582
26/07/2001,28.06,28.06,27.18,27.28,24.62,2755662
27/07/2001,27.38,28.17,27.38,27.57,24.88,1440146
30/07/2001,27.57,27.72,27.57,27.63,24.94,789907
31/07/2001,27.63,27.82,27.6,27.77,25.06,1003838
01/08/2001,28.16,28.98,28.16,28.64,25.85,1919611
02/08/2001,28.62,28.83,27.67,27.82,25.1,808550
03/08/2001,27.57,27.62,27.09,27.18,24.53,1240635
06/08/2001,27.18,27.38,26.5,26.95,24.32,1612465
07/08/2001,27.67,29.61,27.38,29.07,26.23,8050274
08/08/2001,28.83,28.88,27.23,27.85,25.14,5432735
09/08/2001,27.28,27.62,26.75,27.53,24.85,3086807
10/08/2001,27.18,27.52,26.63,27.18,24.53,3289511
13/08/2001,26.94,27.04,26.07,26.5,23.92,4954094
14/08/2001,26.5,27.28,26.41,26.89,24.27,3777731
15/08/2001,26.94,27.57,26.89,27.26,24.6,2700763
16/08/2001,27.21,27.28,26.5,27.28,24.62,2196063
17/08/2001,26.89,27.18,25.76,27.18,24.53,1799616
20/08/2001,26.84,26.91,26.02,26.41,23.83,2128598
21/08/2001,26.41,26.64,26.31,26.54,23.95,1926615
22/08/2001,26.31,26.47,25.63,26.47,23.88,2626294
23/08/2001,26.36,26.4,25.95,25.97,23.44,2413290
24/08/2001,25.49,25.94,25.29,25.91,23.38,1966991
27/08/2001,25.83,26.02,25.53,25.88,23.36,1505654
28/08/2001,25.34,25.53,25.11,25.26,22.8,2449649
29/08/2001,25.26,25.97,25.19,25.63,23.13,2081115
30/08/2001,25.63,26.5,25.63,26.17,23.61,2516290
31/08/2001,26.02,26.41,25.73,26.41,23.83,1490925
04/09/2001,26.31,27.18,26.3,26.97,24.34,1748116
05/09/2001,26.84,27.02,26.36,26.84,24.23,1704650
06/09/2001,26.75,26.8,26.21,26.45,23.87,2091827
07/09/2001,25.73,27.06,25.63,25.88,23.36,1800646
10/09/2001,25.73,26.05,25.53,25.67,23.17,1050703
17/09/2001,24.37,25.28,24.06,24.51,22.12,1715156
18/09/2001,24.51,24.62,23.98,24.37,21.99,1738331
19/09/2001,24.08,25.36,24.08,24.29,21.92,1539541
20/09/2001,24.27,25.72,24.14,25.0,22.56,2053408
21/09/2001,24.27,26.07,24.22,25.1,22.65,2004277
24/09/2001,25.05,26.26,25.05,25.92,23.39,1857708
25/09/2001,25.92,26.2,25.24,25.53,23.04,1634198
26/09/2001,25.49,26.2,25.49,26.02,23.48,1051218
27/09/2001,25.83,26.8,25.83,26.21,23.66,1686419
28/09/2001,26.21,27.18,26.17,26.94,24.31,1049570
01/10/2001,26.94,27.83,26.7,27.29,24.63,1123009
02/10/2001,27.33,27.91,27.3,27.72,25.01,1209632
03/10/2001,27.72,28.06,27.51,27.96,25.23,838626
04/10/2001,27.96,28.16,27.49,28.02,25.29,1276788
05/10/2001,27.86,28.35,27.72,28.2,25.45,1108692
08/10/2001,28.06,28.1,27.67,27.88,25.16,410558
09/10/2001,27.67,27.9,27.67,27.87,25.15,821013
10/10/2001,27.82,28.45,27.78,28.17,25.42,738613
11/10/2001,28.17,28.88,28.17,28.56,25.78,1083663
12/10/2001,28.06,28.95,28.06,28.95,26.13,1258145
15/10/2001,28.87,29.17,28.71,28.9,26.08,742527
16/10/2001,28.83,29.11,28.36,29.08,26.24,1083560
17/10/2001,29.11,29.17,28.88,29.1,26.26,1725662
18/10/2001,27.67,28.2,27.66,27.98,25.25,1728237
19/10/2001,28.01,28.59,28.01,28.52,25.74,608318
22/10/2001,28.54,28.91,28.43,28.88,26.07,475963
23/10/2001,28.88,29.13,28.88,28.92,26.1,1048128
24/10/2001,28.98,29.22,28.81,29.08,26.24,544870
25/10/2001,28.98,29.34,28.54,28.73,25.93,724914
26/10/2001,28.69,28.7,27.91,28.17,25.42,920305
29/10/2001,28.16,28.5,27.14,28.35,25.58,1276170
30/10/2001,28.83,29.61,28.59,29.22,26.37,3531355
31/10/2001,30.05,30.24,29.71,30.01,27.08,1589393
