Date,Open,High,Low,Close,Adj Close,Volume
01/02/2013,31.5,31.74,30.47,31.01,28.63,66789100
04/02/2013,31.09,31.99,30.76,31.02,28.64,7695400
05/02/2013,31.25,31.98,30.85,31.04,28.65,5013200
06/02/2013,30.98,31.43,30.75,31.03,28.64,2126100
07/02/2013,31.0,32.73,31.0,32.0,29.54,3800800
08/02/2013,32.31,33.48,32.3,33.05,30.51,2599300
11/02/2013,33.06,33.5,32.88,33.26,30.7,1487200
12/02/2013,33.4,34.0,33.15,33.74,31.15,1637300
13/02/2013,33.8,33.8,33.0,33.55,30.97,1269700
14/02/2013,33.39,33.45,32.77,33.27,30.71,2954500
15/02/2013,33.31,34.09,33.0,33.98,31.37,5415400
19/02/2013,34.02,34.07,33.57,33.84,31.24,1206900
20/02/2013,33.84,33.88,32.6,32.72,30.2,1842900
21/02/2013,32.5,32.8,31.86,32.56,30.06,3242300
22/02/2013,32.78,32.93,32.5,32.59,30.08,954500
25/02/2013,32.68,32.69,32.0,32.07,29.6,818900
26/02/2013,32.05,32.4,31.99,32.04,29.58,1048700
27/02/2013,32.0,33.05,32.0,32.32,29.84,1343600
28/02/2013,32.56,33.55,32.56,33.45,30.88,2991400
01/03/2013,33.36,34.7,33.15,34.6,31.94,2334000
04/03/2013,34.8,34.89,34.24,34.35,31.71,865400
05/03/2013,34.41,34.48,33.75,34.29,31.65,1413400
06/03/2013,34.34,34.38,33.85,33.85,31.25,802000
07/03/2013,33.95,34.68,33.56,34.56,31.9,1320000
08/03/2013,34.03,34.69,33.8,34.09,31.47,1541100
11/03/2013,33.97,34.26,33.25,34.18,31.55,1729400
12/03/2013,34.12,34.24,33.6,33.82,31.22,1557600
13/03/2013,33.9,34.06,33.08,34.0,31.39,2240800
14/03/2013,34.33,35.42,34.3,34.64,31.98,1865200
15/03/2013,34.7,34.84,33.31,33.44,30.87,2692100
18/03/2013,32.75,32.94,32.64,32.84,30.32,2372000
19/03/2013,32.8,33.42,32.33,32.8,30.28,1336200
20/03/2013,32.9,33.54,32.5,33.51,30.93,1944000
21/03/2013,33.9,34.0,33.29,33.47,30.9,514500
22/03/2013,33.55,33.75,32.74,33.12,30.57,763300
25/03/2013,33.48,33.48,32.25,32.46,29.96,1324600
26/03/2013,32.73,32.79,32.0,32.51,30.01,1396500
27/03/2013,32.38,32.89,32.06,32.74,30.22,1896800
28/03/2013,32.85,33.5,32.63,33.4,30.83,7434900
01/04/2013,33.42,33.59,32.43,32.59,30.08,1466300
02/04/2013,32.66,33.13,32.46,32.55,30.05,712200
03/04/2013,32.67,32.98,32.36,32.53,30.03,1409700
04/04/2013,32.41,32.5,31.71,31.84,29.39,1946400
05/04/2013,31.73,32.07,30.57,31.96,29.5,3963500
08/04/2013,31.95,32.98,31.77,32.92,30.39,1965200
09/04/2013,33.05,33.59,32.56,33.44,30.87,2004400
10/04/2013,33.76,33.76,32.98,33.15,30.6,969500
11/04/2013,33.22,33.24,32.87,33.16,30.61,1826600
12/04/2013,32.97,33.35,32.6,33.23,30.68,723500
15/04/2013,33.07,33.23,32.17,32.24,29.76,839500
16/04/2013,32.36,33.37,32.29,33.21,30.66,2271200
17/04/2013,32.98,33.23,32.17,32.89,30.36,3140500
18/04/2013,33.1,33.1,32.38,32.47,29.97,799900
19/04/2013,32.71,32.79,31.81,32.71,30.2,2159300
22/04/2013,32.9,32.9,32.22,32.66,30.15,922100
23/04/2013,32.78,32.96,31.5,31.7,29.26,2731700
24/04/2013,31.63,31.69,30.42,30.62,28.27,4149300
25/04/2013,30.93,31.99,30.75,31.55,29.12,1520600
26/04/2013,31.61,32.68,31.61,32.64,30.13,1421800
29/04/2013,32.95,32.95,32.17,32.66,30.21,1711600
30/04/2013,33.68,34.74,32.93,33.02,30.54,3390300
01/05/2013,32.97,33.51,32.66,33.39,30.88,1393100
02/05/2013,33.38,33.87,33.11,33.28,30.78,696300
03/05/2013,33.62,33.64,33.0,33.21,30.72,998400
06/05/2013,33.35,33.49,32.75,32.94,30.47,503700
07/05/2013,33.08,33.08,32.29,32.88,30.41,700700
08/05/2013,33.0,33.44,32.72,33.26,30.76,1034100
09/05/2013,33.31,33.67,33.28,33.55,31.03,977200
10/05/2013,33.54,33.61,32.97,33.18,30.69,534100
13/05/2013,33.06,33.49,32.75,33.04,30.56,438700
14/05/2013,33.13,33.75,32.85,33.08,30.6,872300
15/05/2013,32.94,33.06,32.56,32.79,30.33,563200
16/05/2013,33.48,33.8,33.16,33.39,30.88,1278700
17/05/2013,33.35,33.9,33.19,33.9,31.36,962200
