Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.31,0.33,0.31,0.33,0.26,183198400
03/01/1990,0.34,0.34,0.33,0.33,0.26,207995200
04/01/1990,0.34,0.35,0.33,0.34,0.27,221513600
05/01/1990,0.34,0.34,0.33,0.34,0.27,123312000
08/01/1990,0.33,0.34,0.33,0.34,0.27,101572800
09/01/1990,0.34,0.34,0.33,0.34,0.27,86139200
10/01/1990,0.34,0.34,0.32,0.32,0.25,199718400
11/01/1990,0.32,0.32,0.31,0.31,0.24,211052800
12/01/1990,0.31,0.31,0.3,0.31,0.24,171897600
15/01/1990,0.31,0.32,0.31,0.31,0.24,161739200
16/01/1990,0.3,0.31,0.29,0.31,0.25,214244800
17/01/1990,0.31,0.31,0.29,0.3,0.23,197299200
18/01/1990,0.29,0.3,0.29,0.29,0.23,273291200
19/01/1990,0.3,0.31,0.3,0.31,0.24,265137600
22/01/1990,0.3,0.31,0.3,0.3,0.23,145611200
23/01/1990,0.3,0.31,0.29,0.3,0.24,140873600
24/01/1990,0.29,0.31,0.29,0.3,0.24,169792000
25/01/1990,0.31,0.31,0.3,0.3,0.24,111540800
26/01/1990,0.3,0.3,0.29,0.29,0.23,181249600
29/01/1990,0.29,0.3,0.29,0.3,0.23,119929600
30/01/1990,0.3,0.31,0.29,0.3,0.24,116446400
31/01/1990,0.31,0.31,0.29,0.3,0.24,143942400
01/02/1990,0.31,0.31,0.3,0.3,0.24,117073600
02/02/1990,0.3,0.31,0.3,0.31,0.24,118473600
05/02/1990,0.31,0.31,0.3,0.31,0.25,101752000
06/02/1990,0.31,0.31,0.3,0.31,0.25,73920000
07/02/1990,0.29,0.3,0.29,0.3,0.23,312446400
08/02/1990,0.3,0.3,0.29,0.29,0.23,186636800
09/02/1990,0.3,0.31,0.3,0.31,0.24,168078400
12/02/1990,0.31,0.31,0.3,0.3,0.24,74916800
13/02/1990,0.3,0.31,0.3,0.31,0.24,102166400
14/02/1990,0.31,0.31,0.3,0.31,0.24,96062400
15/02/1990,0.3,0.31,0.3,0.31,0.24,97966400
16/02/1990,0.31,0.31,0.3,0.3,0.24,127209600
20/02/1990,0.3,0.3,0.29,0.3,0.24,123244800
21/02/1990,0.29,0.31,0.29,0.3,0.24,175907200
22/02/1990,0.3,0.31,0.29,0.29,0.23,195182400
23/02/1990,0.29,0.3,0.29,0.3,0.24,149956800
26/02/1990,0.29,0.31,0.29,0.3,0.24,79609600
27/02/1990,0.3,0.31,0.3,0.3,0.24,73953600
28/02/1990,0.3,0.3,0.3,0.3,0.24,109334400
01/03/1990,0.3,0.31,0.3,0.31,0.24,203896000
02/03/1990,0.3,0.31,0.3,0.3,0.24,104899200
05/03/1990,0.3,0.31,0.3,0.31,0.24,182470400
06/03/1990,0.31,0.31,0.31,0.31,0.25,156016000
07/03/1990,0.31,0.32,0.31,0.32,0.25,204220800
08/03/1990,0.32,0.33,0.31,0.33,0.26,223843200
09/03/1990,0.33,0.33,0.32,0.33,0.26,230473600
12/03/1990,0.33,0.33,0.32,0.33,0.26,163956800
13/03/1990,0.33,0.33,0.32,0.33,0.26,148579200
14/03/1990,0.33,0.33,0.33,0.33,0.26,101785600
15/03/1990,0.33,0.34,0.33,0.33,0.26,120232000
16/03/1990,0.36,0.36,0.35,0.36,0.29,644761600
19/03/1990,0.36,0.38,0.36,0.38,0.3,431793600
20/03/1990,0.38,0.38,0.36,0.37,0.29,391316800
21/03/1990,0.37,0.38,0.37,0.37,0.29,152734400
22/03/1990,0.37,0.38,0.36,0.36,0.29,231660800
23/03/1990,0.37,0.38,0.37,0.38,0.3,227987200
26/03/1990,0.38,0.39,0.38,0.38,0.3,128060800
27/03/1990,0.38,0.38,0.37,0.38,0.3,84604800
28/03/1990,0.38,0.38,0.37,0.37,0.29,102939200
29/03/1990,0.37,0.37,0.36,0.37,0.29,96891200
30/03/1990,0.36,0.37,0.36,0.36,0.29,223350400
02/04/1990,0.36,0.36,0.35,0.36,0.29,148769600
03/04/1990,0.36,0.37,0.36,0.37,0.3,139708800
