Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,3.83,3.89,3.82,3.89,1.82,10106463
03/01/1990,3.89,3.91,3.87,3.9,1.82,6114490
04/01/1990,3.91,3.91,3.86,3.89,1.82,6476263
05/01/1990,3.88,3.89,3.84,3.85,1.8,3382484
08/01/1990,3.82,3.86,3.8,3.85,1.81,6631308
09/01/1990,3.84,3.89,3.83,3.84,1.8,6932488
10/01/1990,3.82,3.83,3.77,3.79,1.78,4795713
11/01/1990,3.79,3.84,3.79,3.82,1.8,2944080
12/01/1990,3.79,3.79,3.75,3.75,1.76,4097118
15/01/1990,3.73,3.74,3.67,3.7,1.74,5677868
16/01/1990,3.67,3.74,3.66,3.74,1.76,5656483
17/01/1990,3.74,3.77,3.68,3.7,1.74,5394509
18/01/1990,3.7,3.77,3.7,3.77,1.77,3888609
19/01/1990,3.77,3.82,3.77,3.82,1.79,4909770
22/01/1990,3.82,3.82,3.74,3.74,1.76,4369784
23/01/1990,3.75,3.77,3.69,3.7,1.74,7413663
24/01/1990,3.65,3.75,3.63,3.72,1.75,6189340
25/01/1990,3.71,3.72,3.58,3.59,1.69,4845613
26/01/1990,3.61,3.65,3.58,3.63,1.71,5063033
29/01/1990,3.65,3.65,3.59,3.62,1.7,4838485
30/01/1990,3.61,3.63,3.56,3.61,1.7,5879249
31/01/1990,3.61,3.67,3.61,3.65,1.72,3712178
01/02/1990,3.65,3.68,3.63,3.66,1.72,5455102
02/02/1990,3.65,3.7,3.65,3.69,1.74,6647347
05/02/1990,3.69,3.7,3.66,3.68,1.73,3275556
06/02/1990,3.66,3.66,3.63,3.63,1.71,4547997
07/02/1990,3.62,3.68,3.6,3.63,1.71,7000209
08/02/1990,3.63,3.66,3.6,3.62,1.7,6438838
09/02/1990,3.62,3.63,3.59,3.6,1.69,4209393
12/02/1990,3.58,3.6,3.56,3.57,1.68,3594557
13/02/1990,3.56,3.61,3.56,3.61,1.7,9341929
14/02/1990,3.61,3.65,3.61,3.64,1.71,6419234
