Date,Open,High,Low,Close,Adj Close,Volume
19/07/2001,15.1,15.29,15.0,15.17,10.89,34994300
20/07/2001,15.05,15.05,14.8,15.01,10.77,9238500
23/07/2001,15.0,15.01,14.55,15.0,10.77,7501000
24/07/2001,14.95,14.97,14.7,14.86,10.67,3537300
25/07/2001,14.7,14.95,14.65,14.95,10.73,4208100
26/07/2001,14.95,14.99,14.5,14.5,10.41,6335300
27/07/2001,14.51,14.59,14.5,14.51,10.41,3524000
30/07/2001,14.5,14.78,14.5,14.7,10.55,3654300
31/07/2001,14.71,15.01,14.6,14.96,10.74,1429000
01/08/2001,15.0,15.5,14.9,15.5,11.12,2087900
02/08/2001,15.4,15.5,15.1,15.4,11.05,1717400
03/08/2001,15.4,15.4,14.98,15.15,10.87,983600
06/08/2001,15.15,15.22,15.02,15.1,10.84,777400
07/08/2001,15.1,15.55,15.1,15.5,11.12,788900
08/08/2001,15.4,15.6,15.0,15.0,10.77,2190300
09/08/2001,15.05,15.5,15.0,15.5,11.12,928000
10/08/2001,15.4,15.4,15.12,15.19,10.9,703300
13/08/2001,15.15,15.34,14.9,15.01,10.77,1770400
14/08/2001,15.05,15.06,14.65,14.7,10.55,1000800
15/08/2001,14.75,14.9,14.7,14.79,10.62,530900
16/08/2001,14.78,14.78,14.05,14.05,10.08,1522700
17/08/2001,14.06,14.8,13.9,14.52,10.42,2342400
20/08/2001,14.6,15.35,14.49,15.35,11.02,1434900
21/08/2001,15.25,15.6,15.01,15.46,11.1,1038200
22/08/2001,15.32,15.39,14.78,15.34,11.01,829000
23/08/2001,15.45,15.45,15.25,15.25,10.95,470000
24/08/2001,15.25,15.48,15.0,15.4,11.05,689000
27/08/2001,15.48,15.65,15.4,15.48,11.11,827700
28/08/2001,15.42,15.58,15.25,15.36,11.02,736900
29/08/2001,15.29,15.31,15.0,15.01,10.77,397400
30/08/2001,14.85,15.04,14.85,14.95,10.73,640100
31/08/2001,15.0,15.1,14.9,14.9,10.69,3337900
04/09/2001,15.0,15.65,15.0,15.38,11.04,1068600
05/09/2001,15.38,15.38,14.9,14.91,10.7,1053200
06/09/2001,14.75,15.01,14.4,14.5,10.41,1384500
07/09/2001,14.45,14.64,14.35,14.52,10.42,1408500
10/09/2001,14.58,15.16,14.55,15.15,10.87,622100
17/09/2001,15.14,15.14,14.47,14.6,10.48,1934300
18/09/2001,14.6,15.0,14.35,14.55,10.44,902800
19/09/2001,14.6,14.69,13.72,13.95,10.01,2415400
20/09/2001,13.9,13.9,12.84,12.95,9.29,3498900
21/09/2001,12.85,13.0,12.16,12.75,9.15,2051800
24/09/2001,13.0,13.28,12.95,13.2,9.47,1964200
25/09/2001,13.2,13.2,12.7,12.8,9.19,1827300
26/09/2001,12.8,12.96,12.2,12.2,8.76,3327200
27/09/2001,12.26,12.26,11.61,11.85,8.51,2347500
28/09/2001,12.1,13.45,12.1,12.75,9.15,2844000
01/10/2001,12.65,13.0,12.65,12.7,9.12,878800
02/10/2001,12.55,12.7,12.12,12.58,9.03,1900400
03/10/2001,12.62,13.06,12.6,12.95,9.29,2539400
04/10/2001,12.97,13.8,12.97,13.49,9.68,3108500
05/10/2001,13.5,13.74,13.32,13.55,9.73,2172300
08/10/2001,13.6,13.69,13.23,13.23,9.5,576100
09/10/2001,13.48,13.8,13.38,13.4,9.62,1601100
10/10/2001,13.35,13.75,13.3,13.67,9.81,1700400
11/10/2001,15.5,15.5,14.7,15.16,10.88,4214100
12/10/2001,15.26,16.55,15.26,16.55,11.88,5193300
15/10/2001,16.51,17.95,16.51,17.5,12.56,3277900
16/10/2001,17.65,18.05,16.9,17.45,12.52,1996000
17/10/2001,17.65,17.74,16.85,16.98,12.19,1877100
18/10/2001,16.98,16.98,16.61,16.7,11.99,942000
19/10/2001,16.7,16.85,16.54,16.85,12.09,2062500
22/10/2001,17.0,17.57,16.97,17.5,12.56,469600
23/10/2001,17.5,17.73,17.27,17.62,12.65,915400
24/10/2001,17.68,17.76,17.57,17.74,12.73,472600
25/10/2001,17.74,17.75,17.13,17.74,12.73,265100
26/10/2001,17.7,17.78,17.5,17.62,12.65,566500
29/10/2001,17.72,17.73,17.4,17.55,12.6,616200
30/10/2001,17.45,17.46,17.15,17.35,12.45,574700
31/10/2001,17.42,17.6,17.1,17.57,12.61,718600
01/11/2001,17.52,18.59,17.52,18.31,13.14,1089900
02/11/2001,18.5,19.1,18.1,18.25,13.1,2372800
05/11/2001,18.25,18.27,17.77,18.1,12.99,1552700
06/11/2001,17.98,17.98,17.35,17.97,12.9,562600
07/11/2001,17.98,18.9,17.96,18.9,13.56,1987000
08/11/2001,18.7,19.97,18.7,19.95,14.32,1747200
09/11/2001,19.75,19.95,19.65,19.95,14.32,1325400
12/11/2001,19.75,19.75,19.0,19.49,13.99,2398300
13/11/2001,19.7,21.24,19.66,20.8,14.93,1463000
14/11/2001,21.0,21.4,19.97,20.21,14.51,1391400
15/11/2001,20.05,20.45,20.05,20.25,14.53,628200
16/11/2001,20.25,21.25,20.2,21.04,15.1,639100
19/11/2001,21.1,22.25,21.1,22.0,15.79,1430000
20/11/2001,21.96,21.96,21.15,21.25,15.25,1017400
21/11/2001,21.2,21.21,19.8,20.35,14.61,1442600
23/11/2001,20.34,20.62,20.26,20.55,14.75,286500
26/11/2001,20.68,21.6,20.27,21.5,15.43,1064900
27/11/2001,21.6,22.75,21.5,22.5,16.15,1210000
28/11/2001,22.0,22.1,20.86,21.85,15.68,1415900
29/11/2001,21.83,22.24,21.01,21.43,15.38,1326400
30/11/2001,21.46,22.66,21.41,22.6,16.22,2075400
03/12/2001,22.75,24.0,22.5,22.9,16.44,1244400
04/12/2001,22.75,24.5,22.65,24.2,17.37,2087000
05/12/2001,24.4,26.8,24.34,26.65,19.13,3386200
06/12/2001,26.65,27.17,25.9,26.25,18.84,3190200
07/12/2001,25.9,25.95,24.8,24.86,17.84,1115400
10/12/2001,25.0,26.2,24.5,24.6,17.66,1732100
11/12/2001,24.55,24.88,24.5,24.76,17.77,1713200
12/12/2001,24.75,25.3,24.54,25.17,18.07,2044100
13/12/2001,25.12,25.13,23.2,23.3,16.72,1446600
14/12/2001,23.35,23.85,22.64,23.65,16.97,1156200
17/12/2001,23.8,25.5,23.71,25.46,18.27,1428100
18/12/2001,25.75,26.1,25.51,25.95,18.62,2640200
19/12/2001,25.9,26.38,25.45,26.03,18.68,1160100
20/12/2001,27.6,28.0,25.61,27.05,19.41,2425100
21/12/2001,26.65,27.25,26.12,26.15,18.77,1900500
24/12/2001,26.15,26.15,25.95,26.01,18.67,181100
26/12/2001,26.11,26.24,26.01,26.24,18.83,667000
27/12/2001,26.23,26.3,26.0,26.29,18.87,702000
28/12/2001,26.29,26.59,26.0,26.55,19.06,1174700
31/12/2001,26.56,26.93,26.1,26.92,19.32,920700
02/01/2002,26.9,26.91,25.95,26.21,18.81,900500
03/01/2002,26.23,26.27,25.3,25.39,18.22,698200
04/01/2002,25.39,28.2,25.24,27.7,19.88,2708500
07/01/2002,27.77,27.8,26.45,26.45,18.98,1113600
08/01/2002,26.46,27.3,24.12,27.28,19.58,1746900
09/01/2002,27.0,28.34,26.26,27.57,19.79,3008600
10/01/2002,27.98,28.15,27.26,27.82,19.97,2384900
11/01/2002,27.6,27.75,26.01,26.47,19.0,3910300
14/01/2002,25.6,25.65,24.81,24.94,17.9,4285500
15/01/2002,25.0,26.0,25.0,25.39,18.22,3987000
16/01/2002,25.42,26.67,24.9,26.0,18.66,3153700
17/01/2002,26.0,26.25,25.84,26.0,18.66,1226800
18/01/2002,25.95,25.99,25.59,25.76,18.49,758100
22/01/2002,25.68,25.68,24.9,24.96,17.91,1914100
23/01/2002,24.9,25.0,24.31,24.55,17.62,2515200
24/01/2002,25.25,26.24,25.25,25.7,18.45,1689200
25/01/2002,25.65,25.75,25.2,25.2,18.09,1057900
28/01/2002,25.23,25.23,23.13,24.0,17.23,3010300
29/01/2002,24.35,24.42,23.78,23.88,17.14,2563400
30/01/2002,23.74,24.99,23.3,24.95,17.91,1677500
31/01/2002,25.5,26.15,25.5,25.78,18.5,1785300
01/02/2002,25.9,28.3,25.8,28.0,20.1,2698000
04/02/2002,27.9,27.95,27.01,27.31,19.6,1659800
05/02/2002,26.95,27.41,26.81,27.2,19.52,1007200
06/02/2002,27.2,27.22,26.88,27.02,19.39,825700
07/02/2002,27.0,27.65,26.69,27.5,19.74,3080600
08/02/2002,27.0,27.75,26.7,27.72,19.9,1346400
11/02/2002,27.4,28.05,26.6,26.8,19.24,1225300
12/02/2002,25.8,26.2,25.7,25.98,18.65,1278100
13/02/2002,26.0,26.15,25.65,25.8,18.52,1198100
14/02/2002,26.0,27.0,25.6,27.0,19.38,1449900
15/02/2002,26.85,27.5,26.35,27.45,19.7,964900
19/02/2002,27.45,27.45,26.85,26.95,19.34,814300
20/02/2002,26.9,27.36,26.85,27.1,19.45,1156200
21/02/2002,26.9,26.9,24.95,26.0,18.66,1514200
22/02/2002,25.8,25.8,24.7,25.63,18.4,2449100
25/02/2002,25.96,26.24,24.75,25.2,18.09,2103500
26/02/2002,25.3,25.85,25.03,25.68,18.43,787100
27/02/2002,27.0,27.24,25.5,25.74,18.47,1830800
28/02/2002,25.94,26.4,25.8,26.19,18.8,1782900
01/03/2002,26.3,26.3,26.05,26.2,18.8,560300
04/03/2002,26.2,27.19,26.2,26.8,19.24,1758700
05/03/2002,27.0,27.84,27.0,27.75,19.92,2029800
06/03/2002,27.5,28.05,27.44,27.54,19.77,770000
07/03/2002,27.56,27.85,26.8,27.14,19.48,1056000
08/03/2002,27.75,30.5,27.75,29.89,21.45,2507500
11/03/2002,30.2,30.37,29.5,29.9,21.46,1379200
12/03/2002,29.7,30.23,29.09,29.81,21.4,1616000
13/03/2002,29.75,29.78,28.93,29.15,20.92,702500
14/03/2002,29.0,29.03,28.33,28.67,20.58,1106700
15/03/2002,28.52,28.99,28.25,28.99,20.81,892800
18/03/2002,29.0,29.7,29.0,29.42,21.12,838500
19/03/2002,28.0,28.15,25.0,26.0,18.66,8931800
20/03/2002,26.0,27.2,25.26,26.55,19.06,3732200
21/03/2002,26.75,27.45,26.5,27.39,19.66,1457900
22/03/2002,27.55,28.25,27.26,27.63,19.83,1225100
25/03/2002,27.63,27.63,26.65,27.05,19.41,917300
26/03/2002,26.95,27.38,26.4,26.71,19.17,426800
27/03/2002,26.79,26.92,26.42,26.51,19.03,517700
28/03/2002,26.5,27.0,26.11,26.7,19.16,904700
01/04/2002,26.65,26.7,26.25,26.65,19.13,992600
02/04/2002,25.35,26.1,25.35,26.0,18.66,1685100
03/04/2002,25.63,26.1,25.28,26.01,18.67,1223600
04/04/2002,25.99,26.0,24.91,25.1,18.01,2005200
05/04/2002,25.1,25.59,25.1,25.16,18.06,2232300
08/04/2002,23.75,24.2,22.99,24.03,17.25,4992800
09/04/2002,24.08,24.75,24.05,24.41,17.52,4387500
10/04/2002,24.5,24.85,24.25,24.25,17.4,3001300
11/04/2002,23.35,23.5,21.48,22.55,16.18,4328000
12/04/2002,22.75,22.97,22.05,22.52,16.16,2328700
15/04/2002,22.69,22.69,22.26,22.44,16.11,1178400
16/04/2002,22.5,24.2,22.5,23.75,17.05,1584800
17/04/2002,23.79,24.12,23.6,23.98,17.21,1409100
18/04/2002,23.9,23.9,23.02,23.1,16.58,1078900
19/04/2002,22.9,24.66,22.9,24.48,17.57,3423600
22/04/2002,24.25,24.48,24.03,24.41,17.52,1148300
23/04/2002,24.28,24.45,23.65,23.94,17.18,1451800
24/04/2002,23.75,23.9,22.9,23.15,16.62,1897500
25/04/2002,22.4,23.15,22.0,22.48,16.13,1785300
26/04/2002,22.45,22.48,21.8,21.8,15.65,1581100
29/04/2002,21.89,21.9,20.09,20.26,14.54,2037600
30/04/2002,20.35,21.55,20.07,21.44,15.39,1552400
01/05/2002,21.38,21.39,20.25,21.08,15.13,1883900
02/05/2002,21.1,21.5,21.0,21.2,15.22,2146900
03/05/2002,21.05,21.05,19.75,19.87,14.26,3315900
06/05/2002,19.9,20.5,19.88,20.2,14.5,1666900
07/05/2002,20.21,20.79,20.17,20.66,14.83,1462200
08/05/2002,22.2,22.65,21.74,22.22,15.95,2003300
09/05/2002,21.5,21.8,20.1,20.2,14.5,2551700
10/05/2002,21.25,21.39,19.5,20.46,14.68,2037900
13/05/2002,20.6,21.2,20.45,21.15,15.18,1121800
14/05/2002,21.5,21.85,21.15,21.85,15.68,1764000
15/05/2002,21.8,23.08,21.54,22.22,15.95,1669900
16/05/2002,20.5,20.65,19.9,20.0,14.35,8267900
17/05/2002,20.0,20.24,19.95,20.0,14.35,33453400
20/05/2002,20.0,21.69,19.6,21.46,15.4,20891200
21/05/2002,21.69,21.9,20.8,20.9,15.0,6467200
22/05/2002,20.67,20.87,20.45,20.7,14.86,6725800
23/05/2002,21.0,21.08,20.65,21.01,15.08,5913700
24/05/2002,20.96,21.1,20.66,20.82,14.94,2190900
28/05/2002,20.95,21.15,20.8,21.15,15.18,2776000
29/05/2002,20.97,21.1,20.8,21.08,15.13,1915700
30/05/2002,21.08,21.08,20.55,20.71,14.86,1794300
