Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,1.27,1.28,1.22,1.27,1.19,7166400
03/01/1990,1.28,1.36,1.27,1.33,1.25,13518400
04/01/1990,1.34,1.39,1.34,1.39,1.31,11859200
05/01/1990,1.38,1.44,1.38,1.42,1.34,6608000
08/01/1990,1.41,1.44,1.41,1.44,1.35,4347200
09/01/1990,1.42,1.45,1.39,1.41,1.32,3297600
10/01/1990,1.39,1.42,1.34,1.36,1.28,6772800
11/01/1990,1.36,1.45,1.36,1.44,1.35,7412800
12/01/1990,1.39,1.41,1.34,1.41,1.32,5752000
15/01/1990,1.38,1.41,1.36,1.38,1.29,3160000
16/01/1990,1.36,1.45,1.34,1.44,1.35,7684800
17/01/1990,1.45,1.5,1.42,1.42,1.34,8540800
18/01/1990,1.44,1.48,1.41,1.48,1.4,5457600
19/01/1990,1.48,1.48,1.42,1.42,1.34,3422400
22/01/1990,1.42,1.45,1.39,1.44,1.35,5110400
23/01/1990,1.47,1.53,1.44,1.5,1.41,7195200
24/01/1990,1.47,1.53,1.44,1.53,1.44,9172800
25/01/1990,1.55,1.58,1.47,1.48,1.4,9836800
26/01/1990,1.47,1.5,1.45,1.5,1.41,5252800
29/01/1990,1.48,1.52,1.48,1.5,1.41,7270400
30/01/1990,1.5,1.51,1.44,1.47,1.38,4406400
31/01/1990,1.47,1.5,1.47,1.47,1.38,5393600
01/02/1990,1.48,1.48,1.45,1.48,1.4,2827200
02/02/1990,1.47,1.53,1.47,1.52,1.43,10040000
05/02/1990,1.53,1.55,1.48,1.52,1.43,4262400
06/02/1990,1.52,1.53,1.48,1.5,1.41,5193600
07/02/1990,1.48,1.55,1.48,1.54,1.45,10596800
08/02/1990,1.53,1.66,1.53,1.62,1.53,8934400
09/02/1990,1.64,1.67,1.62,1.66,1.56,4427200
12/02/1990,1.67,1.71,1.66,1.68,1.58,8836800
13/02/1990,1.67,1.69,1.66,1.68,1.58,3670400
14/02/1990,1.69,1.7,1.67,1.69,1.59,6926400
15/02/1990,1.69,1.8,1.69,1.78,1.68,8483200
16/02/1990,1.78,1.81,1.75,1.76,1.65,3675200
20/02/1990,1.72,1.73,1.67,1.72,1.62,6524800
21/02/1990,1.7,1.75,1.69,1.72,1.62,3953600
22/02/1990,1.72,1.75,1.7,1.72,1.62,11128000
23/02/1990,1.7,1.8,1.7,1.75,1.65,2558400
26/02/1990,1.77,1.81,1.77,1.78,1.68,6777600
27/02/1990,1.78,1.84,1.77,1.84,1.73,7385600
28/02/1990,1.83,1.92,1.83,1.89,1.78,8995200
01/03/1990,1.91,1.97,1.89,1.91,1.79,12600000
02/03/1990,1.91,1.94,1.89,1.9,1.79,5787200
05/03/1990,1.91,2.05,1.89,2.03,1.91,28340800
06/03/1990,2.06,2.28,2.06,2.27,2.14,32380800
07/03/1990,2.3,2.31,2.21,2.3,2.16,23526400
08/03/1990,2.3,2.48,2.3,2.42,2.28,22838400
09/03/1990,2.39,2.41,2.31,2.36,2.22,10107200
12/03/1990,2.34,2.45,2.33,2.44,2.29,7825600
13/03/1990,2.44,2.52,2.44,2.51,2.36,11720000
14/03/1990,2.62,2.69,2.5,2.53,2.38,21238400
15/03/1990,2.64,2.66,2.58,2.61,2.46,17438400
16/03/1990,2.62,2.81,2.62,2.77,2.6,11728000
19/03/1990,2.77,2.84,2.7,2.84,2.67,9176000
20/03/1990,2.86,2.91,2.59,2.62,2.47,15164800
21/03/1990,2.58,2.67,2.5,2.5,2.35,7761600
22/03/1990,2.5,2.56,2.42,2.47,2.32,19056000
23/03/1990,2.48,2.52,2.36,2.38,2.23,6848000
26/03/1990,2.41,2.5,2.39,2.45,2.3,10035200
27/03/1990,2.42,2.55,2.41,2.52,2.37,8875200
28/03/1990,2.53,2.53,2.41,2.45,2.31,5820800
29/03/1990,2.45,2.48,2.38,2.41,2.27,3291200
30/03/1990,2.38,2.41,2.34,2.38,2.24,4448000
02/04/1990,2.31,2.42,2.31,2.41,2.28,3099200
03/04/1990,2.44,2.47,2.42,2.47,2.33,5363200
04/04/1990,2.47,2.5,2.41,2.44,2.3,3846400
05/04/1990,2.48,2.48,2.3,2.31,2.18,7177600
06/04/1990,2.31,2.34,2.28,2.28,2.15,5953600
09/04/1990,2.28,2.34,2.28,2.3,2.16,8300800
10/04/1990,2.38,2.42,2.36,2.41,2.27,12521600
11/04/1990,2.42,2.48,2.41,2.47,2.33,13171200
12/04/1990,2.48,2.5,2.47,2.48,2.34,3593600
16/04/1990,2.5,2.53,2.42,2.45,2.31,6881600
17/04/1990,2.41,2.42,2.33,2.42,2.28,5950400
18/04/1990,2.41,2.44,2.38,2.41,2.27,4112000
19/04/1990,2.38,2.4,2.36,2.38,2.24,3276800
20/04/1990,2.38,2.42,2.38,2.39,2.25,4734400
23/04/1990,2.39,2.39,2.34,2.34,2.21,6542400
24/04/1990,2.39,2.41,2.34,2.35,2.22,4638400
25/04/1990,2.36,2.38,2.3,2.33,2.19,3728000
26/04/1990,2.34,2.44,2.31,2.44,2.3,4220800
27/04/1990,2.42,2.47,2.34,2.38,2.24,4416000
30/04/1990,2.36,2.42,2.34,2.39,2.25,2752000
01/05/1990,2.44,2.58,2.39,2.56,2.42,9633600
02/05/1990,2.56,2.62,2.55,2.59,2.44,6836800
03/05/1990,2.62,2.67,2.56,2.56,2.42,4600000
04/05/1990,2.58,2.59,2.47,2.56,2.42,4478400
07/05/1990,2.59,2.72,2.56,2.68,2.53,5865600
08/05/1990,2.67,2.69,2.62,2.67,2.52,3217600
09/05/1990,2.64,2.7,2.61,2.69,2.53,5572800
10/05/1990,2.7,2.78,2.69,2.78,2.62,5080000
11/05/1990,2.8,2.81,2.75,2.78,2.62,4092800
14/05/1990,2.81,2.88,2.78,2.82,2.66,6352000
15/05/1990,2.81,2.91,2.8,2.91,2.74,5870400
16/05/1990,2.91,2.91,2.84,2.88,2.71,4627200
