Date,Open,High,Low,Close,Adj Close,Volume
15/05/1997,0.12,0.12,0.1,0.1,0.1,1443120000
16/05/1997,0.1,0.1,0.09,0.09,0.09,294000000
19/05/1997,0.09,0.09,0.08,0.09,0.09,122136000
20/05/1997,0.09,0.09,0.08,0.08,0.08,109344000
21/05/1997,0.08,0.08,0.07,0.07,0.07,377064000
22/05/1997,0.07,0.07,0.07,0.07,0.07,235536000
23/05/1997,0.07,0.08,0.07,0.08,0.08,318744000
27/05/1997,0.08,0.08,0.07,0.08,0.08,173952000
28/05/1997,0.08,0.08,0.08,0.08,0.08,91488000
29/05/1997,0.08,0.08,0.07,0.08,0.08,69456000
30/05/1997,0.08,0.08,0.07,0.08,0.08,51888000
02/06/1997,0.08,0.08,0.08,0.08,0.08,11832000
03/06/1997,0.08,0.08,0.07,0.07,0.07,23664000
04/06/1997,0.07,0.07,0.07,0.07,0.07,61608000
05/06/1997,0.07,0.08,0.07,0.08,0.08,113448000
06/06/1997,0.08,0.09,0.08,0.08,0.08,156144000
09/06/1997,0.08,0.09,0.08,0.08,0.08,47040000
10/06/1997,0.09,0.09,0.08,0.08,0.08,109176000
11/06/1997,0.08,0.08,0.08,0.08,0.08,23760000
12/06/1997,0.08,0.08,0.08,0.08,0.08,32640000
13/06/1997,0.08,0.08,0.08,0.08,0.08,13872000
16/06/1997,0.08,0.08,0.08,0.08,0.08,18264000
17/06/1997,0.08,0.08,0.07,0.08,0.08,94128000
18/06/1997,0.08,0.08,0.08,0.08,0.08,49296000
19/06/1997,0.08,0.08,0.08,0.08,0.08,20064000
20/06/1997,0.08,0.08,0.08,0.08,0.08,67752000
23/06/1997,0.08,0.08,0.07,0.08,0.08,20952000
24/06/1997,0.08,0.08,0.07,0.08,0.08,15024000
25/06/1997,0.08,0.08,0.07,0.08,0.08,42120000
26/06/1997,0.08,0.08,0.08,0.08,0.08,63792000
27/06/1997,0.08,0.08,0.07,0.07,0.07,23760000
30/06/1997,0.08,0.08,0.07,0.08,0.08,54936000
01/07/1997,0.08,0.08,0.08,0.08,0.08,25848000
02/07/1997,0.08,0.08,0.08,0.08,0.08,77640000
03/07/1997,0.08,0.1,0.08,0.1,0.1,251544000
07/07/1997,0.09,0.1,0.09,0.1,0.1,161064000
08/07/1997,0.1,0.12,0.1,0.12,0.12,310344000
09/07/1997,0.12,0.12,0.11,0.12,0.12,165240000
10/07/1997,0.12,0.13,0.12,0.13,0.13,181032000
11/07/1997,0.13,0.13,0.11,0.11,0.11,210624000
14/07/1997,0.12,0.12,0.11,0.11,0.11,92088000
15/07/1997,0.11,0.12,0.11,0.12,0.12,185496000
