Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,7.58,7.64,7.52,7.64,4.56,583840
03/01/1990,7.65,7.67,7.52,7.56,4.51,2132820
04/01/1990,7.56,7.56,7.48,7.5,4.48,1647380
05/01/1990,7.53,7.56,7.48,7.48,4.47,596140
08/01/1990,7.45,7.53,7.44,7.53,4.49,473960
09/01/1990,7.55,7.59,7.48,7.48,4.47,820000
10/01/1990,7.48,7.55,7.32,7.38,4.4,993020
11/01/1990,7.44,7.47,7.41,7.47,4.46,304220
12/01/1990,7.45,7.45,7.33,7.35,4.38,496920
15/01/1990,7.29,7.29,7.2,7.24,4.32,1525200
16/01/1990,7.16,7.24,7.15,7.21,4.3,893800
17/01/1990,7.21,7.32,7.18,7.29,4.35,564160
18/01/1990,7.26,7.29,7.2,7.2,4.29,1621140
19/01/1990,7.23,7.26,7.15,7.21,4.3,2214820
22/01/1990,7.23,7.26,7.13,7.16,4.27,1180800
23/01/1990,7.16,7.23,7.12,7.15,4.27,1700680
24/01/1990,6.98,7.12,6.98,7.06,4.21,949560
25/01/1990,7.09,7.12,7.01,7.01,4.18,740460
26/01/1990,6.97,6.98,6.8,6.86,4.09,2869180
29/01/1990,6.89,6.92,6.8,6.88,4.1,2162340
30/01/1990,6.92,6.94,6.83,6.84,4.08,2561680
31/01/1990,6.88,6.98,6.88,6.98,4.17,2382100
01/02/1990,7.01,7.01,6.94,7.0,4.17,1296420
02/02/1990,6.98,7.13,6.98,7.13,4.26,669940
05/02/1990,7.2,7.2,7.07,7.07,4.22,605160
06/02/1990,7.04,7.07,7.03,7.06,4.21,627300
07/02/1990,7.04,7.23,7.04,7.16,4.27,758500
08/02/1990,7.16,7.3,7.15,7.23,4.31,683880
09/02/1990,7.27,7.29,7.24,7.27,4.34,670760
12/02/1990,7.29,7.29,7.23,7.23,4.31,496100
13/02/1990,7.16,7.36,7.16,7.36,4.39,1526020
14/02/1990,7.36,7.41,7.33,7.41,4.42,1008600
15/02/1990,7.41,7.41,7.38,7.39,4.41,1077480
16/02/1990,7.38,7.38,7.29,7.3,4.36,1059440
20/02/1990,7.26,7.29,7.21,7.26,4.33,771620
21/02/1990,7.2,7.27,7.16,7.27,4.34,997940
22/02/1990,7.24,7.32,7.24,7.26,4.33,466580
23/02/1990,7.24,7.24,7.15,7.21,4.3,583840
26/02/1990,7.13,7.23,7.12,7.21,4.3,847880
27/02/1990,7.21,7.27,7.2,7.24,4.32,477240
28/02/1990,7.23,7.26,7.21,7.26,4.33,661740
01/03/1990,7.23,7.24,7.16,7.16,4.27,2218920
02/03/1990,7.16,7.27,7.16,7.23,4.31,1763820
05/03/1990,7.16,7.24,7.16,7.16,4.29,920040
06/03/1990,7.16,7.24,7.16,7.24,4.34,383760
07/03/1990,7.29,7.42,7.29,7.29,4.37,784740
08/03/1990,7.3,7.47,7.29,7.47,4.48,955300
09/03/1990,7.42,7.44,7.35,7.35,4.4,502660
12/03/1990,7.32,7.41,7.3,7.41,4.44,451820
13/03/1990,7.36,7.36,7.3,7.33,4.4,1138980
14/03/1990,7.35,7.35,7.29,7.29,4.37,686340
15/03/1990,7.29,7.41,7.29,7.39,4.43,365720
16/03/1990,7.36,7.38,7.3,7.3,4.38,835580
19/03/1990,7.3,7.42,7.29,7.42,4.45,359980
20/03/1990,7.42,7.47,7.41,7.45,4.47,580560
21/03/1990,7.44,7.56,7.44,7.47,4.48,837220
22/03/1990,7.42,7.47,7.23,7.26,4.35,1054520
23/03/1990,7.29,7.33,7.29,7.32,4.39,430500
26/03/1990,7.33,7.35,7.3,7.3,4.38,219760
27/03/1990,7.32,7.32,7.26,7.32,4.39,386220
28/03/1990,7.29,7.32,7.24,7.29,4.37,320620
29/03/1990,7.27,7.35,7.26,7.33,4.4,366540
30/03/1990,7.35,7.38,7.29,7.38,4.42,446080
02/04/1990,7.35,7.35,7.27,7.3,4.38,500200
03/04/1990,7.3,7.38,7.29,7.36,4.41,393600
04/04/1990,7.36,7.38,7.24,7.24,4.34,442800
05/04/1990,7.29,7.35,7.23,7.32,4.39,349320
06/04/1990,7.33,7.33,7.26,7.3,4.38,212380
09/04/1990,7.32,7.35,7.27,7.27,4.36,276340
10/04/1990,7.23,7.26,7.23,7.26,4.35,592040
11/04/1990,7.23,7.29,7.2,7.26,4.35,382120
12/04/1990,7.3,7.36,7.3,7.3,4.38,262400
16/04/1990,7.32,7.42,7.32,7.41,4.44,843780
17/04/1990,7.41,7.42,7.38,7.42,4.45,419840
18/04/1990,7.42,7.44,7.39,7.39,4.43,747020
19/04/1990,7.41,7.47,7.33,7.35,4.4,669940
20/04/1990,7.36,7.41,7.27,7.29,4.37,711760
23/04/1990,7.24,7.24,7.2,7.21,4.32,553500
24/04/1990,7.21,7.27,7.2,7.23,4.33,314060
25/04/1990,7.26,7.29,7.26,7.27,4.36,336200
26/04/1990,7.3,7.3,7.2,7.26,4.35,453460
27/04/1990,7.26,7.27,7.1,7.1,4.26,392780
30/04/1990,7.1,7.23,7.07,7.23,4.33,460840
01/05/1990,7.27,7.35,7.26,7.32,4.39,1210320
02/05/1990,7.3,7.41,7.29,7.38,4.42,1002040
03/05/1990,7.39,7.44,7.32,7.35,4.4,394420
04/05/1990,7.39,7.42,7.36,7.36,4.41,805240
07/05/1990,7.38,7.55,7.36,7.53,4.51,1013520
08/05/1990,7.56,7.68,7.53,7.67,4.6,1395640
09/05/1990,7.68,7.79,7.67,7.76,4.65,2475580
10/05/1990,7.77,7.82,7.76,7.8,4.68,1369400
11/05/1990,7.8,7.84,7.71,7.84,4.7,3125840
14/05/1990,7.82,7.87,7.82,7.84,4.7,1398100
15/05/1990,7.77,7.93,7.77,7.93,4.75,899540
16/05/1990,7.91,7.93,7.82,7.82,4.69,373100
17/05/1990,7.8,7.85,7.79,7.79,4.67,987280
18/05/1990,7.77,7.8,7.68,7.68,4.61,1280020
21/05/1990,7.7,7.73,7.67,7.68,4.61,812620
22/05/1990,7.74,7.93,7.74,7.9,4.73,1447300
23/05/1990,7.9,7.91,7.87,7.91,4.74,784740
24/05/1990,7.88,8.17,7.88,8.17,4.9,1085680
25/05/1990,8.14,8.17,8.11,8.11,4.86,930700
29/05/1990,8.17,8.19,8.11,8.17,4.9,741280
30/05/1990,8.29,8.31,8.23,8.25,4.94,845420
31/05/1990,8.25,8.29,8.2,8.2,4.92,1192280
01/06/1990,8.26,8.34,8.26,8.32,4.99,465760
04/06/1990,8.29,8.35,8.25,8.35,5.03,998760
05/06/1990,8.35,8.46,8.35,8.41,5.06,736360
06/06/1990,8.37,8.4,8.34,8.35,5.03,782280
07/06/1990,8.54,8.55,8.48,8.52,5.13,2137740
08/06/1990,8.52,8.52,8.41,8.45,5.08,1008600
11/06/1990,8.41,8.57,8.41,8.55,5.15,1517000
12/06/1990,8.6,8.69,8.54,8.69,5.23,1617040
13/06/1990,8.72,8.84,8.72,8.75,5.27,1179980
14/06/1990,8.75,8.84,8.75,8.83,5.31,940540
15/06/1990,8.78,8.81,8.75,8.77,5.27,1711340
18/06/1990,8.73,8.73,8.61,8.61,5.18,1244760
19/06/1990,8.6,8.6,8.49,8.51,5.12,1124220
20/06/1990,8.51,8.58,8.51,8.52,5.13,1635080
21/06/1990,8.55,8.57,8.51,8.57,5.16,1827780
22/06/1990,8.54,8.54,8.38,8.48,5.1,718320
25/06/1990,8.41,8.45,8.35,8.41,5.06,1089780
26/06/1990,8.41,8.49,8.38,8.43,5.07,427220
27/06/1990,8.41,8.58,8.4,8.55,5.15,766700
28/06/1990,8.57,8.66,8.55,8.64,5.2,874120
29/06/1990,8.63,8.64,8.48,8.55,5.15,1645740
02/07/1990,8.52,8.63,8.51,8.63,5.19,440340
03/07/1990,8.63,8.75,8.63,8.73,5.26,596140
05/07/1990,8.77,8.77,8.66,8.66,5.21,435420
06/07/1990,8.61,8.72,8.61,8.72,5.25,331280
09/07/1990,8.7,8.77,8.7,8.73,5.26,431320
10/07/1990,8.73,8.75,8.64,8.7,5.24,744560
11/07/1990,8.78,8.84,8.78,8.84,5.32,1853200
12/07/1990,8.86,8.96,8.84,8.89,5.35,1933560
13/07/1990,8.89,8.96,8.87,8.9,5.36,723240
