Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,7.23,7.36,7.22,7.36,3.25,2910400
03/01/1990,7.42,7.52,7.42,7.44,3.28,5712000
04/01/1990,7.44,7.48,7.42,7.47,3.29,2397600
05/01/1990,7.47,7.47,7.39,7.42,3.27,2043200
08/01/1990,7.42,7.42,7.33,7.38,3.25,1340800
09/01/1990,7.38,7.42,7.31,7.33,3.23,2283200
10/01/1990,7.33,7.38,7.3,7.34,3.24,2684800
11/01/1990,7.34,7.38,7.33,7.34,3.24,2259200
12/01/1990,7.33,7.33,7.2,7.22,3.18,1362400
15/01/1990,7.2,7.2,7.16,7.19,3.17,1007200
16/01/1990,7.16,7.16,7.08,7.12,3.16,2668000
17/01/1990,7.05,7.05,6.81,6.86,3.04,7724000
18/01/1990,6.86,7.03,6.69,6.92,3.07,6443200
19/01/1990,6.92,6.92,6.84,6.89,3.05,4531200
22/01/1990,6.89,6.91,6.77,6.81,3.02,1825600
23/01/1990,6.81,6.94,6.8,6.91,3.06,2964800
24/01/1990,6.91,7.03,6.78,6.97,3.09,3203200
25/01/1990,6.97,7.0,6.89,6.89,3.05,1330400
26/01/1990,6.89,6.92,6.81,6.86,3.04,1689600
29/01/1990,6.86,6.89,6.77,6.83,3.03,1153600
30/01/1990,6.83,6.84,6.73,6.81,3.02,1355200
31/01/1990,6.83,6.94,6.83,6.92,3.07,3260000
01/02/1990,6.94,7.0,6.94,6.94,3.08,2389600
02/02/1990,6.94,7.03,6.88,6.95,3.08,1966400
05/02/1990,6.95,6.95,6.88,6.91,3.06,1725600
06/02/1990,6.89,6.89,6.83,6.88,3.05,1142400
07/02/1990,6.88,6.98,6.78,6.91,3.06,1573600
08/02/1990,6.91,7.08,6.91,7.02,3.11,3035200
09/02/1990,7.02,7.02,6.92,6.97,3.09,940800
12/02/1990,6.94,6.94,6.88,6.92,3.07,1288000
13/02/1990,6.92,6.92,6.83,6.92,3.07,1884800
14/02/1990,6.92,6.97,6.89,6.94,3.08,1682400
15/02/1990,6.94,7.03,6.92,6.98,3.1,1418400
16/02/1990,6.98,7.08,6.98,7.03,3.12,2558400
20/02/1990,7.0,7.0,6.95,7.0,3.1,1002400
21/02/1990,7.0,7.11,6.88,7.09,3.14,1913600
22/02/1990,7.11,7.28,7.11,7.19,3.19,3349600
23/02/1990,7.19,7.25,7.14,7.22,3.2,1857600
26/02/1990,7.27,7.42,7.27,7.39,3.28,4646400
27/02/1990,7.39,7.56,7.36,7.52,3.33,6055200
28/02/1990,7.52,7.58,7.5,7.58,3.36,3759200
01/03/1990,7.56,7.56,7.48,7.55,3.35,2911200
02/03/1990,7.55,7.77,7.55,7.77,3.44,7916800
05/03/1990,7.77,7.8,7.72,7.8,3.46,2763200
06/03/1990,7.8,7.84,7.72,7.84,3.48,3267200
07/03/1990,7.84,7.86,7.78,7.8,3.46,2452000
08/03/1990,7.8,7.81,7.66,7.8,3.46,3474400
09/03/1990,7.77,7.77,7.64,7.75,3.44,3742400
12/03/1990,7.69,7.69,7.62,7.66,3.39,2052800
13/03/1990,7.59,7.59,7.41,7.53,3.34,8483200
14/03/1990,7.53,7.53,7.45,7.53,3.34,4519200
15/03/1990,7.53,7.59,7.52,7.58,3.36,3153600
16/03/1990,7.58,7.61,7.56,7.59,3.37,2744800
19/03/1990,7.59,7.69,7.52,7.69,3.41,1945600
20/03/1990,7.69,7.75,7.62,7.64,3.39,2611200
21/03/1990,7.64,7.67,7.59,7.61,3.37,1560000
22/03/1990,7.61,7.61,7.55,7.58,3.36,2002400
23/03/1990,7.61,7.7,7.61,7.7,3.41,2882400
26/03/1990,7.7,7.75,7.67,7.73,3.43,2924000
27/03/1990,7.73,7.73,7.64,7.7,3.41,1342400
28/03/1990,7.7,7.72,7.66,7.66,3.39,1027200
29/03/1990,7.66,7.66,7.59,7.66,3.39,778400
30/03/1990,7.66,7.66,7.59,7.64,3.39,1112000
02/04/1990,7.58,7.58,7.48,7.52,3.33,2544000
03/04/1990,7.53,7.62,7.53,7.61,3.37,2569600
04/04/1990,7.61,7.64,7.58,7.58,3.36,1610400
05/04/1990,7.58,7.66,7.56,7.64,3.39,1200000
06/04/1990,7.59,7.59,7.5,7.55,3.35,1929600
09/04/1990,7.55,7.55,7.5,7.53,3.34,819200
10/04/1990,7.53,7.55,7.5,7.53,3.34,1262400
11/04/1990,7.53,7.55,7.5,7.53,3.34,903200
12/04/1990,7.53,7.55,7.48,7.52,3.33,2324000
16/04/1990,7.52,7.58,7.52,7.53,3.34,2777600
17/04/1990,7.52,7.52,7.42,7.52,3.35,959200
18/04/1990,7.52,7.52,7.42,7.42,3.31,1271200
19/04/1990,7.42,7.52,7.41,7.48,3.33,2141600
20/04/1990,7.48,7.66,7.47,7.56,3.37,8148000
23/04/1990,7.56,7.66,7.55,7.58,3.38,5410400
24/04/1990,7.62,7.73,7.62,7.66,3.41,4377600
25/04/1990,7.67,7.81,7.67,7.78,3.47,5344800
26/04/1990,7.78,7.86,7.75,7.81,3.48,4086400
27/04/1990,7.8,7.8,7.7,7.72,3.44,2827200
30/04/1990,7.72,7.73,7.64,7.67,3.42,1590400
01/05/1990,7.67,7.72,7.64,7.66,3.41,1205600
02/05/1990,7.66,7.83,7.62,7.83,3.49,4767200
03/05/1990,7.83,7.92,7.83,7.84,3.49,2600000
04/05/1990,7.84,7.89,7.78,7.86,3.5,3759200
07/05/1990,7.86,8.08,7.86,8.05,3.58,3384000
08/05/1990,8.05,8.08,8.0,8.08,3.6,2956800
09/05/1990,8.08,8.16,8.05,8.12,3.62,5216000
10/05/1990,8.12,8.12,7.97,7.97,3.55,3237600
11/05/1990,8.06,8.33,8.06,8.28,3.69,5644800
14/05/1990,8.3,8.52,8.3,8.41,3.74,8752000
15/05/1990,8.38,8.38,8.28,8.33,3.71,4753600
16/05/1990,8.33,8.34,8.19,8.2,3.65,4322400
17/05/1990,8.2,8.3,8.2,8.25,3.68,6077600
18/05/1990,8.25,8.27,8.2,8.25,3.68,3316800
21/05/1990,8.25,8.41,8.22,8.38,3.73,6319200
22/05/1990,8.38,8.55,8.38,8.42,3.75,8536000
23/05/1990,8.42,8.48,8.38,8.47,3.77,4380000
24/05/1990,8.47,8.48,8.39,8.47,3.77,3849600
25/05/1990,8.47,8.47,8.42,8.45,3.77,1559200
29/05/1990,8.45,8.45,8.42,8.45,3.77,2933600
30/05/1990,8.45,8.5,8.39,8.44,3.76,3254400
31/05/1990,8.44,8.44,8.36,8.38,3.73,1753600
01/06/1990,8.38,8.41,8.33,8.36,3.72,1752000
04/06/1990,8.36,8.39,8.27,8.39,3.74,4615200
05/06/1990,8.42,8.56,8.42,8.47,3.77,5160000
06/06/1990,8.45,8.45,8.42,8.45,3.77,2325600
07/06/1990,8.45,8.47,8.38,8.39,3.74,1782400
08/06/1990,8.39,8.41,8.22,8.31,3.7,1494400
11/06/1990,8.3,8.3,8.23,8.23,3.67,2165600
12/06/1990,8.23,8.27,8.17,8.25,3.68,3391200
13/06/1990,8.25,8.31,8.2,8.22,3.66,2272800
14/06/1990,8.22,8.25,8.16,8.25,3.68,2128800
15/06/1990,8.25,8.25,8.19,8.2,3.65,3251200
18/06/1990,8.2,8.2,8.08,8.08,3.6,3456800
19/06/1990,8.08,8.11,8.02,8.05,3.58,3138400
20/06/1990,8.05,8.16,8.05,8.14,3.63,3072800
21/06/1990,8.06,8.06,7.97,8.03,3.58,5426400
22/06/1990,8.03,8.05,7.94,7.94,3.54,2927200
25/06/1990,7.67,7.67,7.3,7.31,3.26,15147200
26/06/1990,6.58,6.58,6.44,6.56,2.92,39300800
27/06/1990,6.56,6.56,6.48,6.53,2.91,11750400
28/06/1990,6.53,6.56,6.48,6.55,2.92,7788800
29/06/1990,6.55,6.59,6.52,6.58,2.93,5550400
02/07/1990,6.58,6.66,6.53,6.62,2.95,7339200
03/07/1990,6.64,6.75,6.64,6.75,3.01,4628800
05/07/1990,6.72,6.72,6.62,6.69,2.98,2619200
06/07/1990,6.67,6.67,6.58,6.61,2.94,3207200
09/07/1990,6.62,6.7,6.62,6.69,2.98,2110400
10/07/1990,6.69,6.8,6.66,6.66,2.97,5738400
11/07/1990,6.66,6.78,6.66,6.78,3.02,3385600
12/07/1990,6.78,6.8,6.72,6.8,3.03,2547200
13/07/1990,6.8,6.81,6.58,6.59,2.94,4672000
16/07/1990,6.59,6.69,6.56,6.67,2.99,4260000
17/07/1990,6.67,6.72,6.55,6.59,2.95,4864800
18/07/1990,6.59,6.62,6.55,6.58,2.95,2308800
19/07/1990,6.56,6.56,6.52,6.56,2.94,2534400
20/07/1990,6.56,6.64,6.56,6.56,2.94,3292000
23/07/1990,6.56,6.56,6.39,6.48,2.91,2940800
24/07/1990,6.48,6.5,6.36,6.38,2.86,3568800
25/07/1990,6.38,6.41,6.02,6.23,2.79,8115200
26/07/1990,6.23,6.23,6.09,6.12,2.74,5448000
27/07/1990,6.12,6.12,5.95,6.0,2.69,4069600
30/07/1990,6.0,6.14,6.0,6.11,2.74,2328800
31/07/1990,6.11,6.14,6.06,6.11,2.74,2137600
01/08/1990,6.11,6.16,6.11,6.16,2.76,1399200
02/08/1990,6.0,6.0,5.94,5.95,2.67,3386400
03/08/1990,5.95,5.97,5.78,5.89,2.64,3607200
06/08/1990,5.75,5.75,5.66,5.66,2.53,2733600
07/08/1990,5.66,5.73,5.62,5.66,2.53,4390400
08/08/1990,5.69,5.94,5.69,5.83,2.61,3464800
09/08/1990,5.83,5.92,5.83,5.92,2.65,1673600
10/08/1990,5.92,5.95,5.84,5.88,2.63,1237600
13/08/1990,5.86,5.86,5.81,5.83,2.61,2027200
14/08/1990,5.83,5.92,5.8,5.92,2.65,1052800
15/08/1990,5.92,5.97,5.81,5.84,2.62,2952800
16/08/1990,5.83,5.83,5.73,5.75,2.58,1291200
17/08/1990,5.66,5.66,5.5,5.58,2.5,2644800
20/08/1990,5.58,5.67,5.53,5.66,2.53,1668800
21/08/1990,5.58,5.58,5.47,5.48,2.46,2037600
22/08/1990,5.48,5.53,5.38,5.38,2.41,1578400
23/08/1990,5.38,5.39,5.08,5.3,2.37,5992000
24/08/1990,5.33,5.48,5.33,5.48,2.46,1904000
27/08/1990,5.59,5.72,5.59,5.59,2.51,2592800
28/08/1990,5.59,5.62,5.45,5.48,2.46,1252000
29/08/1990,5.48,5.55,5.47,5.47,2.45,1880800
30/08/1990,5.47,5.47,5.34,5.34,2.39,1199200
31/08/1990,5.34,5.38,5.28,5.38,2.41,620000
04/09/1990,5.38,5.48,5.38,5.44,2.44,1190400
05/09/1990,5.44,5.55,5.38,5.53,2.48,1434400
06/09/1990,5.53,5.53,5.34,5.44,2.44,1294400
07/09/1990,5.44,5.5,5.42,5.48,2.46,847200
10/09/1990,5.48,5.59,5.42,5.44,2.44,3515200
11/09/1990,5.44,5.44,5.31,5.34,2.39,3550400
12/09/1990,5.34,5.38,5.27,5.34,2.39,1540000
13/09/1990,5.34,5.36,5.31,5.34,2.39,900800
14/09/1990,5.31,5.31,5.17,5.2,2.33,2049600
17/09/1990,5.2,5.31,5.16,5.31,2.38,1546400
18/09/1990,5.31,5.33,5.23,5.33,2.39,871200
19/09/1990,5.33,5.33,5.23,5.27,2.36,1204000
20/09/1990,5.27,5.27,5.22,5.25,2.35,1072000
21/09/1990,5.25,5.3,5.22,5.23,2.35,2247200
24/09/1990,5.22,5.22,5.14,5.19,2.32,2474400
25/09/1990,5.19,5.28,5.19,5.27,2.36,1309600
26/09/1990,5.25,5.25,5.16,5.2,2.33,1736000
27/09/1990,5.2,5.27,5.14,5.2,2.33,1731200
28/09/1990,5.2,5.31,5.11,5.28,2.37,2783200
01/10/1990,5.28,5.42,5.27,5.34,2.39,1793600
02/10/1990,5.38,5.53,5.38,5.42,2.43,2320000
03/10/1990,5.42,5.5,5.41,5.5,2.46,2629600
04/10/1990,5.5,5.5,5.39,5.39,2.42,4704000
05/10/1990,5.31,5.31,5.23,5.28,2.37,2625600
08/10/1990,5.28,5.34,5.23,5.25,2.35,969600
09/10/1990,5.23,5.23,4.97,4.97,2.23,4763200
10/10/1990,4.92,4.92,4.84,4.88,2.18,4448800
11/10/1990,4.88,4.97,4.78,4.89,2.19,2772000
12/10/1990,4.89,5.0,4.88,4.95,2.22,1552000
15/10/1990,4.95,5.09,4.94,4.98,2.23,1926400
16/10/1990,4.89,4.89,4.77,4.84,2.19,2320800
17/10/1990,4.84,4.86,4.78,4.81,2.17,3465600
18/10/1990,4.95,5.09,4.95,5.05,2.28,2463200
19/10/1990,5.09,5.3,5.09,5.28,2.38,2676800
22/10/1990,5.28,5.33,5.22,5.33,2.41,1761600
23/10/1990,5.33,5.48,5.31,5.41,2.44,2084000
24/10/1990,5.41,5.41,5.31,5.33,2.41,1229600
25/10/1990,5.31,5.31,5.22,5.25,2.37,978400
26/10/1990,5.2,5.2,5.03,5.05,2.28,847200
29/10/1990,5.05,5.09,5.0,5.0,2.26,1860800
30/10/1990,5.0,5.05,4.94,5.03,2.27,913600
31/10/1990,5.03,5.12,5.03,5.09,2.3,1234400
01/11/1990,5.05,5.05,4.95,5.02,2.26,2487200
02/11/1990,5.02,5.19,4.98,5.17,2.33,2397600
05/11/1990,5.17,5.17,5.03,5.06,2.29,2248000
06/11/1990,5.06,5.16,5.03,5.06,2.29,1444000
07/11/1990,5.06,5.11,4.97,4.98,2.25,3255200
08/11/1990,4.98,5.06,4.91,4.97,2.24,1528000
09/11/1990,4.97,5.16,4.95,5.14,2.32,2678400
12/11/1990,5.16,5.42,5.16,5.41,2.44,2640000
13/11/1990,5.41,5.44,5.33,5.39,2.43,2504800
14/11/1990,5.39,5.47,5.36,5.45,2.46,1023200
15/11/1990,5.44,5.44,5.34,5.39,2.43,1067200
16/11/1990,5.39,5.44,5.33,5.38,2.43,739200
19/11/1990,5.39,5.48,5.39,5.45,2.46,2272000
20/11/1990,5.45,5.5,5.28,5.38,2.43,3161600
21/11/1990,5.38,5.39,5.25,5.3,2.39,2436000
23/11/1990,5.12,5.12,4.91,4.92,2.22,4577600
26/11/1990,4.92,5.02,4.92,5.02,2.26,4036000
27/11/1990,5.03,5.11,5.03,5.08,2.29,3588000
28/11/1990,5.08,5.12,5.05,5.05,2.28,2092000
29/11/1990,5.05,5.05,4.97,5.0,2.26,1948800
30/11/1990,5.0,5.17,5.0,5.14,2.32,2613600
03/12/1990,5.22,5.34,5.22,5.31,2.4,3143200
04/12/1990,5.31,5.38,5.19,5.36,2.42,1881600
05/12/1990,5.36,5.5,5.28,5.5,2.48,1208800
06/12/1990,5.53,5.73,5.53,5.58,2.52,2690400
07/12/1990,5.58,5.7,5.58,5.64,2.55,2260800
10/12/1990,5.66,5.78,5.66,5.73,2.59,1817600
11/12/1990,5.7,5.7,5.61,5.64,2.55,768000
12/12/1990,5.64,5.81,5.62,5.78,2.61,1384000
13/12/1990,5.77,5.77,5.67,5.72,2.58,1659200
14/12/1990,5.72,5.72,5.58,5.64,2.55,1204800
17/12/1990,5.64,5.64,5.55,5.58,2.52,955200
18/12/1990,5.58,5.81,5.53,5.73,2.59,2716800
19/12/1990,5.75,5.92,5.75,5.86,2.64,2508000
20/12/1990,5.86,6.03,5.72,6.02,2.72,2395200
21/12/1990,6.02,6.03,5.88,5.89,2.66,2540000
24/12/1990,5.86,5.86,5.81,5.83,2.63,821600
26/12/1990,5.83,5.84,5.8,5.81,2.62,1209600
27/12/1990,5.81,5.88,5.81,5.81,2.62,1064800
28/12/1990,5.81,5.88,5.81,5.83,2.63,1098400
31/12/1990,5.83,5.88,5.72,5.88,2.65,1917600
02/01/1991,5.88,5.89,5.83,5.83,2.63,1411200
03/01/1991,5.83,5.83,5.73,5.73,2.59,1003200
04/01/1991,5.72,5.72,5.61,5.64,2.55,990400
07/01/1991,5.59,5.59,5.52,5.56,2.51,1822400
08/01/1991,5.56,5.69,5.55,5.67,2.56,1609600
09/01/1991,5.67,5.78,5.52,5.59,2.53,2950400
10/01/1991,5.59,5.69,5.58,5.69,2.57,1009600
11/01/1991,5.69,5.78,5.67,5.75,2.6,1012800
14/01/1991,5.75,5.78,5.69,5.73,2.59,1252800
15/01/1991,5.73,5.75,5.66,5.73,2.61,1581600
16/01/1991,5.61,5.61,5.41,5.45,2.48,6082400
17/01/1991,5.56,5.7,5.56,5.7,2.59,3179200
18/01/1991,5.7,5.72,5.5,5.56,2.53,3467200
21/01/1991,5.56,5.56,5.52,5.56,2.53,591200
22/01/1991,5.42,5.42,5.34,5.36,2.44,2828800
23/01/1991,5.36,5.5,5.33,5.48,2.49,2043200
24/01/1991,5.59,5.86,5.59,5.78,2.63,3887200
25/01/1991,5.81,5.98,5.81,5.84,2.66,2651200
28/01/1991,5.84,6.0,5.83,6.0,2.73,3550400
29/01/1991,6.0,6.12,5.98,6.12,2.78,2611200
30/01/1991,6.12,6.31,6.12,6.22,2.83,3854400
31/01/1991,6.22,6.27,6.2,6.22,2.83,3290400
01/02/1991,6.22,6.31,6.11,6.17,2.8,2251200
04/02/1991,6.17,6.28,6.14,6.27,2.85,1664000
05/02/1991,6.31,6.38,6.31,6.36,2.89,3164000
06/02/1991,6.36,6.36,6.22,6.23,2.83,2236000
07/02/1991,6.23,6.25,6.03,6.06,2.75,3143200
08/02/1991,6.06,6.08,5.92,5.98,2.72,2381600
11/02/1991,5.98,6.12,5.97,6.11,2.78,5071200
12/02/1991,6.11,6.25,6.02,6.23,2.83,6367200
13/02/1991,6.23,6.33,6.22,6.3,2.86,1629600
14/02/1991,6.3,6.39,6.3,6.34,2.88,3534400
15/02/1991,6.34,6.41,6.28,6.39,2.9,2853600
19/02/1991,6.42,6.52,6.42,6.47,2.94,2751200
20/02/1991,6.38,6.38,6.25,6.33,2.88,4236800
21/02/1991,6.33,6.41,6.09,6.22,2.83,4526400
22/02/1991,6.22,6.23,6.11,6.2,2.82,4204800
25/02/1991,6.25,6.36,6.25,6.33,2.88,3442400
26/02/1991,6.33,6.33,6.27,6.28,2.85,1956800
