Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,11.16,11.34,11.12,11.31,5.31,2098800
03/01/1990,11.31,11.56,11.31,11.53,5.41,1695600
04/01/1990,11.59,11.69,11.5,11.56,5.43,1215200
05/01/1990,11.53,11.53,11.38,11.47,5.38,603600
08/01/1990,11.44,11.47,11.16,11.22,5.27,877200
09/01/1990,11.22,11.28,10.84,11.03,5.18,846000
10/01/1990,11.0,11.0,10.81,10.94,5.13,1776000
11/01/1990,11.0,11.19,11.0,11.16,5.24,1141200
12/01/1990,11.09,11.12,10.97,11.0,5.16,1321200
15/01/1990,10.97,11.03,10.91,10.94,5.13,1242400
16/01/1990,10.78,11.06,10.75,11.06,5.24,864400
17/01/1990,11.03,11.12,10.94,11.03,5.22,760800
18/01/1990,10.94,11.09,10.94,11.06,5.24,883600
19/01/1990,11.09,11.19,11.09,11.12,5.26,1505200
22/01/1990,11.06,11.12,10.97,11.0,5.21,442000
23/01/1990,11.03,11.03,10.91,10.94,5.18,2143600
24/01/1990,10.94,11.06,10.62,11.03,5.22,802400
25/01/1990,11.09,11.12,10.97,10.97,5.19,1308000
26/01/1990,10.94,11.03,10.91,11.0,5.21,700400
29/01/1990,11.0,11.12,10.97,11.03,5.22,413200
30/01/1990,11.09,11.12,10.97,11.06,5.24,1208400
31/01/1990,11.03,11.31,10.97,11.31,5.35,1458800
01/02/1990,11.25,11.25,11.0,11.03,5.22,695200
02/02/1990,10.94,11.0,10.94,10.97,5.19,1576400
05/02/1990,11.0,11.03,10.97,11.0,5.21,360800
06/02/1990,10.97,11.03,10.94,11.03,5.22,1595600
07/02/1990,10.97,11.06,10.94,11.03,5.22,1210400
08/02/1990,11.0,11.06,10.97,11.0,5.21,1701600
09/02/1990,11.0,11.03,10.97,11.0,5.21,1057600
12/02/1990,11.0,11.0,10.91,10.91,5.16,658400
13/02/1990,10.88,10.91,10.62,10.66,5.04,906800
14/02/1990,10.66,10.66,10.44,10.47,4.95,1239600
15/02/1990,10.53,10.94,10.38,10.94,5.18,2294000
16/02/1990,10.94,11.19,10.94,11.09,5.25,464400
20/02/1990,10.88,11.03,10.88,10.97,5.19,568400
