Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,9.21,9.52,9.21,9.5,6.95,6983477
03/01/1990,9.5,9.58,9.46,9.52,6.96,8077040
04/01/1990,9.52,9.61,9.41,9.51,6.95,7721845
05/01/1990,9.51,9.6,9.5,9.54,6.98,3961885
08/01/1990,9.54,9.68,9.53,9.61,7.04,6647745
09/01/1990,9.61,9.66,9.57,9.6,7.03,5073695
10/01/1990,9.55,9.55,9.18,9.29,6.8,11014698
11/01/1990,9.29,9.47,9.29,9.29,6.8,5484845
12/01/1990,9.21,9.21,8.98,9.02,6.61,10278763
15/01/1990,9.02,9.1,8.89,9.03,6.61,5805981
16/01/1990,9.03,9.2,8.88,9.2,6.73,9138976
17/01/1990,9.2,9.36,9.04,9.05,6.63,8746072
18/01/1990,9.05,9.08,8.95,9.02,6.61,6049265
19/01/1990,9.02,9.14,8.98,9.0,6.59,7442068
22/01/1990,9.0,9.04,8.69,8.71,6.38,7426254
23/01/1990,8.71,8.84,8.4,8.62,6.31,13060720
24/01/1990,8.62,8.73,8.43,8.67,6.35,9136543
25/01/1990,8.67,8.82,8.59,8.59,6.29,6919007
26/01/1990,8.59,8.68,8.43,8.57,6.28,6186721
29/01/1990,8.59,8.76,8.59,8.7,6.37,5668525
30/01/1990,8.7,8.7,8.48,8.63,6.32,5943436
31/01/1990,8.63,8.7,8.34,8.56,6.27,9348201
01/02/1990,8.56,8.62,8.34,8.36,6.13,7417739
02/02/1990,8.36,8.64,8.36,8.61,6.31,9479574
05/02/1990,8.67,8.87,8.67,8.87,6.49,6046832
06/02/1990,8.87,9.0,8.73,8.85,6.48,6420274
07/02/1990,8.85,8.98,8.74,8.96,6.56,6093056
08/02/1990,8.96,9.07,8.93,8.96,6.56,5673391
09/02/1990,8.96,9.06,8.92,8.92,6.53,3901064
12/02/1990,8.92,8.92,8.78,8.81,6.45,2535023
13/02/1990,8.81,8.88,8.73,8.85,6.48,4880284
14/02/1990,8.85,8.98,8.82,8.97,6.57,3559250
15/02/1990,8.97,9.08,8.94,9.06,6.64,4054334
16/02/1990,9.06,9.1,9.0,9.02,6.61,3718601
20/02/1990,8.94,8.94,8.79,8.86,6.49,5071262
21/02/1990,8.84,8.84,8.74,8.79,6.43,5168576
22/02/1990,8.79,8.91,8.74,8.74,6.4,4213685
23/02/1990,8.74,8.76,8.61,8.61,6.31,5027471
26/02/1990,8.61,8.83,8.59,8.83,6.46,4753776
27/02/1990,8.83,8.94,8.82,8.93,6.54,5532286
28/02/1990,8.93,9.04,8.92,9.0,6.59,5787734
01/03/1990,9.0,9.03,8.89,8.89,6.51,4042169
02/03/1990,8.89,9.02,8.88,8.97,6.57,4439939
05/03/1990,8.97,9.1,8.97,9.09,6.66,4769589
06/03/1990,9.1,9.24,9.1,9.22,6.75,6355803
07/03/1990,9.22,9.3,9.11,9.2,6.73,4864470
08/03/1990,9.2,9.25,9.17,9.25,6.77,2792904
09/03/1990,9.25,9.25,9.08,9.11,6.67,2947390
12/03/1990,9.11,9.23,9.06,9.21,6.74,2791688
13/03/1990,9.21,9.37,9.19,9.32,6.82,4708768
14/03/1990,9.35,9.51,9.35,9.48,6.95,5795033
15/03/1990,9.48,9.57,9.41,9.45,6.92,3783071
16/03/1990,9.48,9.58,9.48,9.54,6.98,6369184
19/03/1990,9.51,9.51,9.43,9.51,6.96,5048150
20/03/1990,9.51,9.62,9.47,9.53,6.98,6838723
21/03/1990,9.53,9.57,9.43,9.44,6.92,4444805
22/03/1990,9.41,9.41,9.09,9.2,6.73,9143842
23/03/1990,9.25,9.41,9.25,9.39,6.88,5074911
26/03/1990,9.39,9.47,9.27,9.28,6.79,3648049
27/03/1990,9.28,9.39,9.26,9.37,6.86,3897415
28/03/1990,9.34,9.34,9.21,9.32,6.82,9593918
29/03/1990,9.29,9.29,9.18,9.21,6.74,2425545
30/03/1990,9.21,9.23,9.07,9.14,6.69,3897415
02/04/1990,9.14,9.15,8.98,9.14,6.69,5162494
03/04/1990,9.17,9.37,9.17,9.35,6.85,7465180
04/04/1990,9.35,9.42,9.17,9.21,6.74,6925089
05/04/1990,9.26,9.4,9.26,9.39,6.88,6093056
06/04/1990,9.39,9.39,9.29,9.36,6.86,4207603
09/04/1990,9.36,9.44,9.33,9.35,6.86,10093867
10/04/1990,9.35,9.37,9.3,9.37,6.87,2777091
11/04/1990,9.37,9.53,9.37,9.45,6.93,4930157
