Date,Open,High,Low,Close,Adj Close,Volume
22/01/1992,0.54,0.68,0.54,0.63,0.47,168022400
23/01/1992,0.66,0.71,0.63,0.69,0.51,38368000
24/01/1992,0.7,0.73,0.67,0.7,0.51,12044800
27/01/1992,0.73,0.75,0.7,0.75,0.55,10716800
28/01/1992,0.74,0.76,0.71,0.73,0.54,19913600
29/01/1992,0.71,0.73,0.68,0.68,0.5,13238400
30/01/1992,0.69,0.7,0.61,0.61,0.45,10848000
31/01/1992,0.62,0.65,0.61,0.65,0.48,2496000
03/02/1992,0.66,0.66,0.63,0.64,0.47,2320000
04/02/1992,0.65,0.68,0.65,0.68,0.5,2499200
05/02/1992,0.68,0.68,0.66,0.66,0.49,1148800
06/02/1992,0.68,0.69,0.66,0.69,0.51,5504000
07/02/1992,0.67,0.69,0.65,0.65,0.48,4560000
10/02/1992,0.65,0.67,0.61,0.62,0.45,14140800
11/02/1992,0.62,0.62,0.56,0.56,0.41,9868800
12/02/1992,0.57,0.57,0.55,0.57,0.42,3942400
13/02/1992,0.57,0.57,0.54,0.55,0.41,3241600
14/02/1992,0.56,0.56,0.53,0.54,0.39,13753600
18/02/1992,0.55,0.55,0.48,0.49,0.36,3046400
19/02/1992,0.48,0.52,0.48,0.51,0.37,4284800
20/02/1992,0.56,0.6,0.55,0.57,0.42,4784000
21/02/1992,0.57,0.59,0.55,0.59,0.44,1865600
24/02/1992,0.59,0.64,0.59,0.6,0.44,3129600
25/02/1992,0.62,0.62,0.55,0.55,0.4,3129600
26/02/1992,0.54,0.56,0.54,0.55,0.4,1657600
27/02/1992,0.56,0.56,0.54,0.55,0.41,204800
28/02/1992,0.55,0.56,0.54,0.55,0.41,227200
02/03/1992,0.56,0.56,0.5,0.51,0.37,5177600
03/03/1992,0.52,0.54,0.5,0.54,0.4,531200
04/03/1992,0.54,0.56,0.52,0.55,0.4,464000
05/03/1992,0.54,0.56,0.53,0.53,0.39,454400
06/03/1992,0.52,0.55,0.5,0.52,0.38,1744000
09/03/1992,0.52,0.55,0.5,0.55,0.4,1078400
10/03/1992,0.53,0.61,0.53,0.59,0.43,1542400
11/03/1992,0.6,0.6,0.55,0.55,0.41,1020800
12/03/1992,0.54,0.54,0.52,0.54,0.4,5561600
13/03/1992,0.52,0.54,0.52,0.53,0.39,1744000
16/03/1992,0.55,0.55,0.52,0.52,0.39,835200
17/03/1992,0.52,0.55,0.52,0.52,0.39,396800
18/03/1992,0.55,0.55,0.52,0.53,0.39,630400
19/03/1992,0.57,0.6,0.54,0.6,0.44,3443200
20/03/1992,0.6,0.6,0.53,0.53,0.39,2876800
23/03/1992,0.55,0.55,0.52,0.54,0.4,608000
24/03/1992,0.56,0.58,0.52,0.53,0.39,2704000
25/03/1992,0.54,0.54,0.51,0.53,0.39,960000
26/03/1992,0.53,0.53,0.51,0.53,0.39,150400
27/03/1992,0.51,0.52,0.45,0.48,0.35,3897600
30/03/1992,0.47,0.51,0.47,0.51,0.37,3225600
31/03/1992,0.51,0.55,0.49,0.52,0.38,9430400
01/04/1992,0.5,0.52,0.48,0.49,0.36,3820800
02/04/1992,0.48,0.51,0.47,0.47,0.34,3200000
03/04/1992,0.45,0.48,0.45,0.48,0.35,6723200
06/04/1992,0.48,0.48,0.46,0.48,0.36,3872000
07/04/1992,0.47,0.48,0.41,0.41,0.3,2460800
08/04/1992,0.41,0.41,0.35,0.41,0.3,4124800
09/04/1992,0.43,0.44,0.4,0.43,0.32,1187200
10/04/1992,0.44,0.44,0.41,0.42,0.31,3033600
13/04/1992,0.42,0.42,0.39,0.39,0.29,483200
14/04/1992,0.42,0.42,0.39,0.39,0.29,534400
15/04/1992,0.42,0.42,0.39,0.39,0.29,1961600
16/04/1992,0.42,0.42,0.34,0.37,0.27,2217600
20/04/1992,0.37,0.37,0.33,0.34,0.25,3571200
21/04/1992,0.33,0.35,0.32,0.35,0.26,19568000
22/04/1992,0.34,0.38,0.34,0.34,0.25,3036800
23/04/1992,0.38,0.38,0.34,0.37,0.27,2550400
24/04/1992,0.34,0.37,0.34,0.37,0.27,790400
27/04/1992,0.37,0.38,0.34,0.35,0.26,4931200
28/04/1992,0.38,0.38,0.35,0.37,0.27,2198400
29/04/1992,0.38,0.38,0.36,0.36,0.26,1875200
30/04/1992,0.36,0.41,0.36,0.41,0.3,1107200
01/05/1992,0.41,0.42,0.39,0.39,0.29,1324800
04/05/1992,0.42,0.42,0.39,0.42,0.31,64000
05/05/1992,0.42,0.45,0.41,0.44,0.32,2246400
06/05/1992,0.45,0.48,0.45,0.45,0.33,4201600
07/05/1992,0.47,0.47,0.43,0.45,0.33,643200
08/05/1992,0.45,0.45,0.4,0.42,0.31,2067200
11/05/1992,0.43,0.43,0.43,0.43,0.32,44800
12/05/1992,0.41,0.41,0.38,0.4,0.29,896000
13/05/1992,0.41,0.41,0.38,0.38,0.28,256000
14/05/1992,0.38,0.38,0.34,0.34,0.25,1110400
15/05/1992,0.33,0.36,0.33,0.36,0.26,931200
