Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,22.65,23.45,22.59,23.42,10.04,7365514
03/01/1990,23.6,23.78,23.51,23.63,10.13,9899344
04/01/1990,23.66,23.99,23.63,23.9,10.25,10119841
05/01/1990,23.87,24.29,23.78,23.84,10.22,7918220
08/01/1990,23.72,24.11,23.72,23.99,10.29,4837959
09/01/1990,24.02,24.2,23.75,23.75,10.18,7372208
10/01/1990,23.78,23.9,23.57,23.66,10.15,6219098
11/01/1990,23.78,23.99,23.75,23.87,10.24,6177258
12/01/1990,23.57,23.72,23.33,23.39,10.03,5638777
15/01/1990,23.33,23.51,23.24,23.45,10.06,4221238
16/01/1990,23.3,23.99,23.3,23.93,10.26,8598538
17/01/1990,23.99,24.11,23.51,23.63,10.13,9336596
18/01/1990,23.42,23.81,23.33,23.78,10.2,7245014
19/01/1990,23.84,23.87,23.54,23.57,10.11,6898161
22/01/1990,23.6,23.69,23.06,23.09,9.9,7199409
23/01/1990,23.18,23.48,23.09,23.12,9.92,6195249
24/01/1990,22.88,23.39,22.83,23.3,9.99,10272138
25/01/1990,23.39,23.39,22.71,22.91,9.83,7104850
26/01/1990,22.97,23.24,22.74,23.15,9.93,7683498
29/01/1990,23.27,23.36,22.83,23.24,9.97,5390666
30/01/1990,23.27,23.33,22.88,23.24,9.97,9044553
31/01/1990,23.42,23.57,23.33,23.57,10.11,8840792
01/02/1990,23.57,23.84,23.36,23.36,10.02,7221166
02/02/1990,23.39,23.6,23.39,23.51,10.08,6343362
05/02/1990,23.33,23.87,23.3,23.81,10.34,5542963
06/02/1990,23.81,24.23,23.57,24.14,10.48,11305168
07/02/1990,24.08,24.8,24.05,24.65,10.7,12612250
08/02/1990,24.77,24.83,24.35,24.56,10.66,8296872
09/02/1990,24.59,24.68,24.38,24.5,10.64,5294434
12/02/1990,24.47,24.47,24.05,24.17,10.49,4985654
13/02/1990,24.35,24.68,24.2,24.68,10.71,7498146
14/02/1990,24.71,24.92,24.68,24.8,10.77,6283113
15/02/1990,24.89,25.01,24.8,24.8,10.77,5966384
16/02/1990,24.98,24.98,24.71,24.74,10.74,9210658
20/02/1990,24.53,24.65,24.44,24.59,10.67,5857182
21/02/1990,24.44,25.13,24.38,25.07,10.88,8468834
22/02/1990,25.1,25.22,24.68,24.68,10.71,9608138
23/02/1990,24.56,24.83,24.38,24.53,10.65,6539174
26/02/1990,24.62,24.89,24.5,24.86,10.79,5738356
27/02/1990,24.89,25.22,24.77,24.8,10.77,7207777
28/02/1990,24.77,25.01,24.65,24.83,10.78,6026215
01/03/1990,24.8,24.95,24.71,24.86,10.79,4697377
02/03/1990,24.86,25.19,24.86,25.07,10.88,5951740
05/03/1990,25.07,25.3,25.01,25.1,10.89,5762623
06/03/1990,25.16,25.27,24.92,25.27,10.97,5335437
07/03/1990,25.33,25.39,25.16,25.22,10.95,6441686
08/03/1990,25.33,25.66,25.33,25.57,11.1,7267190
09/03/1990,25.57,25.66,25.39,25.45,11.05,7325347
12/03/1990,25.45,25.75,25.39,25.75,11.18,6329555
13/03/1990,25.69,25.87,25.39,25.39,11.02,8682637
14/03/1990,25.54,25.57,25.24,25.39,11.02,5220377
15/03/1990,25.48,25.66,25.45,25.57,11.1,5573088
16/03/1990,25.75,25.99,25.66,25.96,11.27,10770034
19/03/1990,25.84,26.08,25.66,26.05,11.31,6724525
20/03/1990,26.02,26.14,25.78,25.81,11.21,7747094
21/03/1990,25.93,25.93,25.6,25.63,11.13,3545103
22/03/1990,25.57,25.69,25.22,25.45,11.05,5022055
23/03/1990,25.33,25.36,25.07,25.1,10.89,4809090
26/03/1990,25.22,25.27,24.89,24.89,10.8,3504100
27/03/1990,24.77,25.04,24.71,24.98,10.84,5536269
28/03/1990,24.92,25.3,24.8,25.3,10.99,6092322
29/03/1990,25.33,25.54,25.27,25.33,11.0,5917013
30/03/1990,25.42,25.51,25.24,25.36,11.01,5966384
02/04/1990,25.13,25.3,25.1,25.3,10.99,5432087
03/04/1990,25.33,25.51,25.33,25.48,11.06,4394874
04/04/1990,25.48,25.75,25.3,25.45,11.05,7180581
05/04/1990,25.51,25.54,25.3,25.36,11.01,3633386
06/04/1990,25.39,25.42,25.16,25.3,10.99,3147623
09/04/1990,25.24,25.3,25.16,25.22,10.95,3275235
10/04/1990,25.16,25.42,25.13,25.3,10.99,3911203
11/04/1990,25.36,25.45,25.3,25.42,11.04,2699517
12/04/1990,25.6,25.81,25.57,25.6,11.12,3855974
16/04/1990,26.29,26.59,26.29,26.5,11.5,17241009
17/04/1990,26.41,26.59,26.26,26.56,11.53,8009850
18/04/1990,26.5,26.5,26.17,26.26,11.4,6405704
19/04/1990,26.17,26.35,26.08,26.08,11.32,6391060
20/04/1990,26.14,26.17,25.87,26.14,11.35,6930796
23/04/1990,26.05,26.17,25.96,26.14,11.35,5649237
24/04/1990,26.2,26.38,26.02,26.02,11.3,5466814
25/04/1990,26.11,26.32,26.08,26.14,11.35,4909506
26/04/1990,26.26,26.29,25.93,25.99,11.28,5783543
27/04/1990,26.05,26.05,25.66,25.66,11.14,4107014
30/04/1990,25.57,26.11,25.57,26.05,11.31,6748374
01/05/1990,26.17,26.2,25.78,25.81,11.21,4879381
02/05/1990,25.81,26.08,25.81,26.08,11.32,5090254
03/05/1990,26.17,26.32,26.08,26.11,11.34,6981841
04/05/1990,25.96,26.44,25.87,26.41,11.59,6327463
07/05/1990,26.41,26.62,26.35,26.41,11.59,5460957
08/05/1990,26.41,26.53,26.38,26.47,11.62,5190252
09/05/1990,26.47,26.59,26.38,26.59,11.67,5083560
10/05/1990,26.62,26.98,26.59,26.86,11.79,7586847
11/05/1990,27.16,27.37,27.01,27.25,11.96,10657903
14/05/1990,27.28,27.61,27.25,27.31,11.99,9667550
15/05/1990,27.22,27.64,27.19,27.64,12.13,6217424
16/05/1990,27.55,27.66,27.4,27.58,12.11,7370116
17/05/1990,27.69,27.78,27.52,27.75,12.18,6370558
18/05/1990,27.69,27.78,27.55,27.58,12.11,7406517
21/05/1990,27.52,28.05,27.52,27.96,12.28,7261750
22/05/1990,28.08,28.14,27.87,28.14,12.35,8090182
23/05/1990,28.08,28.38,28.02,28.38,12.46,7125770
24/05/1990,28.38,28.41,28.17,28.38,12.46,6047135
25/05/1990,28.11,28.2,27.75,27.78,12.2,4806161
29/05/1990,27.96,28.65,27.9,28.62,12.56,8201058
30/05/1990,28.68,29.19,28.59,28.89,12.68,11953688
