Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,9.96,10.04,9.96,10.0,3.33,1180500
03/01/1990,10.12,10.33,10.0,10.33,3.44,1597200
04/01/1990,10.33,10.42,10.29,10.38,3.45,1010100
05/01/1990,10.42,10.42,10.25,10.42,3.47,936900
08/01/1990,10.38,10.46,10.29,10.42,3.47,569400
09/01/1990,10.33,10.38,10.04,10.08,3.36,655800
10/01/1990,10.04,10.08,10.0,10.04,3.34,1230600
11/01/1990,10.08,10.12,9.92,9.92,3.3,1338900
12/01/1990,9.83,10.08,9.67,9.83,3.27,2210100
15/01/1990,9.83,9.83,9.75,9.83,3.27,613800
16/01/1990,9.75,9.83,9.71,9.79,3.26,1009200
17/01/1990,9.79,9.88,9.62,9.75,3.25,844500
18/01/1990,9.75,9.83,9.62,9.67,3.22,702300
19/01/1990,9.62,9.67,9.5,9.62,3.2,881700
22/01/1990,9.58,9.62,9.29,9.33,3.11,846000
23/01/1990,9.38,9.42,9.0,9.08,3.02,1272600
24/01/1990,9.08,9.21,8.67,9.12,3.04,1248000
25/01/1990,9.04,9.12,8.96,9.04,3.01,1087800
26/01/1990,8.92,8.96,8.46,8.83,2.94,4777800
29/01/1990,8.75,8.79,8.54,8.62,2.87,1417800
30/01/1990,8.42,8.5,8.33,8.42,2.8,1292700
31/01/1990,8.42,8.62,8.33,8.58,2.86,1134300
01/02/1990,8.58,8.75,8.58,8.67,2.89,1519200
02/02/1990,8.62,8.83,8.58,8.71,2.9,1077900
05/02/1990,8.67,8.75,8.62,8.67,2.89,604800
06/02/1990,8.67,8.71,8.54,8.62,2.87,711600
07/02/1990,8.54,8.75,8.5,8.67,2.89,694500
08/02/1990,8.75,8.83,8.67,8.67,2.89,893400
09/02/1990,8.75,8.75,8.58,8.62,2.87,830700
12/02/1990,8.67,8.75,8.62,8.67,2.89,1071300
13/02/1990,8.67,8.71,8.58,8.58,2.86,687000
14/02/1990,8.58,8.79,8.5,8.79,2.93,1067400
15/02/1990,8.71,9.08,8.62,9.0,3.0,2999400
16/02/1990,9.04,9.21,8.92,9.04,3.01,4536600
20/02/1990,8.83,8.88,8.75,8.79,2.93,2715000
21/02/1990,8.58,8.75,8.54,8.75,2.91,4536900
22/02/1990,8.75,8.79,8.54,8.62,2.87,1777800
23/02/1990,8.54,8.62,8.5,8.5,2.83,1215900
26/02/1990,8.54,8.71,8.5,8.67,2.89,985200
27/02/1990,8.67,8.67,8.46,8.5,2.83,1374900
28/02/1990,8.42,8.67,8.33,8.54,2.84,1464300
01/03/1990,8.54,8.62,8.5,8.5,2.83,1395300
02/03/1990,8.58,8.67,8.5,8.67,2.89,910500
05/03/1990,8.67,8.96,8.67,8.79,2.93,1162800
06/03/1990,8.83,8.88,8.75,8.88,2.95,1168500
07/03/1990,8.88,8.96,8.88,8.92,2.97,2542800
08/03/1990,9.0,9.17,9.0,9.17,3.05,2952000
09/03/1990,8.92,9.0,8.71,8.75,2.99,2984400
12/03/1990,8.75,9.0,8.71,8.96,3.06,2977200
13/03/1990,8.92,9.0,8.88,8.96,3.06,2759700
14/03/1990,8.92,8.96,8.88,8.88,3.03,2339700
15/03/1990,8.88,8.88,8.71,8.71,2.97,3381300
16/03/1990,8.75,8.75,8.5,8.54,2.92,1104600
19/03/1990,8.46,8.67,8.38,8.62,2.94,860700
20/03/1990,8.54,8.58,8.25,8.38,2.86,2268900
21/03/1990,8.21,8.33,8.08,8.21,2.8,2156400
22/03/1990,8.08,8.12,8.0,8.04,2.75,1935300
23/03/1990,8.12,8.42,8.08,8.38,2.86,2757900
26/03/1990,8.33,8.46,8.08,8.12,2.77,1483800
27/03/1990,8.08,8.12,8.0,8.08,2.76,1767900
28/03/1990,8.04,8.12,8.0,8.04,2.75,1627200
29/03/1990,7.96,8.0,7.83,7.92,2.7,1602900
30/03/1990,7.83,7.88,7.58,7.79,2.66,2167500
02/04/1990,7.67,7.88,7.58,7.67,2.62,1743600
03/04/1990,7.71,7.96,7.67,7.92,2.7,1313400
04/04/1990,8.0,8.08,7.75,7.92,2.7,1348500
05/04/1990,7.88,7.92,7.62,7.67,2.62,1519800
06/04/1990,7.67,7.92,7.58,7.62,2.6,2200500
09/04/1990,7.67,7.79,7.62,7.75,2.65,2100300
10/04/1990,7.83,7.83,7.75,7.75,2.65,1065300
11/04/1990,7.71,7.79,7.58,7.79,2.66,2661900
12/04/1990,7.79,8.21,7.75,8.17,2.79,3758400
16/04/1990,8.25,8.29,8.04,8.04,2.75,1863000
17/04/1990,8.04,8.12,7.88,8.08,2.76,1216200
18/04/1990,8.17,8.21,8.0,8.04,2.75,879900
19/04/1990,8.12,8.12,7.92,7.96,2.72,888000
20/04/1990,7.96,7.96,7.71,7.75,2.65,1187700
23/04/1990,7.88,7.92,7.79,7.92,2.7,1614900
24/04/1990,7.96,8.0,7.96,8.0,2.73,958500
25/04/1990,8.0,8.04,7.92,8.0,2.73,1428000
26/04/1990,8.0,8.0,7.79,7.92,2.7,770700
27/04/1990,7.96,8.0,7.83,7.88,2.69,648000
30/04/1990,7.92,7.92,7.67,7.79,2.66,1017900
01/05/1990,7.79,7.92,7.75,7.92,2.7,754200
02/05/1990,7.88,7.92,7.83,7.83,2.67,771300
03/05/1990,7.92,7.96,7.88,7.92,2.7,818100
04/05/1990,7.92,8.29,7.88,8.29,2.83,1502100
07/05/1990,8.29,8.5,8.25,8.46,2.89,1253400
08/05/1990,8.46,8.46,8.29,8.42,2.87,635100
09/05/1990,8.38,8.58,8.17,8.25,2.82,890700
10/05/1990,8.33,8.46,8.21,8.33,2.84,1267800
11/05/1990,8.42,8.58,8.33,8.58,2.93,1133700
14/05/1990,8.67,8.92,8.67,8.71,2.97,1546500
15/05/1990,8.71,9.04,8.67,8.96,3.06,1902000
16/05/1990,8.88,8.92,8.67,8.83,3.02,1177800
17/05/1990,8.92,8.96,8.75,8.83,3.02,882900
18/05/1990,8.96,9.0,8.92,8.92,3.04,97800
21/05/1990,8.83,9.04,8.79,8.96,3.06,833100
22/05/1990,8.96,9.08,8.96,9.0,3.07,1283700
23/05/1990,9.0,9.04,8.92,9.0,3.07,682200
24/05/1990,9.0,9.04,8.92,9.0,3.07,637200
25/05/1990,8.96,9.04,8.96,9.04,3.09,485700
29/05/1990,9.08,9.17,9.04,9.12,3.12,641100
30/05/1990,9.17,9.17,9.04,9.12,3.12,508800
31/05/1990,9.12,9.17,9.08,9.12,3.12,522000
01/06/1990,9.21,9.33,9.08,9.33,3.19,1617600
04/06/1990,9.38,9.46,9.21,9.46,3.23,1354200
05/06/1990,9.54,9.62,9.5,9.58,3.27,1629300
06/06/1990,9.62,9.71,9.46,9.54,3.26,1200000
07/06/1990,9.5,9.54,9.42,9.5,3.24,1105800
08/06/1990,9.42,9.5,9.38,9.46,3.23,1878900
11/06/1990,9.21,9.25,9.17,9.21,3.22,607500
12/06/1990,9.21,9.25,9.0,9.17,3.21,954900
13/06/1990,9.21,9.21,8.96,9.0,3.15,714900
14/06/1990,8.92,8.92,8.67,8.83,3.09,871200
15/06/1990,8.58,8.79,8.58,8.75,3.06,1313100
18/06/1990,8.79,8.79,8.58,8.67,3.03,659100
19/06/1990,8.58,8.79,8.58,8.79,3.08,679500
20/06/1990,8.79,8.79,8.5,8.54,2.99,750300
21/06/1990,8.58,8.62,8.33,8.58,3.0,1062300
22/06/1990,8.54,8.62,8.38,8.38,2.93,610800
25/06/1990,8.38,8.42,8.08,8.17,2.86,1102800
26/06/1990,8.21,8.33,8.17,8.25,2.89,827100
27/06/1990,8.29,8.5,8.25,8.5,2.97,530400
28/06/1990,8.58,8.58,8.33,8.58,3.0,392100
29/06/1990,8.58,8.62,8.46,8.5,2.97,624300
02/07/1990,8.54,8.58,8.46,8.5,2.97,534300
03/07/1990,8.58,8.62,8.38,8.5,2.97,569100
05/07/1990,8.46,8.54,8.38,8.54,2.99,469500
06/07/1990,8.54,8.58,8.42,8.5,2.97,428700
09/07/1990,8.58,8.58,8.33,8.5,2.97,495000
