Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,17.09,17.22,16.94,17.19,6.62,1581600
03/01/1990,17.12,17.31,17.06,17.19,6.62,3324800
04/01/1990,17.16,17.19,17.03,17.09,6.58,4411200
05/01/1990,17.09,17.09,16.81,16.91,6.51,4626800
08/01/1990,16.84,16.94,16.72,16.91,6.51,1675600
09/01/1990,16.91,16.94,16.66,16.72,6.44,1365200
10/01/1990,16.72,16.84,16.69,16.72,6.44,1611200
11/01/1990,16.75,16.94,16.69,16.69,6.43,1078000
12/01/1990,16.5,16.62,16.19,16.25,6.26,2512000
15/01/1990,16.06,16.25,16.03,16.06,6.19,1354400
16/01/1990,15.97,16.38,15.91,16.38,6.31,2786000
17/01/1990,16.41,16.62,16.19,16.31,6.28,1345200
18/01/1990,16.09,16.44,16.03,16.41,6.32,2311200
19/01/1990,16.44,16.59,16.41,16.41,6.32,1948800
22/01/1990,16.41,16.47,16.0,16.06,6.19,1540400
23/01/1990,16.16,16.16,15.75,16.03,6.17,1561200
24/01/1990,15.69,16.0,15.66,15.97,6.15,2026800
25/01/1990,15.88,16.03,15.72,15.75,6.07,1716400
26/01/1990,15.78,15.81,15.28,15.47,5.96,2181200
29/01/1990,15.59,15.72,15.28,15.53,5.98,1443600
30/01/1990,15.56,15.62,15.28,15.5,5.97,1468400
31/01/1990,15.59,15.78,15.56,15.78,6.08,1862800
01/02/1990,15.78,15.84,15.69,15.72,6.05,2898000
02/02/1990,15.69,16.22,15.66,16.06,6.19,2850000
05/02/1990,16.09,16.22,15.97,16.06,6.19,1864400
06/02/1990,16.06,16.06,15.69,15.78,6.08,1008800
07/02/1990,15.5,16.03,15.44,16.0,6.16,1370000
08/02/1990,15.94,16.03,15.75,15.91,6.13,792000
09/02/1990,15.84,15.88,15.56,15.69,6.08,1256000
12/02/1990,15.72,15.75,15.5,15.5,6.01,875600
13/02/1990,15.38,15.62,15.34,15.56,6.03,1800800
14/02/1990,15.59,15.62,15.5,15.56,6.03,544400
15/02/1990,15.56,15.72,15.53,15.69,6.08,1249200
16/02/1990,15.72,15.75,15.41,15.56,6.03,1732000
20/02/1990,15.41,15.5,15.28,15.41,5.97,1158400
21/02/1990,15.25,15.38,15.19,15.34,5.95,1489200
22/02/1990,15.38,15.41,15.0,15.0,5.81,1751200
23/02/1990,14.88,15.06,14.69,14.78,5.73,2007200
26/02/1990,14.75,15.09,14.72,15.06,5.84,2487200
27/02/1990,15.12,15.25,15.06,15.06,5.84,2992000
28/02/1990,15.12,15.19,15.06,15.09,5.85,1621600
01/03/1990,15.25,15.44,15.09,15.34,5.95,1807200
02/03/1990,15.44,15.62,15.28,15.47,6.0,1276000
05/03/1990,15.56,15.66,15.41,15.47,6.0,1276000
06/03/1990,15.5,15.62,15.44,15.62,6.06,1002400
07/03/1990,15.66,15.69,15.53,15.66,6.07,1419200
08/03/1990,15.72,15.84,15.66,15.81,6.13,2642800
09/03/1990,15.75,15.81,15.66,15.72,6.09,975200
12/03/1990,15.5,15.78,15.5,15.75,6.11,1215600
13/03/1990,15.5,15.69,15.41,15.47,6.0,1886000
14/03/1990,15.5,15.56,15.16,15.44,5.98,1141600
15/03/1990,15.47,15.75,15.44,15.72,6.09,2280000
16/03/1990,15.88,15.91,15.81,15.84,6.14,3302000
19/03/1990,15.69,15.88,15.69,15.84,6.14,1396800
20/03/1990,15.69,15.91,15.69,15.84,6.14,3576000
21/03/1990,15.88,15.91,15.56,15.62,6.06,900800
22/03/1990,15.41,15.56,15.28,15.47,6.0,2378800
23/03/1990,15.5,15.56,15.44,15.47,6.0,1900400
26/03/1990,15.81,15.81,15.66,15.72,6.09,3750000
27/03/1990,15.69,16.25,15.66,16.22,6.29,2919600
