Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,12.04,12.58,11.96,12.5,4.93,380768
03/01/1990,12.62,12.65,12.38,12.42,4.9,570174
04/01/1990,12.38,12.42,12.27,12.38,4.88,269276
05/01/1990,12.42,12.73,12.38,12.73,5.02,723720
08/01/1990,12.62,12.69,12.54,12.62,4.98,124858
09/01/1990,12.5,12.65,12.5,12.54,4.95,452488
10/01/1990,12.42,12.5,12.31,12.42,4.9,469766
11/01/1990,12.5,12.65,12.46,12.5,4.93,367402
12/01/1990,12.35,12.35,12.12,12.19,4.81,935620
15/01/1990,12.15,12.31,12.15,12.19,4.81,316546
16/01/1990,12.12,12.46,12.08,12.46,4.92,237328
17/01/1990,12.35,12.35,12.12,12.23,4.82,299920
18/01/1990,12.15,12.27,12.15,12.27,4.84,174736
19/01/1990,12.27,12.27,12.19,12.19,4.81,162348
22/01/1990,12.23,12.23,12.04,12.04,4.75,430972
23/01/1990,12.12,12.15,12.0,12.04,4.75,1722584
24/01/1990,11.66,11.73,11.39,11.69,4.61,419562
25/01/1990,11.69,11.73,10.81,10.97,4.33,385332
26/01/1990,10.89,11.27,10.85,11.2,4.42,542138
29/01/1990,11.35,11.58,11.27,11.58,4.57,180604
30/01/1990,11.5,11.66,11.31,11.43,4.51,299594
31/01/1990,11.58,12.04,11.46,12.04,4.75,337084
01/02/1990,11.96,11.96,11.69,11.73,4.63,163000
02/02/1990,11.66,11.92,11.66,11.92,4.7,399676
05/02/1990,12.04,12.08,11.69,11.69,4.61,421192
06/02/1990,11.69,11.69,11.27,11.31,4.46,262430
07/02/1990,11.27,11.39,11.08,11.27,4.45,567892
08/02/1990,11.2,11.35,11.16,11.31,4.46,503344
09/02/1990,11.35,11.39,11.23,11.27,4.45,135616
12/02/1990,11.2,11.27,10.89,10.89,4.3,549962
13/02/1990,10.74,10.74,10.47,10.58,4.23,311982
14/02/1990,10.62,10.62,10.31,10.54,4.21,209292
15/02/1990,10.58,10.85,10.58,10.85,4.33,428038
16/02/1990,10.74,10.77,10.66,10.74,4.29,878570
20/02/1990,10.7,10.7,10.54,10.66,4.26,245152
21/02/1990,10.58,11.04,10.58,11.04,4.41,308396
22/02/1990,11.04,11.31,11.04,11.12,4.44,591690
23/02/1990,11.04,11.2,10.97,11.12,4.44,338062
26/02/1990,11.2,11.2,10.85,10.93,4.37,211900
27/02/1990,11.0,11.04,10.93,10.97,4.38,194622
28/02/1990,11.04,11.12,11.0,11.12,4.44,537900
01/03/1990,11.12,11.27,11.12,11.16,4.46,186798
02/03/1990,11.12,11.12,10.89,10.97,4.38,239284
05/03/1990,11.0,11.12,10.89,11.08,4.43,195926
