Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,2.05,2.05,2.04,2.05,1.25,2176000
03/01/1990,2.05,2.05,2.04,2.05,1.26,4886400
04/01/1990,2.05,2.12,2.04,2.11,1.29,3350400
05/01/1990,2.1,2.17,2.1,2.15,1.32,2841600
08/01/1990,2.14,2.16,2.13,2.15,1.32,1360000
09/01/1990,2.15,2.2,2.14,2.18,1.34,2096000
10/01/1990,2.16,2.19,2.16,2.18,1.34,2924800
11/01/1990,2.18,2.2,2.17,2.2,1.35,2112000
12/01/1990,2.17,2.18,2.14,2.14,1.31,3155200
15/01/1990,2.13,2.14,2.11,2.13,1.31,1747200
16/01/1990,2.11,2.12,2.1,2.11,1.29,1161600
17/01/1990,2.1,2.13,2.09,2.11,1.3,1180800
18/01/1990,2.09,2.1,2.08,2.09,1.29,1721600
19/01/1990,2.09,2.12,2.08,2.1,1.29,2000000
22/01/1990,2.11,2.12,2.11,2.11,1.29,2035200
23/01/1990,2.11,2.11,2.08,2.08,1.28,2476800
24/01/1990,2.06,2.1,2.05,2.1,1.29,1168000
25/01/1990,2.11,2.12,2.08,2.09,1.28,3299200
26/01/1990,2.09,2.09,1.98,2.04,1.25,5692800
29/01/1990,2.03,2.04,1.98,2.0,1.23,4384000
30/01/1990,2.0,2.0,1.88,1.93,1.19,5552000
31/01/1990,1.93,1.99,1.93,1.99,1.22,1849600
01/02/1990,1.98,2.0,1.97,2.0,1.23,1219200
02/02/1990,1.99,2.03,1.99,2.0,1.23,1798400
05/02/1990,2.0,2.05,1.99,2.04,1.25,1872000
06/02/1990,2.04,2.04,2.0,2.0,1.23,2073600
07/02/1990,2.0,2.0,1.96,1.97,1.21,2854400
08/02/1990,1.98,2.02,1.98,1.99,1.22,931200
09/02/1990,2.0,2.0,1.98,1.98,1.21,1260800
12/02/1990,1.96,2.0,1.95,1.97,1.21,2028800
13/02/1990,1.98,1.98,1.96,1.96,1.2,3088000
14/02/1990,1.97,1.98,1.9,1.91,1.18,2867200
15/02/1990,1.91,1.91,1.84,1.86,1.14,1705600
16/02/1990,1.89,1.9,1.88,1.9,1.17,11942400
20/02/1990,1.89,1.91,1.88,1.91,1.17,1734400
