Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,12.29,12.5,12.19,12.5,4.13,7453795
03/01/1990,12.56,12.72,12.56,12.7,4.2,7958722
04/01/1990,12.7,12.72,12.38,12.5,4.13,4758758
05/01/1990,12.46,12.66,12.25,12.25,4.04,6739478
08/01/1990,12.25,12.46,12.23,12.4,4.1,4405373
09/01/1990,12.4,12.48,12.31,12.31,4.06,3694200
10/01/1990,12.25,12.38,12.09,12.15,4.01,6274795
11/01/1990,12.25,12.34,12.21,12.25,4.04,3660874
12/01/1990,12.01,12.11,11.91,11.95,3.95,7641806
15/01/1990,11.89,11.95,11.65,11.65,3.85,8830238
16/01/1990,11.45,11.65,11.27,11.63,3.84,11656066
17/01/1990,11.65,11.73,11.45,11.45,3.78,8384419
18/01/1990,11.45,11.61,11.39,11.61,3.83,6850147
19/01/1990,11.77,11.77,11.69,11.69,3.86,5465530
22/01/1990,11.69,11.71,11.21,11.27,3.72,5038574
23/01/1990,11.33,11.55,11.27,11.43,3.78,8052413
24/01/1990,11.13,11.67,11.09,11.55,3.81,9399931
25/01/1990,11.63,11.69,11.29,11.33,3.74,4668840
26/01/1990,11.35,11.51,11.13,11.45,3.78,4505981
29/01/1990,11.45,11.59,11.29,11.47,3.79,2930208
30/01/1990,11.47,11.51,11.21,11.39,3.76,4825411
31/01/1990,11.47,11.49,11.37,11.49,3.8,5782445
01/02/1990,11.57,11.57,11.45,11.45,3.78,3881582
02/02/1990,11.43,11.67,11.41,11.53,3.81,2816395
05/02/1990,11.55,11.57,11.43,11.45,3.78,3533856
06/02/1990,11.45,11.47,11.23,11.23,3.71,4313568
07/02/1990,11.29,11.59,11.23,11.57,3.82,4248173
08/02/1990,11.57,11.63,11.51,11.57,3.82,4268923
09/02/1990,11.57,11.63,11.51,11.59,3.83,3945091
12/02/1990,11.55,11.59,11.47,11.47,3.79,2090131
13/02/1990,11.47,11.49,11.29,11.33,3.74,4024949
14/02/1990,11.33,11.39,11.29,11.33,3.74,2911973
15/02/1990,11.33,11.57,11.31,11.57,3.82,2385667
16/02/1990,11.53,11.55,11.33,11.37,3.76,6823738
20/02/1990,11.29,11.31,11.13,11.27,3.72,4280870
21/02/1990,11.13,11.21,11.07,11.17,3.69,6255302
22/02/1990,11.21,11.25,11.01,11.09,3.66,4515413
23/02/1990,11.01,11.05,10.66,10.81,3.57,10075891
26/02/1990,10.77,10.99,10.73,10.89,3.6,8017200
27/02/1990,10.93,11.05,10.89,10.97,3.62,5200805
28/02/1990,10.93,11.01,10.81,10.87,3.59,7561320
01/03/1990,10.89,11.05,10.85,10.99,3.63,6630696
02/03/1990,11.03,11.07,10.89,11.07,3.66,5362406
05/03/1990,11.05,11.13,10.99,10.99,3.65,4878230
06/03/1990,11.01,11.21,10.99,11.21,3.73,4453790
07/03/1990,11.21,11.23,11.01,11.05,3.67,4718515
08/03/1990,11.07,11.09,10.89,10.97,3.65,7714118
09/03/1990,10.91,10.95,10.87,10.89,3.62,5402021
12/03/1990,10.85,10.89,10.77,10.89,3.62,4040040
13/03/1990,10.81,10.85,10.68,10.68,3.55,4639915
14/03/1990,10.69,10.89,10.68,10.85,3.61,4167686
15/03/1990,10.89,10.99,10.87,10.97,3.65,3307488
16/03/1990,11.07,11.25,11.05,11.25,3.74,8977378
19/03/1990,11.13,11.29,11.09,11.27,3.75,4612248
20/03/1990,11.23,11.27,11.09,11.11,3.69,4767562
21/03/1990,11.09,11.11,10.99,10.99,3.65,4041298
22/03/1990,10.93,10.97,10.83,10.93,3.63,5878651
23/03/1990,10.95,11.09,10.95,11.07,3.68,2649763
26/03/1990,11.13,11.21,11.09,11.09,3.69,2172504
27/03/1990,11.09,11.37,11.03,11.35,3.77,3735701
28/03/1990,11.31,11.45,11.29,11.43,3.8,4050730
29/03/1990,11.43,11.51,11.25,11.29,3.75,4818494
30/03/1990,11.29,11.29,11.05,11.05,3.67,3477264
02/04/1990,10.97,11.19,10.93,11.19,3.72,4202899
03/04/1990,11.23,11.45,11.19,11.39,3.79,4658779
04/04/1990,11.41,11.51,11.29,11.33,3.77,4336834
05/04/1990,11.37,11.57,11.35,11.47,3.81,4050730
06/04/1990,11.55,11.59,11.43,11.57,3.85,2339765
09/04/1990,11.47,11.69,11.47,11.67,3.88,3001891
10/04/1990,11.63,11.77,11.57,11.73,3.9,2754773
11/04/1990,11.79,11.85,11.71,11.75,3.91,3702374
12/04/1990,11.77,11.89,11.75,11.89,3.95,3347731
16/04/1990,11.91,11.93,11.75,11.77,3.91,2798789
17/04/1990,11.65,11.75,11.59,11.73,3.9,3008808
18/04/1990,11.85,11.91,11.79,11.83,3.93,6752683
19/04/1990,11.79,11.95,11.77,11.87,3.95,4824782
20/04/1990,11.79,11.85,11.65,11.83,3.93,7278360
23/04/1990,11.73,11.75,11.63,11.67,3.88,4234968
24/04/1990,11.69,11.69,11.49,11.49,3.82,3825619
25/04/1990,11.53,11.61,11.51,11.53,3.83,2976739
26/04/1990,11.63,11.69,11.51,11.65,3.87,3250896
27/04/1990,11.61,11.65,11.47,11.49,3.82,2762947
30/04/1990,11.47,11.67,11.39,11.65,3.87,3854544
01/05/1990,11.75,11.77,11.57,11.65,3.87,2705098
02/05/1990,11.61,11.71,11.59,11.71,3.89,3575986
03/05/1990,11.73,11.75,11.65,11.69,3.89,2686234
04/05/1990,11.75,11.75,11.67,11.71,3.89,2643475
07/05/1990,11.69,11.79,11.67,11.77,3.91,3635722
08/05/1990,11.77,11.81,11.73,11.81,3.93,3127022
09/05/1990,11.81,11.89,11.79,11.89,3.95,4447502
10/05/1990,11.89,12.05,11.85,12.03,4.0,5917637
11/05/1990,12.07,12.34,12.07,12.29,4.08,10099157
14/05/1990,12.34,12.62,12.31,12.44,4.14,7256352
15/05/1990,12.38,12.56,12.36,12.44,4.14,6076723
16/05/1990,12.5,12.54,12.42,12.46,4.14,4103549
17/05/1990,12.48,12.68,12.48,12.66,4.21,6254674
18/05/1990,12.66,12.68,12.58,12.6,4.19,7116130
21/05/1990,12.6,12.96,12.56,12.96,4.31,7388400
22/05/1990,12.96,13.02,12.86,12.96,4.31,6223234
23/05/1990,12.94,13.04,12.82,13.02,4.33,4706568
24/05/1990,12.98,13.12,12.86,13.12,4.36,6410616
25/05/1990,13.0,13.58,13.0,13.36,4.44,12167909
29/05/1990,13.16,13.26,13.12,13.24,4.42,5608896
30/05/1990,13.28,13.34,13.12,13.2,4.41,6833170
31/05/1990,13.14,13.22,13.12,13.16,4.4,3545174
01/06/1990,13.24,13.4,13.16,13.36,4.46,5803195
04/06/1990,13.4,13.44,13.26,13.4,4.48,5706989
05/06/1990,13.42,13.44,13.28,13.32,4.45,4377077
06/06/1990,13.24,13.34,13.14,13.16,4.4,3313147
07/06/1990,13.12,13.16,12.96,12.96,4.33,4369531
08/06/1990,12.98,13.0,12.64,12.72,4.25,4584581
11/06/1990,12.68,12.84,12.68,12.84,4.29,3445195
12/06/1990,12.88,13.32,12.88,13.26,4.43,6291144
13/06/1990,13.24,13.3,13.16,13.22,4.42,4818494
14/06/1990,13.2,13.22,13.12,13.18,4.41,2345424
15/06/1990,13.08,13.26,13.08,13.18,4.41,9560275
18/06/1990,13.14,13.18,12.96,12.96,4.33,3843226
19/06/1990,12.96,13.0,12.88,12.96,4.33,3072946
20/06/1990,13.02,13.08,12.94,13.08,4.37,3645154
21/06/1990,13.12,13.3,13.1,13.3,4.44,4686446
22/06/1990,13.28,13.46,13.0,13.0,4.35,6565930
25/06/1990,13.08,13.16,13.0,13.08,4.37,3124507
26/06/1990,13.12,13.22,13.1,13.18,4.41,2994974
27/06/1990,13.18,13.46,13.18,13.4,4.48,3579758
28/06/1990,13.48,13.72,13.46,13.7,4.58,5320277
29/06/1990,13.72,13.88,13.72,13.8,4.61,4827926
02/07/1990,13.78,13.88,13.7,13.84,4.62,2481245
03/07/1990,13.84,13.99,13.84,13.94,4.66,3486067
05/07/1990,13.88,13.92,13.64,13.7,4.58,3552720
06/07/1990,13.74,13.86,13.7,13.76,4.6,3169152
09/07/1990,13.74,13.76,13.66,13.76,4.6,3166008
10/07/1990,13.76,13.88,13.72,13.74,4.59,3262843
11/07/1990,13.82,14.03,13.76,14.03,4.69,3359050
12/07/1990,13.96,14.05,13.9,14.03,4.69,4948656
13/07/1990,14.05,14.23,13.99,14.13,4.72,4437442
16/07/1990,14.17,14.31,14.11,14.27,4.77,4588982
17/07/1990,14.25,14.31,14.19,14.31,4.78,3507446
18/07/1990,14.31,14.47,14.25,14.33,4.79,5479363
19/07/1990,14.29,14.35,14.17,14.35,4.8,6017616
20/07/1990,14.29,14.49,14.29,14.31,4.78,8474966
23/07/1990,14.31,14.31,13.48,14.07,4.7,9282346
24/07/1990,14.09,14.09,13.72,14.07,4.7,5546016
25/07/1990,14.01,14.21,13.99,14.15,4.73,3425074
26/07/1990,14.35,14.47,14.21,14.29,4.78,4912186
27/07/1990,14.27,14.29,14.01,14.03,4.69,2737166
30/07/1990,13.94,14.23,13.92,14.23,4.76,3693571
31/07/1990,14.29,14.33,14.03,14.17,4.74,4491518
01/08/1990,14.21,14.31,14.11,14.29,4.78,5825203
02/08/1990,14.03,14.13,13.84,13.88,4.64,6099989
03/08/1990,13.56,13.64,13.08,13.6,4.54,11307082
06/08/1990,13.0,13.32,12.92,13.12,4.39,8093285
07/08/1990,13.36,13.42,13.18,13.2,4.41,8598211
08/08/1990,13.3,13.66,13.26,13.54,4.52,6719986
09/08/1990,13.52,13.68,13.5,13.68,4.57,3612456
10/08/1990,13.6,13.6,13.3,13.48,4.5,3489840
13/08/1990,13.36,13.82,13.24,13.82,4.62,4639915
14/08/1990,13.78,13.94,13.7,13.84,4.62,4487117
15/08/1990,13.88,14.03,13.86,13.98,4.67,2984285
16/08/1990,13.8,13.88,13.28,13.32,4.45,4463222
17/08/1990,13.2,13.28,12.88,13.06,4.37,12922469
20/08/1990,13.06,13.12,12.9,13.1,4.38,3810528
21/08/1990,12.84,13.1,12.64,12.92,4.32,9101251
22/08/1990,12.92,12.98,12.48,12.48,4.17,5612040
23/08/1990,12.13,12.38,12.01,12.17,4.07,8854762
24/08/1990,12.36,12.44,12.01,12.34,4.13,7837363
27/08/1990,12.86,13.04,12.8,12.88,4.31,7433674
28/08/1990,12.76,12.98,12.74,12.86,4.33,4071480
29/08/1990,12.8,13.12,12.8,13.04,4.39,4765675
30/08/1990,13.04,13.08,12.64,12.72,4.28,3665275
31/08/1990,12.76,12.98,12.62,12.98,4.37,2702582
04/09/1990,12.84,12.96,12.68,12.96,4.36,3467832
05/09/1990,12.94,13.0,12.76,12.92,4.35,3188645
06/09/1990,12.84,12.86,12.62,12.7,4.28,3098098
07/09/1990,12.64,12.94,12.64,12.9,4.34,3067915
10/09/1990,13.16,13.16,12.82,12.88,4.34,3553978
11/09/1990,12.86,12.96,12.76,12.94,4.36,3181099
12/09/1990,12.96,12.98,12.78,12.9,4.34,2933981
13/09/1990,12.9,12.98,12.72,12.72,4.28,2876131
14/09/1990,12.68,12.76,12.62,12.76,4.3,4028093
17/09/1990,12.68,12.76,12.56,12.74,4.29,3506818
18/09/1990,12.7,12.8,12.56,12.72,4.28,4813464
19/09/1990,12.09,12.31,12.09,12.23,4.11,18291163
20/09/1990,12.23,12.23,11.95,12.05,4.05,6266621
21/09/1990,12.05,12.13,11.95,12.03,4.05,8938392
24/09/1990,12.01,12.01,11.69,11.71,3.94,4953058
25/09/1990,11.71,11.97,11.69,11.95,4.02,4412918
26/09/1990,11.95,11.99,11.73,11.79,3.97,4578293
27/09/1990,11.93,11.93,11.61,11.65,3.92,5449810
28/09/1990,11.67,12.11,11.51,12.11,4.07,6459034
01/10/1990,12.25,12.78,12.23,12.76,4.3,9055978
02/10/1990,12.84,12.86,12.6,12.6,4.24,7397203
03/10/1990,12.6,12.62,12.42,12.5,4.21,4385251
04/10/1990,12.48,12.54,12.38,12.48,4.2,4513526
05/10/1990,12.29,12.58,12.21,12.38,4.17,7279618
08/10/1990,12.48,12.58,12.4,12.46,4.19,2281286
09/10/1990,12.33,12.36,11.93,11.95,4.02,5197661
10/10/1990,12.01,12.36,11.91,12.09,4.07,8647258
11/10/1990,12.07,12.17,11.89,11.97,4.03,7414181
12/10/1990,12.09,12.34,11.97,12.29,4.13,7033757
15/10/1990,12.4,12.56,12.17,12.48,4.2,5588146
16/10/1990,12.46,12.52,12.31,12.38,4.17,3991622
17/10/1990,12.4,12.54,12.38,12.48,4.2,3511219
18/10/1990,12.6,12.76,12.52,12.74,4.29,5505773
19/10/1990,12.88,12.88,12.62,12.84,4.32,11652922
22/10/1990,12.82,13.08,12.76,13.08,4.4,6482928
23/10/1990,13.0,13.12,12.82,12.94,4.36,4284014
24/10/1990,12.84,13.08,12.82,13.02,4.38,3477893
25/10/1990,13.06,13.1,12.86,12.98,4.37,3932515
26/10/1990,12.88,12.92,12.56,12.58,4.24,3256555
29/10/1990,12.58,12.74,12.38,12.44,4.19,4561315
30/10/1990,12.46,12.58,12.36,12.52,4.21,4217990
31/10/1990,12.58,12.58,12.21,12.23,4.11,4636142
01/11/1990,12.21,12.33,11.99,12.33,4.15,7101667
02/11/1990,12.29,12.48,12.27,12.42,4.18,4666325
05/11/1990,12.48,12.66,12.48,12.6,4.24,3846998
06/11/1990,12.6,12.7,12.56,12.6,4.24,3055968
07/11/1990,12.56,12.7,12.42,12.44,4.19,6718099
08/11/1990,12.42,12.54,12.36,12.48,4.2,7200389
09/11/1990,12.48,12.84,12.48,12.8,4.31,6265363
12/11/1990,12.88,13.12,12.86,13.1,4.41,6255931
13/11/1990,13.08,13.2,13.04,13.14,4.42,3560266
14/11/1990,13.14,13.46,13.12,13.42,4.52,4602816
15/11/1990,13.38,13.5,13.32,13.46,4.53,4910928
16/11/1990,13.5,13.52,13.44,13.52,4.55,6712440
19/11/1990,13.62,13.64,13.5,13.6,4.58,5290094
20/11/1990,13.58,13.64,13.46,13.48,4.54,3926227
21/11/1990,13.5,13.5,13.3,13.42,4.52,4599043
23/11/1990,13.38,13.5,13.32,13.34,4.49,1485854
26/11/1990,13.22,13.5,13.2,13.5,4.54,3351504
27/11/1990,13.52,13.58,13.44,13.54,4.56,3948864
28/11/1990,13.48,13.54,13.38,13.4,4.51,1869422
29/11/1990,13.36,13.4,13.24,13.34,4.49,3821846
30/11/1990,13.28,13.74,13.22,13.72,4.62,6754570
03/12/1990,13.76,13.78,13.54,13.58,4.6,3452741
04/12/1990,13.58,13.76,13.42,13.68,4.63,3108158
05/12/1990,13.64,13.76,13.58,13.76,4.66,3081749
06/12/1990,13.86,13.88,13.76,13.84,4.69,4974437
07/12/1990,13.84,13.94,13.78,13.78,4.67,3914280
10/12/1990,13.74,13.84,13.7,13.78,4.67,2694408
11/12/1990,13.78,13.8,13.54,13.72,4.65,4406002
12/12/1990,13.8,14.07,13.8,14.07,4.77,4708454
13/12/1990,14.07,14.11,13.96,14.01,4.75,3034589
14/12/1990,13.99,13.99,13.74,13.78,4.67,3487325
17/12/1990,13.72,13.76,13.66,13.72,4.65,2093275
18/12/1990,13.68,13.9,13.68,13.84,4.69,5115917
19/12/1990,13.74,13.8,13.68,13.72,4.65,3513734
20/12/1990,13.56,13.74,13.56,13.7,4.64,3604282
21/12/1990,13.84,13.99,13.82,13.94,4.72,10863149
24/12/1990,13.94,13.94,13.8,13.86,4.69,1306646
26/12/1990,13.84,14.07,13.8,14.05,4.76,1639282
27/12/1990,14.07,14.11,13.99,14.01,4.75,1769443
28/12/1990,13.99,14.11,13.94,14.09,4.77,1728571
31/12/1990,14.11,14.29,14.09,14.29,4.84,1710336
02/01/1991,14.19,14.29,14.17,14.23,4.82,5369323
03/01/1991,14.23,14.23,13.78,13.78,4.67,4641173
04/01/1991,13.68,13.72,13.46,13.56,4.59,7219882
07/01/1991,13.36,13.5,13.18,13.2,4.47,6252787
08/01/1991,13.26,13.32,13.16,13.24,4.48,6409358
09/01/1991,13.36,13.56,13.08,13.08,4.43,6651446
10/01/1991,13.18,13.26,13.14,13.26,4.49,3509962
11/01/1991,13.16,13.3,13.08,13.3,4.51,3497386
14/01/1991,13.04,13.24,13.04,13.18,4.46,5407680
15/01/1991,13.2,13.36,13.18,13.28,4.5,3221342
16/01/1991,13.3,13.54,13.28,13.48,4.57,3125136
17/01/1991,13.9,13.99,13.76,13.98,4.73,9220723
18/01/1991,13.98,14.09,13.88,14.07,4.77,13416077
21/01/1991,13.92,14.03,13.88,13.94,4.72,2827714
22/01/1991,13.98,14.11,13.9,13.94,4.72,4060790
23/01/1991,13.94,14.21,13.94,14.17,4.8,4350667
24/01/1991,14.19,14.41,14.19,14.29,4.84,4129958
25/01/1991,14.29,14.33,14.17,14.21,4.81,5433461
28/01/1991,14.19,14.25,14.17,14.19,4.81,2331590
29/01/1991,14.25,14.31,14.15,14.25,4.83,3587304
30/01/1991,14.23,14.63,14.19,14.57,4.94,5573683
31/01/1991,14.57,14.57,14.49,14.55,4.93,3785376
01/02/1991,14.47,14.85,14.43,14.65,4.96,5803195
04/02/1991,14.65,15.07,14.63,15.03,5.09,5124091
05/02/1991,15.07,15.31,14.97,15.27,5.17,5991206
06/02/1991,15.27,15.51,15.17,15.51,5.25,7936085
07/02/1991,15.51,15.55,15.19,15.19,5.14,6552725
08/02/1991,15.21,15.51,15.21,15.51,5.25,5235389
11/02/1991,15.57,16.0,15.53,15.96,5.41,6359054
12/02/1991,15.78,16.02,15.64,15.66,5.31,6553982
13/02/1991,15.59,15.74,15.53,15.68,5.31,4776365
14/02/1991,15.7,15.84,15.43,15.53,5.26,5911978
15/02/1991,15.66,16.22,15.59,16.22,5.5,11013432
19/02/1991,16.14,16.28,16.1,16.28,5.52,6820594
20/02/1991,16.06,16.14,16.0,16.02,5.43,3911136
21/02/1991,15.98,16.1,15.86,16.06,5.44,3997282
22/02/1991,15.98,16.54,15.98,16.18,5.48,5607010
25/02/1991,16.44,16.62,16.24,16.42,5.56,5389445
26/02/1991,16.26,16.32,16.06,16.18,5.48,5576827
27/02/1991,16.26,16.52,16.2,16.4,5.56,3430104
28/02/1991,16.44,16.48,16.24,16.24,5.5,2751629
01/03/1991,15.98,16.3,15.9,16.26,5.51,3992251
04/03/1991,16.24,16.58,16.18,16.38,5.58,4038782
05/03/1991,16.32,16.66,16.32,16.54,5.63,3656472
06/03/1991,16.6,16.62,16.4,16.44,5.6,4236226
07/03/1991,16.32,16.68,16.32,16.58,5.65,3175440
08/03/1991,16.6,17.1,16.56,16.8,5.72,4594642
11/03/1991,16.82,17.1,16.8,16.98,5.78,3186758
12/03/1991,16.98,17.12,16.74,16.78,5.71,4825411
13/03/1991,16.78,16.96,16.62,16.86,5.74,2558587
14/03/1991,16.98,17.33,16.94,17.16,5.84,6099989
15/03/1991,17.24,17.26,17.02,17.18,5.85,8589408
18/03/1991,17.06,17.2,16.64,16.84,5.74,5056810
19/03/1991,16.66,16.66,15.82,16.14,5.5,8057443
20/03/1991,16.22,16.54,16.18,16.5,5.62,5551046
21/03/1991,16.56,16.64,16.3,16.38,5.58,4040040
22/03/1991,16.4,16.52,16.32,16.5,5.62,2954102
25/03/1991,16.52,16.66,16.44,16.6,5.65,2097048
26/03/1991,16.58,17.2,16.56,17.2,5.86,4080912
27/03/1991,17.24,17.27,16.86,16.96,5.78,3924341
28/03/1991,16.96,16.98,16.74,16.78,5.71,1998326
01/04/1991,16.7,16.78,16.64,16.78,5.71,3264101
02/04/1991,16.86,17.29,16.84,17.29,5.89,2848464
03/04/1991,17.35,17.41,17.24,17.26,5.88,3596736
04/04/1991,17.26,17.45,17.12,17.24,5.87,3423816
05/04/1991,17.29,17.35,16.88,16.98,5.78,3725640
08/04/1991,16.98,17.29,16.94,17.18,5.85,2416478
