Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,0.83,0.88,0.82,0.88,0.65,34054400
03/01/1990,0.88,0.89,0.86,0.86,0.64,31616000
04/01/1990,0.86,0.86,0.82,0.84,0.63,13587200
05/01/1990,0.84,0.87,0.84,0.87,0.64,17523200
08/01/1990,0.87,0.87,0.84,0.86,0.64,9971200
09/01/1990,0.86,0.88,0.85,0.85,0.63,10982400
10/01/1990,0.85,0.86,0.84,0.84,0.63,20742400
11/01/1990,0.84,0.86,0.84,0.84,0.62,5683200
12/01/1990,0.84,0.84,0.82,0.84,0.62,11552000
15/01/1990,0.84,0.86,0.83,0.84,0.63,10707200
16/01/1990,0.84,0.86,0.82,0.86,0.64,20320000
17/01/1990,0.86,0.87,0.84,0.84,0.63,10739200
18/01/1990,0.84,0.86,0.83,0.86,0.64,12044800
19/01/1990,0.86,0.88,0.86,0.88,0.65,24678400
22/01/1990,0.88,0.89,0.87,0.87,0.65,20480000
23/01/1990,0.87,0.88,0.87,0.87,0.65,18406400
24/01/1990,0.86,0.86,0.82,0.84,0.62,50169600
25/01/1990,0.84,0.86,0.82,0.83,0.62,12537600
26/01/1990,0.83,0.84,0.81,0.84,0.62,16678400
29/01/1990,0.84,0.84,0.8,0.81,0.6,20492800
30/01/1990,0.81,0.82,0.76,0.79,0.58,22764800
31/01/1990,0.79,0.8,0.78,0.79,0.59,29702400
01/02/1990,0.79,0.8,0.75,0.76,0.56,61824000
02/02/1990,0.76,0.79,0.75,0.79,0.59,29811200
05/02/1990,0.79,0.82,0.79,0.82,0.61,22592000
06/02/1990,0.82,0.83,0.81,0.82,0.61,14105600
07/02/1990,0.82,0.82,0.8,0.81,0.6,12966400
08/02/1990,0.81,0.82,0.81,0.82,0.61,16793600
09/02/1990,0.82,0.83,0.82,0.83,0.62,23468800
12/02/1990,0.83,0.84,0.82,0.82,0.61,5977600
13/02/1990,0.82,0.83,0.82,0.83,0.62,27046400
14/02/1990,0.83,0.83,0.82,0.82,0.61,15481600
15/02/1990,0.82,0.84,0.82,0.84,0.62,13984000
16/02/1990,0.84,0.85,0.84,0.85,0.63,22918400
20/02/1990,0.84,0.84,0.83,0.84,0.63,8217600
21/02/1990,0.84,0.84,0.83,0.84,0.62,12902400
22/02/1990,0.84,0.86,0.84,0.84,0.62,18828800
23/02/1990,0.84,0.84,0.82,0.82,0.61,16460800
26/02/1990,0.82,0.85,0.82,0.84,0.62,9401600
27/02/1990,0.84,0.86,0.84,0.86,0.64,12614400
28/02/1990,0.86,0.89,0.85,0.89,0.66,18496000
01/03/1990,0.89,0.91,0.88,0.89,0.66,23750400
02/03/1990,0.89,0.89,0.86,0.86,0.64,41433600
05/03/1990,0.86,0.88,0.86,0.88,0.65,19372800
06/03/1990,0.88,0.91,0.87,0.91,0.67,16921600
07/03/1990,0.91,0.95,0.91,0.93,0.69,33292800
08/03/1990,0.93,0.96,0.93,0.96,0.71,22668800
09/03/1990,0.96,0.98,0.95,0.95,0.71,18822400
12/03/1990,0.95,0.98,0.95,0.97,0.72,18124800
13/03/1990,0.97,0.97,0.96,0.96,0.72,11705600
14/03/1990,0.96,0.97,0.95,0.97,0.72,17004800
15/03/1990,0.97,0.97,0.96,0.97,0.72,12633600
16/03/1990,0.97,1.0,0.97,0.98,0.73,31084800
19/03/1990,0.98,1.03,0.95,1.02,0.76,33491200
20/03/1990,1.02,1.04,1.0,1.02,0.76,27488000
21/03/1990,1.02,1.02,0.98,0.98,0.73,15814400
22/03/1990,0.98,0.99,0.95,0.98,0.73,29248000
23/03/1990,0.98,1.0,0.98,0.99,0.74,19264000
26/03/1990,1.0,1.05,1.0,1.02,0.76,35974400
27/03/1990,1.02,1.07,1.01,1.07,0.8,26784000
28/03/1990,1.07,1.11,1.06,1.08,0.81,39987200
29/03/1990,1.08,1.09,1.05,1.07,0.79,16838400
30/03/1990,1.07,1.08,1.05,1.06,0.79,21254400
02/04/1990,1.06,1.06,1.03,1.05,0.78,19731200
03/04/1990,1.05,1.09,1.05,1.08,0.81,19699200
04/04/1990,1.08,1.11,1.07,1.09,0.81,30227200
05/04/1990,1.09,1.1,1.07,1.07,0.8,33145600
06/04/1990,1.07,1.08,1.04,1.04,0.78,33580800
09/04/1990,1.04,1.04,1.02,1.03,0.77,20979200
10/04/1990,1.03,1.06,1.03,1.06,0.79,18310400
11/04/1990,1.06,1.08,1.05,1.05,0.79,15654400
12/04/1990,1.05,1.07,1.05,1.06,0.79,7865600
16/04/1990,1.07,1.09,1.07,1.07,0.8,14086400
17/04/1990,1.07,1.09,1.05,1.09,0.81,25798400
18/04/1990,1.09,1.09,1.07,1.07,0.8,17286400
19/04/1990,1.07,1.07,1.04,1.05,0.78,23443200
20/04/1990,1.05,1.06,1.02,1.04,0.78,21043200
23/04/1990,1.04,1.05,1.02,1.03,0.77,19488000
24/04/1990,1.03,1.05,1.02,1.04,0.78,11801600
25/04/1990,1.04,1.08,1.04,1.08,0.8,22777600
26/04/1990,1.08,1.09,1.05,1.07,0.8,15814400
27/04/1990,1.07,1.08,1.05,1.06,0.79,9363200
30/04/1990,1.06,1.07,1.05,1.07,0.8,24044800
01/05/1990,1.07,1.09,1.07,1.09,0.81,31552000
02/05/1990,1.09,1.11,1.09,1.11,0.83,33088000
03/05/1990,1.11,1.14,1.11,1.12,0.84,24646400
04/05/1990,1.12,1.13,1.11,1.12,0.84,14195200
07/05/1990,1.12,1.13,1.12,1.12,0.84,11347200
08/05/1990,1.12,1.13,1.11,1.12,0.84,8620800
09/05/1990,1.12,1.12,1.1,1.11,0.83,24518400
10/05/1990,1.11,1.12,1.09,1.11,0.82,14937600
