Date,Open,High,Low,Close,Adj Close,Volume
10/11/1999,65.0,70.31,64.5,68.25,36.3,80793700
11/11/1999,68.75,76.94,68.75,75.0,39.89,28309000
12/11/1999,76.0,76.62,69.25,70.5,37.5,14768100
15/11/1999,70.5,70.88,67.31,69.0,36.7,8675100
16/11/1999,67.88,68.0,65.0,66.0,35.1,6978600
17/11/1999,65.56,68.19,65.12,67.69,36.0,5806900
18/11/1999,67.94,68.94,66.12,66.31,35.27,4718700
19/11/1999,66.31,66.31,64.25,65.0,34.57,5091100
22/11/1999,64.06,64.25,61.0,63.12,33.57,4785400
23/11/1999,63.38,67.0,63.25,66.19,35.2,2832200
24/11/1999,66.0,68.19,65.94,67.69,36.17,2179400
26/11/1999,68.44,69.44,68.19,69.12,36.93,1322500
29/11/1999,70.0,70.25,67.0,68.12,36.4,1987000
30/11/1999,67.38,67.62,66.06,66.06,35.3,1686100
01/12/1999,66.25,67.38,65.62,65.88,35.2,1405700
02/12/1999,66.0,67.06,65.88,67.06,35.83,1391000
03/12/1999,67.44,67.69,66.31,66.44,35.5,1753500
06/12/1999,66.5,66.5,65.38,66.25,35.4,1398900
07/12/1999,65.94,68.0,65.88,68.0,36.33,1793100
08/12/1999,68.0,68.38,66.75,68.38,36.53,1774000
09/12/1999,68.38,68.75,66.62,67.5,36.07,1713600
10/12/1999,66.38,67.0,65.38,66.12,35.33,1248600
13/12/1999,66.38,66.94,64.88,66.0,35.26,1417800
14/12/1999,66.0,66.0,64.75,65.0,34.73,1886600
15/12/1999,65.0,65.06,63.69,63.75,34.06,1602800
16/12/1999,63.75,64.06,63.25,64.0,34.2,1364600
17/12/1999,64.75,67.62,64.69,66.62,35.6,1980800
20/12/1999,67.69,68.5,66.94,68.5,36.6,1501300
21/12/1999,68.25,69.0,67.5,69.0,36.87,1265200
22/12/1999,68.94,68.94,66.06,67.0,35.8,1264700
23/12/1999,66.5,67.88,65.62,67.75,36.2,1180600
27/12/1999,68.5,69.69,67.5,69.69,37.23,1478800
28/12/1999,69.5,69.69,68.06,69.0,36.87,1051400
29/12/1999,69.0,69.38,67.56,68.0,36.33,904700
30/12/1999,69.25,69.5,68.0,68.0,36.33,926700
31/12/1999,68.88,69.5,68.38,69.0,36.87,649300
03/01/2000,69.69,69.75,67.0,67.06,35.83,1273200
04/01/2000,67.0,67.0,64.62,64.94,34.7,1385800
05/01/2000,64.88,68.0,64.75,68.0,36.33,1401700
06/01/2000,65.88,68.12,65.0,68.0,36.33,1959100
