Date,Open,High,Low,Close,Adj Close,Volume
19/03/2008,14.88,17.25,13.75,14.12,12.63,708486000
20/03/2008,14.6,16.25,14.38,16.09,14.38,198985200
24/03/2008,16.81,16.92,14.75,14.93,13.35,149566400
25/03/2008,15.15,16.06,14.95,15.81,14.14,87092000
26/03/2008,15.68,16.12,15.39,15.99,14.3,43111600
27/03/2008,16.01,16.18,15.66,15.73,14.06,39829600
28/03/2008,15.84,15.86,15.54,15.69,14.03,24675200
31/03/2008,15.65,15.87,15.51,15.59,13.94,22157200
01/04/2008,15.77,15.92,15.08,15.4,13.77,60410800
02/04/2008,15.43,15.58,15.12,15.58,13.93,43836400
03/04/2008,15.49,16.57,15.45,16.38,14.64,100868000
04/04/2008,16.23,16.33,15.94,16.12,14.41,36394400
07/04/2008,16.27,16.45,16.0,16.26,14.54,28301600
08/04/2008,16.23,17.06,16.2,17.02,15.22,53925600
09/04/2008,17.11,17.18,16.4,16.45,14.7,48324400
10/04/2008,16.54,16.68,16.28,16.53,14.78,22372000
11/04/2008,16.31,16.69,16.31,16.53,14.78,26421600
14/04/2008,16.67,16.81,16.38,16.42,14.68,28443600
15/04/2008,16.57,16.64,16.0,16.09,14.38,23888000
16/04/2008,16.14,16.74,16.14,16.53,14.78,25136800
17/04/2008,16.57,16.94,16.5,16.76,14.98,22459600
18/04/2008,17.0,17.61,16.8,17.25,15.42,104099600
21/04/2008,17.37,18.12,17.21,17.74,15.86,58848000
22/04/2008,17.98,18.1,17.5,17.57,15.71,47357600
23/04/2008,17.74,17.92,17.42,17.52,15.66,37319600
24/04/2008,17.8,18.25,17.51,18.08,16.16,38086800
25/04/2008,19.0,19.02,18.48,18.77,16.79,101460000
28/04/2008,19.12,19.32,18.73,18.91,16.9,132517200
29/04/2008,18.54,20.22,17.75,20.22,18.08,197308400
30/04/2008,20.35,21.2,20.27,20.86,18.65,147543600
01/05/2008,21.1,21.91,20.98,21.35,19.09,116395600
02/05/2008,21.82,21.88,20.25,20.69,18.5,136648800
05/05/2008,20.71,21.38,20.2,21.26,19.01,70377200
06/05/2008,21.37,22.04,21.19,21.88,19.56,75913200
07/05/2008,22.21,22.46,21.92,22.12,19.78,100464800
08/05/2008,22.38,22.44,21.49,21.83,19.51,92836400
09/05/2008,21.45,21.67,20.63,20.72,18.52,94312000
12/05/2008,20.91,21.12,19.52,20.48,18.31,147471600
