Date,Open,High,Low,Close,Adj Close,Volume
12/06/2019,63.5,67.0,56.0,58.0,58.0,19449200
13/06/2019,63.86,69.67,61.6,67.56,67.56,10923900
14/06/2019,69.78,70.79,63.02,64.16,64.16,6264200
17/06/2019,64.75,70.01,62.0,70.01,70.01,3247500
18/06/2019,73.0,78.7,71.5,76.5,76.5,6612600
19/06/2019,78.75,79.79,73.56,77.22,77.22,3319100
20/06/2019,78.0,78.22,70.69,74.85,74.85,3429600
21/06/2019,72.46,73.93,68.3,72.23,72.23,2657500
24/06/2019,71.05,72.39,65.08,67.97,67.97,2448000
25/06/2019,67.1,68.99,61.17,61.52,61.52,2480200
26/06/2019,63.3,64.92,62.01,62.65,62.65,1625500
27/06/2019,63.39,65.0,62.57,63.28,63.28,914500
28/06/2019,64.36,68.38,63.3,68.29,68.29,1474300
01/07/2019,69.1,69.73,61.81,63.2,63.2,2670900
02/07/2019,63.3,65.03,61.72,64.52,64.52,1735600
03/07/2019,64.68,67.48,64.52,67.24,67.24,1564100
05/07/2019,67.15,67.25,64.84,67.21,67.21,804900
08/07/2019,68.26,71.71,66.9,66.91,66.91,4567200
09/07/2019,67.42,69.2,66.88,68.45,68.45,1782700
10/07/2019,70.0,74.5,69.5,74.34,74.34,2719300
11/07/2019,74.5,74.98,70.5,70.88,70.88,2351800
12/07/2019,71.6,75.2,70.5,73.5,73.5,1838300
15/07/2019,74.0,74.29,71.4,71.6,71.6,1325100
16/07/2019,71.93,73.09,69.0,69.54,69.54,1582300
17/07/2019,70.0,71.56,69.59,71.0,71.0,1037000
18/07/2019,71.0,74.19,70.15,72.75,72.75,2779900
19/07/2019,85.16,85.85,80.75,83.52,83.52,13669000
22/07/2019,82.27,88.5,82.08,87.68,87.68,5357700
23/07/2019,88.32,89.44,84.49,86.74,86.74,2529800
24/07/2019,86.79,87.85,85.5,87.46,87.46,1250700
25/07/2019,87.5,93.34,87.0,92.28,92.28,3270400
26/07/2019,93.04,95.5,91.91,92.88,92.88,2053000
29/07/2019,93.69,93.9,82.65,87.23,87.23,3317800
30/07/2019,86.0,96.19,84.0,94.0,94.0,3127200
31/07/2019,93.95,94.8,86.82,89.07,89.07,2476000
01/08/2019,90.07,94.32,89.44,91.53,91.53,2238200
02/08/2019,91.54,92.78,86.91,88.01,88.01,1801000
05/08/2019,83.34,86.92,82.25,85.48,85.48,2196400
06/08/2019,87.2,89.76,82.71,85.24,85.24,1357400
07/08/2019,83.69,86.45,82.8,84.22,84.22,990400
08/08/2019,85.49,91.86,85.49,91.65,91.65,1692300
09/08/2019,90.25,98.0,90.0,94.9,94.9,3062200
12/08/2019,94.25,98.2,91.53,93.01,93.01,1895600
13/08/2019,92.84,100.5,92.84,99.65,99.65,3024600
14/08/2019,96.52,97.73,91.6,94.02,94.02,2822900
15/08/2019,95.99,97.14,91.37,93.66,93.66,1513100
16/08/2019,95.0,98.1,93.4,96.05,96.05,1517800
19/08/2019,98.8,101.48,95.6,99.39,99.39,2782700
20/08/2019,99.23,101.88,97.26,99.16,99.16,1438800
21/08/2019,100.59,100.96,96.27,96.58,96.58,1783900
22/08/2019,96.29,96.58,92.8,92.97,92.97,1764000
23/08/2019,91.37,91.56,86.0,88.43,88.43,3041000
26/08/2019,90.24,90.84,86.13,88.88,88.88,1462400
27/08/2019,89.28,89.95,83.23,84.08,84.08,1821600
28/08/2019,84.0,87.52,82.61,86.99,86.99,1919300
29/08/2019,88.3,89.35,83.29,83.82,83.82,1787000
30/08/2019,84.02,84.94,78.89,81.28,81.28,1907300
03/09/2019,80.85,83.8,80.25,83.76,83.76,1827700
04/09/2019,85.0,87.77,82.89,85.31,85.31,2393100
05/09/2019,86.25,87.19,82.5,86.85,86.85,3918600
06/09/2019,79.7,81.5,75.31,75.98,75.98,8672300
09/09/2019,76.11,76.12,64.34,67.1,67.1,8598200
10/09/2019,65.7,71.8,65.7,71.65,71.65,4672500
11/09/2019,69.21,70.93,67.2,69.11,69.11,3114000
12/09/2019,69.68,72.4,69.06,69.66,69.66,2923500
13/09/2019,69.86,70.31,64.71,64.86,64.86,4166300
16/09/2019,63.71,68.86,63.5,67.86,67.86,2804500
17/09/2019,68.64,71.33,68.13,71.04,71.04,2810500
