Date,Open,High,Low,Close,Adj Close,Volume
10/06/2021,173.15,182.0,155.01,178.87,178.87,2378200
11/06/2021,179.75,194.99,176.57,189.31,189.31,561000
14/06/2021,193.68,218.96,189.91,205.04,205.04,441600
15/06/2021,210.95,217.76,198.03,210.44,210.44,221400
16/06/2021,214.32,214.99,205.0,214.12,214.12,379500
17/06/2021,211.84,219.86,206.52,219.86,219.86,100500
18/06/2021,219.8,237.5,218.16,232.51,232.51,173200
21/06/2021,235.0,235.4,208.91,211.24,211.24,202700
22/06/2021,210.77,220.0,210.77,219.01,219.01,124600
23/06/2021,223.58,234.5,222.1,233.25,233.25,164200
24/06/2021,235.0,235.68,225.45,232.52,232.52,130000
25/06/2021,233.5,233.5,227.9,232.37,232.37,144000
28/06/2021,234.0,235.0,228.6,232.34,232.34,125700
29/06/2021,233.0,233.35,228.0,231.03,231.03,130800
30/06/2021,231.46,231.46,220.7,223.59,223.59,85200
01/07/2021,222.0,230.57,218.02,229.95,229.95,139900
02/07/2021,232.7,234.99,227.09,229.23,229.23,29000
06/07/2021,234.99,256.16,232.01,232.47,232.47,202700
07/07/2021,243.08,243.08,210.3,215.55,215.55,131700
08/07/2021,214.57,225.21,203.38,220.44,220.44,108900
09/07/2021,221.54,235.5,220.47,232.04,232.04,80700
12/07/2021,234.15,237.87,225.67,231.19,231.19,37800
13/07/2021,231.2,232.81,227.17,229.3,229.3,18600
14/07/2021,230.0,230.0,222.88,224.05,224.05,32800
15/07/2021,221.08,224.03,208.03,209.0,209.0,140800
16/07/2021,210.2,213.34,195.65,198.98,198.98,103800
19/07/2021,194.0,210.5,188.82,210.48,210.48,104900
20/07/2021,210.0,210.0,201.35,203.92,203.92,44900
21/07/2021,204.32,210.49,204.32,208.08,208.08,13800
22/07/2021,210.95,210.95,203.42,205.39,205.39,19100
23/07/2021,202.29,206.0,201.95,204.93,204.93,26900
26/07/2021,208.84,213.88,205.31,213.63,213.63,34400
27/07/2021,215.39,215.55,210.4,214.1,214.1,53400
28/07/2021,214.0,224.34,212.45,223.15,223.15,47000
29/07/2021,222.28,225.65,218.2,220.67,220.67,38900
30/07/2021,219.4,224.9,219.4,221.29,221.29,26000
02/08/2021,222.5,222.5,211.83,214.09,214.09,32300
03/08/2021,214.21,214.21,204.5,204.5,204.5,51200
04/08/2021,206.9,215.95,203.27,211.91,211.91,25700
05/08/2021,215.61,225.0,215.0,225.0,225.0,58600
06/08/2021,224.66,226.88,220.01,226.0,226.0,55300
09/08/2021,222.9,225.35,218.82,221.5,221.5,32200
10/08/2021,220.89,234.79,219.87,229.83,229.83,86600
11/08/2021,232.01,244.53,228.99,241.08,241.08,106300
12/08/2021,245.84,248.74,236.03,248.71,248.71,48500
13/08/2021,250.0,269.52,244.27,267.9,267.9,88500
16/08/2021,269.86,269.86,244.24,245.07,245.07,137700
17/08/2021,277.97,317.69,270.0,305.0,305.0,557600
18/08/2021,305.88,358.0,304.73,355.98,355.98,485500
19/08/2021,338.0,354.86,330.23,349.08,349.08,413200
20/08/2021,350.0,364.13,344.34,352.28,352.28,259700
23/08/2021,355.6,391.0,355.6,390.0,390.0,312900
24/08/2021,395.14,396.88,352.01,360.41,360.41,415100
25/08/2021,367.42,377.44,350.62,351.45,351.45,140500
26/08/2021,349.46,364.94,341.44,359.64,359.64,172900
27/08/2021,362.94,364.41,351.87,357.19,357.19,122300
30/08/2021,378.59,408.23,371.01,382.98,382.98,339900
31/08/2021,394.28,397.66,366.51,379.36,379.36,229600
01/09/2021,379.48,414.97,377.45,406.49,406.49,255300
02/09/2021,409.0,425.84,395.01,396.1,396.1,205800
03/09/2021,403.34,409.27,379.12,379.81,379.81,189000
07/09/2021,383.0,394.12,374.52,380.61,380.61,321900
08/09/2021,383.65,400.0,374.45,389.18,389.18,264400
09/09/2021,385.0,401.99,381.0,391.22,391.22,215200
10/09/2021,381.26,386.0,364.69,371.97,371.97,440600
13/09/2021,375.1,378.82,362.1,369.23,369.23,230500
14/09/2021,369.5,376.41,362.0,369.82,369.82,146500
15/09/2021,367.87,377.88,357.76,375.97,375.97,240500
16/09/2021,375.8,391.27,372.0,385.5,385.5,440300
17/09/2021,385.0,385.0,369.0,374.15,374.15,192200
20/09/2021,365.51,369.95,339.9,348.45,348.45,303700
21/09/2021,355.9,376.58,353.8,367.33,367.33,313400
22/09/2021,368.79,379.79,362.15,374.0,374.0,283600
23/09/2021,374.0,377.97,364.01,370.5,370.5,234200
24/09/2021,367.6,378.92,356.15,366.99,366.99,289200
27/09/2021,365.66,368.5,357.0,363.05,363.05,154200
28/09/2021,360.0,360.0,328.5,329.7,329.7,436300
29/09/2021,330.0,333.48,322.53,328.2,328.2,299700
30/09/2021,329.49,338.71,322.02,326.2,326.2,450600
01/10/2021,329.18,342.4,328.02,332.91,332.91,397100
04/10/2021,327.51,338.99,317.59,329.09,329.09,737400
05/10/2021,330.66,340.42,329.09,334.3,334.3,178800
06/10/2021,329.19,350.48,325.35,348.3,348.3,338800
07/10/2021,352.12,369.69,345.23,346.26,346.26,332700
08/10/2021,342.55,347.79,336.1,339.6,339.6,147600
11/10/2021,341.14,352.86,335.06,338.09,338.09,137600
12/10/2021,338.09,360.95,338.09,354.27,354.27,149300
13/10/2021,357.16,366.95,352.3,364.48,364.48,170500
14/10/2021,371.85,384.93,360.25,366.89,366.89,191000
15/10/2021,366.5,366.5,347.93,358.71,358.71,166900
18/10/2021,361.0,364.73,350.1,358.9,358.9,135500
19/10/2021,360.95,376.01,348.79,361.5,361.5,309000
20/10/2021,362.33,370.01,352.83,367.63,367.63,178600
21/10/2021,371.65,385.62,356.0,369.06,369.06,422300
22/10/2021,370.29,380.7,361.88,379.26,379.26,243000
25/10/2021,380.0,404.01,376.41,382.69,382.69,385900
26/10/2021,386.5,398.51,357.47,372.21,372.21,309200
27/10/2021,368.47,407.98,368.47,392.0,392.0,468800
28/10/2021,393.57,394.97,363.76,371.41,371.41,340200
29/10/2021,371.01,380.53,364.45,371.83,371.83,173900
01/11/2021,380.5,386.19,367.16,369.81,369.81,274500
02/11/2021,370.42,370.42,358.15,365.34,365.34,181000
03/11/2021,366.17,367.82,348.0,354.0,354.0,198300
04/11/2021,354.0,364.99,351.0,357.53,357.53,193800
05/11/2021,361.44,361.53,343.72,350.74,350.74,257100
08/11/2021,359.81,383.46,356.38,383.45,383.45,382600
09/11/2021,384.03,450.0,384.03,444.7,444.7,1099700
10/11/2021,380.01,403.17,345.12,350.82,350.82,1316300
11/11/2021,374.0,377.72,357.0,364.26,364.26,659100
12/11/2021,363.0,365.0,354.41,363.92,363.92,874900
15/11/2021,368.92,381.23,358.0,369.15,369.15,1115700
16/11/2021,368.69,405.14,368.0,400.59,400.59,838800
17/11/2021,403.65,419.57,394.16,405.31,405.31,526500
