Date,Open,High,Low,Close,Adj Close,Volume
2003-11-26,13.450000,13.750000,13.290000,13.400000,10.601056,411300
2003-11-28,13.550000,13.880000,13.550000,13.780000,10.901684,82000
2003-12-01,13.890000,13.890000,13.250000,13.700000,10.838396,95400
2003-12-02,13.790000,13.890000,13.250000,13.640000,10.790926,230400
2003-12-03,13.520000,13.520000,13.000000,13.240000,10.474476,99600
2003-12-04,13.170000,13.520000,13.050000,13.100000,10.363721,77700
2003-12-05,13.060000,13.800000,12.990000,13.670000,10.814662,96800
2003-12-08,13.600000,13.800000,13.480000,13.750000,10.877953,252700
2003-12-09,13.750000,13.760000,13.030000,13.030000,10.308340,197200
2003-12-10,13.150000,13.400000,12.080000,12.360000,9.778290,306300
2003-12-11,12.180000,13.410000,12.180000,13.000000,10.284608,118200
2003-12-12,12.980000,13.340000,12.850000,13.250000,10.482389,235800
2003-12-15,13.380000,13.480000,13.080000,13.160000,10.411186,83700
2003-12-16,13.030000,13.490000,13.000000,13.410000,10.608968,107600
2003-12-17,13.350000,13.600000,13.000000,13.360000,10.569413,142400
2003-12-18,12.920000,13.610000,12.880000,13.440000,10.632700,95900
2003-12-19,13.520000,13.600000,13.250000,13.450000,10.640615,108800
2003-12-22,13.520000,13.700000,13.360000,13.450000,10.640615,34700
2003-12-23,13.380000,13.680000,13.380000,13.600000,10.759280,106000
2003-12-24,13.490000,13.800000,13.350000,13.620000,10.775104,88800
2003-12-26,13.750000,13.800000,13.650000,13.650000,10.798837,73100
2003-12-29,13.650000,13.690000,13.500000,13.650000,10.798837,134400
2003-12-30,13.540000,13.750000,13.520000,13.750000,10.877953,225500
2003-12-31,13.830000,13.830000,13.550000,13.710000,10.846307,142200
2004-01-02,13.650000,13.760000,13.650000,13.750000,10.877953,80700
2004-01-05,13.960000,14.000000,13.630000,13.900000,10.996618,410600
2004-01-06,13.750000,13.960000,13.680000,13.750000,10.877953,142800
2004-01-07,13.800000,14.450000,13.800000,14.400000,11.392181,503800
2004-01-08,14.340000,14.410000,14.050000,14.100000,11.154843,182400
2004-01-09,14.140000,14.190000,13.800000,14.100000,11.154843,85900
2004-01-12,14.440000,14.440000,13.500000,13.880000,10.980798,68300
2004-01-13,13.840000,14.360000,13.840000,14.150000,11.194397,61500
2004-01-14,14.270000,14.460000,14.140000,14.430000,11.415916,178200
2004-01-15,14.220000,14.500000,14.050000,14.170000,11.210223,60500
2004-01-16,14.250000,14.450000,13.860000,14.070000,11.131109,53700
2004-01-20,13.900000,14.050000,13.500000,13.990000,11.067820,70600
2004-01-21,14.070000,14.500000,13.870000,14.240000,11.265600,75300
2004-01-22,14.150000,14.500000,14.150000,14.250000,11.273512,77200
2004-01-23,14.210000,14.500000,14.010000,14.150000,11.194397,84300
2004-01-26,14.000000,14.000000,12.910000,13.650000,10.798837,457300
2004-01-27,13.410000,13.890000,13.200000,13.710000,10.846307,217900
2004-01-28,13.930000,13.950000,13.360000,13.500000,10.680174,118700
2004-01-29,13.410000,13.520000,13.310000,13.500000,10.680174,124100
2004-01-30,13.390000,14.000000,13.390000,13.420000,10.616879,184600
2004-02-02,13.490000,13.550000,13.300000,13.380000,10.585235,93600
2004-02-03,13.450000,13.460000,13.050000,13.250000,10.482389,52500
2004-02-04,13.090000,13.250000,12.970000,13.000000,10.284608,41600
2004-02-05,12.970000,13.110000,12.410000,12.730000,10.071002,201000
2004-02-06,12.770000,12.800000,12.450000,12.790000,10.118469,34200
2004-02-09,12.800000,12.960000,12.660000,12.770000,10.102648,78500
2004-02-10,12.770000,13.460000,12.680000,13.210000,10.450745,242900
